Date,Open,High,Low,Close,Volume
2020-11-26,10.00000000,12.22300000,5.86100000,5.86100000,103893.92000000
2020-11-27,5.80000000,7.05000000,4.68000000,6.05700000,89997.60000000
2020-11-28,6.11000000,6.46600000,4.98700000,5.49100000,7115.78000000
2020-11-29,5.57500000,5.89200000,4.28100000,4.43100000,23447.56000000
2020-11-30,4.40000000,4.40000000,2.88800000,3.21400000,315027.12000000
2020-12-01,3.25000000,3.81800000,2.93700000,3.35400000,144650.74000000
2020-12-02,3.38400000,3.61300000,2.06200000,2.24400000,449278.29000000
2020-12-03,2.25900000,2.47500000,1.82000000,1.96000000,808055.11000000
2020-12-04,1.97300000,2.66000000,1.89300000,2.53900000,807544.48000000
2020-12-05,2.56600000,2.67300000,1.89800000,1.89800000,887004.47000000
2020-12-06,1.90400000,2.27100000,1.88400000,2.11600000,604913.49000000
2020-12-07,2.11500000,2.16900000,1.80000000,1.91600000,962247.51000000
2020-12-08,1.94200000,2.85000000,1.91500000,2.63100000,1600075.96000000
2020-12-09,2.66000000,3.05000000,2.14300000,2.28200000,1132807.92000000
2020-12-10,2.27200000,2.85400000,2.25500000,2.79700000,790088.92000000
2020-12-11,2.75500000,3.23000000,2.45600000,2.75700000,1259574.57000000
2020-12-12,2.74000000,2.74000000,2.30000000,2.43100000,763222.85000000
2020-12-13,2.45000000,2.52800000,1.99800000,2.04800000,688099.73000000
2020-12-14,2.04800000,2.25400000,1.73000000,1.93400000,897369.43000000
2020-12-15,1.93400000,2.00400000,1.81800000,1.91000000,669441.13000000
2020-12-16,1.91000000,2.16700000,1.60100000,1.72000000,654459.25000000
2020-12-17,1.71800000,1.97700000,1.58500000,1.85000000,520873.57000000
2020-12-18,1.87000000,2.04300000,1.56900000,1.56900000,277202.32000000
2020-12-19,1.56600000,1.62000000,1.34400000,1.55800000,1618716.53000000
2020-12-20,1.56500000,1.75000000,1.42300000,1.61000000,1150001.93000000
2020-12-21,1.61400000,2.02300000,1.51100000,1.85700000,655076.69000000
2020-12-22,1.85000000,2.11700000,1.54400000,1.63600000,745001.79000000
2020-12-23,1.64400000,2.99900000,1.62900000,2.15900000,963231.32000000
2020-12-24,2.16600000,2.42300000,1.88900000,1.88900000,366240.11000000
2020-12-25,1.88500000,2.14700000,1.81000000,1.92900000,209820.61000000
2020-12-26,1.92500000,2.26600000,1.90400000,2.21500000,108339.37000000
2020-12-27,2.18100000,2.33500000,1.81000000,2.09700000,274672.50000000
2020-12-28,2.08200000,2.13800000,1.56800000,1.81500000,305646.85000000
2020-12-29,1.80500000,2.21600000,1.75000000,2.03100000,138939.42000000
2020-12-30,2.02500000,2.07500000,1.61000000,1.85200000,259470.62000000
2020-12-31,1.86800000,2.01900000,1.47000000,1.48000000,330360.80000000
2021-01-01,1.47300000,1.58100000,1.41300000,1.41300000,202389.77000000
2021-01-02,1.41000000,1.64700000,1.38200000,1.54100000,187639.01000000
2021-01-03,1.56100000,1.68900000,1.23900000,1.29000000,290596.73000000
2021-01-04,1.29000000,1.37000000,0.70600000,0.71200000,2622384.04000000
2021-01-05,0.70800000,0.89400000,0.55100000,0.59800000,3108988.90000000
2021-01-06,0.59800000,0.73300000,0.58900000,0.64500000,1448593.35000000
2021-01-07,0.64200000,0.76600000,0.49900000,0.57700000,1975842.68000000
2021-01-08,0.57500000,0.76800000,0.45900000,0.52200000,988729.31000000
2021-01-09,0.52200000,0.59000000,0.42100000,0.44300000,1221680.25000000
2021-01-10,0.43500000,0.45000000,0.29100000,0.32800000,8605996.43000000
2021-01-11,0.32800000,0.50800000,0.23000000,0.23800000,16503679.42000000
2021-01-12,0.23900000,0.27100000,0.12900000,0.14600000,29673497.79000000
2021-01-13,0.14700000,0.16600000,0.09800000,0.10000000,30740371.05000000
2021-01-14,0.10100000,0.11400000,0.08700000,0.09800000,26841679.26000000
2021-01-15,0.09800000,0.10100000,0.05820000,0.05962000,48718628.67000000
2021-01-16,0.05968000,0.05968000,0.03684000,0.04558000,56338741.53000000
2021-01-17,0.04658000,0.05024000,0.03470000,0.04133000,58512477.88000000
2021-01-18,0.04116000,0.04500000,0.03305000,0.03305000,40919217.93000000
2021-01-19,0.03304000,0.03845000,0.02941000,0.03799000,60232910.87000000
2021-01-20,0.03821000,0.04600000,0.02900000,0.02997000,80699037.81000000
2021-01-21,0.02953000,0.04559000,0.02908000,0.04006000,112501405.16000000
2021-01-22,0.04006000,0.04758000,0.02090000,0.02300000,110109108.65000000
2021-01-23,0.02328000,0.02418000,0.01618000,0.01754000,91290955.59000000
2021-01-24,0.01762000,0.01777000,0.00780000,0.00950000,814576376.09000000
2021-01-25,0.00947000,0.01199000,0.00800000,0.01101000,458532146.98000000
2021-01-26,0.01101000,0.01182000,0.00697000,0.00775000,823139154.35000000
2021-01-27,0.00770000,0.00936000,0.00613000,0.00691000,835538627.39000000
2021-01-28,0.00693000,0.00759000,0.00558000,0.00622000,385212648.09000000
2021-01-29,0.00622000,0.00797000,0.00562000,0.00680000,428198929.18000000
2021-01-30,0.00673000,0.00724000,0.00490000,0.00521000,275806076.29000000
2021-01-31,0.00523000,0.00629000,0.00503000,0.00596000,194336221.85000000
2021-02-01,0.00594000,0.00692000,0.00546000,0.00631000,188652077.87000000
2021-02-02,0.00629000,0.00695000,0.00537000,0.00572000,101926361.98000000
2021-02-03,0.00572000,0.00580000,0.00294000,0.00300000,505497270.20000000
2021-02-04,0.00300000,0.00300000,0.00110000,0.00135000,4438717616.97000000
2021-02-05,0.00137000,0.00139000,0.00084000,0.00099000,3014014085.70000000
2021-02-06,0.00099000,0.00134000,0.00093000,0.00104000,2821422701.27000000
2021-02-07,0.00104000,0.00161000,0.00090000,0.00095000,2456206958.99000000
2021-02-08,0.00095000,0.00099000,0.00069000,0.00084000,2585822647.30000000
2021-02-09,0.00084000,0.00096000,0.00076000,0.00087000,1277567611.49000000
2021-02-10,0.00088000,0.00088000,0.00054000,0.00068400,3504087230.41000000
2021-02-11,0.00068500,0.00074000,0.00062200,0.00071500,2409543958.40000000
2021-02-12,0.00071700,0.00079900,0.00061100,0.00069000,2203098181.99000000
2021-02-13,0.00069000,0.00089000,0.00063500,0.00085000,3230786251.72000000
2021-02-14,0.00084700,0.00101400,0.00078000,0.00098400,2685111902.45000000
2021-02-15,0.00097900,0.00160000,0.00066100,0.00083100,7163133237.31000000
2021-02-16,0.00082600,0.00098600,0.00074400,0.00092100,3741062371.27000000
2021-02-17,0.00091400,0.00110100,0.00069900,0.00077000,4147594525.45000000
2021-02-18,0.00076900,0.00085600,0.00064100,0.00082400,5156857557.73000000
2021-02-19,0.00082200,0.00102600,0.00078100,0.00095700,4128298337.54000000
2021-02-20,0.00095700,0.00102600,0.00058000,0.00074000,7027369014.71000000
2021-02-21,0.00074500,0.00084800,0.00059400,0.00073600,5996102357.27000000
2021-02-22,0.00073800,0.00129000,0.00064300,0.00071600,5600531534.12000000
2021-02-23,0.00070500,0.00150000,0.00053500,0.00056300,9347711364.31000000
2021-02-24,0.00056100,0.00066000,0.00040300,0.00047400,8582515066.13000000
2021-02-25,0.00047600,0.00052700,0.00039300,0.00052000,9962220179.79000000
2021-02-26,0.00052000,0.00066000,0.00042000,0.00051000,9242230717.89000000
2021-02-27,0.00051000,0.00051000,0.00041100,0.00046600,5886741036.67000000
2021-02-28,0.00046700,0.00058800,0.00034500,0.00037000,8486434485.78000000
2021-03-01,0.00037200,0.00038000,0.00029300,0.00029700,13099878801.32000000
2021-03-02,0.00029500,0.00031700,0.00022000,0.00025600,11244162299.27000000
2021-03-03,0.00025600,0.00026800,0.00020800,0.00024600,9471605964.07000000
2021-03-04,0.00024600,0.00030500,0.00022100,0.00028700,9860625565.09000000
2021-03-05,0.00028700,0.00044300,0.00027500,0.00029600,9675011747.39000000
2021-03-06,0.00029400,0.00032900,0.00024200,0.00024900,6400374206.93000000
2021-03-07,0.00024900,0.00025500,0.00019700,0.00020300,16409906962.78000000
2021-03-08,0.00020200,0.00023000,0.00017400,0.00017400,13867941842.37000000
2021-03-09,0.00017400,0.00020100,0.00015700,0.00016200,11628243639.06000000
2021-03-10,0.00016300,0.00020600,0.00015100,0.00019900,11818973549.06000000
2021-03-11,0.00019800,0.00022000,0.00019000,0.00020000,8661411455.24000000
2021-03-12,0.00019900,0.00025600,0.00019700,0.00023000,7105534692.03000000
2021-03-13,0.00023100,0.00026000,0.00015900,0.00017000,10608890021.34000000
2021-03-14,0.00017000,0.00020800,0.00016700,0.00020500,14053268834.12000000
2021-03-15,0.00020500,0.00024300,0.00019100,0.00022400,9809996588.02000000
2021-03-16,0.00022300,0.00025000,0.00020500,0.00021600,8967445868.45000000
2021-03-17,0.00021700,0.00024100,0.00019200,0.00019500,6543594303.85000000
2021-03-18,0.00019400,0.00023600,0.00019200,0.00023200,4685639773.93000000
2021-03-19,0.00023400,0.00025500,0.00020600,0.00021900,3397916378.97000000
2021-03-20,0.00022000,0.00022200,0.00018500,0.00021800,3736593424.93000000
2021-03-21,0.00021900,0.00023500,0.00021100,0.00022500,3131356569.58000000
2021-03-22,0.00022400,0.00028800,0.00021700,0.00027900,3075480893.12000000
2021-03-23,0.00027900,0.00030000,0.00026200,0.00029000,2991883844.77000000
2021-03-24,0.00029100,0.00036300,0.00024600,0.00033000,3580962885.39000000
2021-03-25,0.00033100,0.00036000,0.00026900,0.00028600,5162116157.53000000
2021-03-26,0.00028600,0.00028600,0.00021300,0.00021500,6807386176.38000000
2021-03-27,0.00021600,0.00024700,0.00021100,0.00022700,4591792078.41000000
2021-03-28,0.00022700,0.00026700,0.00021800,0.00023400,3845344416.96000000
2021-03-29,0.00023500,0.00025000,0.00020200,0.00021300,5036068508.93000000
2021-03-30,0.00021300,0.00022500,0.00018000,0.00018800,5474475041.17000000
2021-03-31,0.00018800,0.00021600,0.00016400,0.00018000,9542965227.72000000
2021-04-01,0.00018000,0.00019600,0.00016400,0.00018000,7252042393.17000000
2021-04-02,0.00018000,0.00018800,0.00013000,0.00013500,10152000485.19000000
2021-04-03,0.00013500,0.00018800,0.00013000,0.00018500,16451632835.35000000
2021-04-04,0.00018500,0.00019600,0.00014200,0.00015200,9269238277.08000000
2021-04-05,0.00015200,0.00017900,0.00014400,0.00015400,6465466611.43000000
2021-04-06,0.00015400,0.00016000,0.00014700,0.00015800,450852508.53000000
2021-04-07,3.00000000,3.00000000,0.58000000,2.32628200,807103.93000000
2021-04-08,2.33768700,2.36480100,1.92858800,1.92858800,179944.56000000
2021-04-09,1.92835100,2.22999700,1.87381000,2.17567400,258022.33000000
2021-04-10,2.17567900,2.23382000,1.40000000,2.01328700,826414.54000000
2021-04-11,2.02094800,2.12470400,1.94923700,1.96750000,113778.87000000
2021-04-12,1.98268000,2.09289700,1.43561800,1.66674200,479739.48000000
2021-04-13,1.65971500,1.84603000,1.40460300,1.66964600,393617.83000000
2021-04-14,1.68190500,1.98000000,1.38720000,1.41156300,438612.99000000
2021-04-15,1.41342000,1.44694000,1.02112100,1.16568300,881603.55000000
2021-04-16,1.15820800,1.49380400,1.11468500,1.28820400,808128.19000000
2021-04-17,1.29999700,1.38586300,1.10886500,1.33623000,390345.65000000
2021-04-18,1.34074400,3.09000000,0.43000000,1.07008300,1594737.56000000
2021-04-19,1.09199900,1.80000000,0.96200000,1.28414200,1165433.15000000
2021-04-20,1.28150000,1.80000000,0.97540000,1.05120000,1403667.64000000
2021-04-21,1.05370000,1.35000000,0.87400000,1.08090000,1174526.84000000
2021-04-22,1.08000000,1.12500000,0.74220000,0.96210000,3166468.25000000
2021-04-23,0.96410000,1.60000000,0.87590000,1.06110000,2770672.44000000
2021-04-24,1.06110000,1.30690000,1.05280000,1.28220000,1625138.82000000
2021-04-25,1.28190000,1.29030000,0.97440000,0.97700000,1739600.09000000
2021-04-26,0.97920000,1.00880000,0.63700000,0.64750000,8473785.28000000
2021-04-27,0.64460000,0.69020000,0.48000000,0.51650000,4197973.73000000
2021-04-28,0.51010000,0.52430000,0.35070000,0.40400000,10387429.17000000
2021-04-29,0.40400000,0.49700000,0.39580000,0.45550000,5658345.40000000
2021-04-30,0.45360000,0.48020000,0.40280000,0.43710000,3561343.01000000
2021-05-01,0.43850000,0.46340000,0.30770000,0.31590000,9634533.80000000
2021-05-02,0.31590000,0.36010000,0.31110000,0.34650000,9174629.72000000
2021-05-03,0.34800000,0.34800000,0.26220000,0.28730000,9928190.14000000
2021-05-04,0.28070000,0.43000000,0.12100000,0.41630000,11059028.62000000
2021-05-05,0.41630000,0.43750000,0.33070000,0.33900000,4351928.07000000
2021-05-06,0.34130000,0.41700000,0.33740000,0.39410000,2968606.88000000
2021-05-07,0.39390000,0.43670000,0.36470000,0.41310000,1991877.53000000
2021-05-08,0.41310000,0.42090000,0.34160000,0.36370000,1273293.90000000
2021-05-09,0.36600000,0.41730000,0.35890000,0.37730000,1262387.65000000
2021-05-10,0.38170000,0.50870000,0.32760000,0.41590000,3391340.91000000
2021-05-11,0.41590000,0.45300000,0.35330000,0.35910000,2222153.36000000
2021-05-12,0.35760000,0.35880000,0.15550000,0.20380000,71699618.97000000
2021-05-13,0.20320000,0.28900000,0.11280000,0.15590000,142326026.86000000
2021-05-14,0.15590000,0.15890000,0.08500000,0.09770000,68142313.33000000
2021-05-15,0.09780000,0.13930000,0.09130000,0.13520000,40149667.70000000
2021-05-16,0.13480000,0.18000000,0.10430000,0.13070000,33948998.72000000
2021-05-17,0.13260000,0.17000000,0.08600000,0.09360000,92820428.29000000
2021-05-18,0.09360000,0.09660000,0.06020000,0.07200000,296803409.03000000
2021-05-19,0.07200000,0.40000000,0.06540000,0.16520000,220520834.49000000
2021-05-20,0.16500000,0.22950000,0.08450000,0.10670000,132910031.07000000
2021-05-21,0.10710000,0.27000000,0.09060000,0.15550000,125403055.32000000
2021-05-22,0.15580000,0.23410000,0.14320000,0.19590000,95560097.03000000
2021-05-23,0.19520000,0.48200000,0.17170000,0.18800000,85391301.61000000
2021-05-24,0.18690000,0.19500000,0.08610000,0.09360000,112767671.45000000
2021-05-25,0.09480000,0.15000000,0.08250000,0.10400000,112021144.32000000
2021-05-26,0.10400000,0.11280000,0.07240000,0.07290000,97142918.13000000
2021-05-27,0.07310000,0.09500000,0.07290000,0.08870000,64853349.41000000
2021-05-28,0.08870000,0.13120000,0.08600000,0.11940000,139684420.72000000
2021-05-29,0.11940000,0.15180000,0.10780000,0.13500000,111062678.17000000
2021-05-30,0.13470000,0.15070000,0.09640000,0.10840000,111038801.23000000
2021-05-31,0.10860000,0.12600000,0.06620000,0.06720000,212744243.49000000
2021-06-01,0.06730000,0.07550000,0.06370000,0.07010000,176612171.64000000
2021-06-02,0.07000000,0.07470000,0.05900000,0.06550000,94075543.96000000
2021-06-03,0.06550000,0.06790000,0.05630000,0.05980000,70697159.99000000
2021-06-04,0.06000000,0.08180000,0.05990000,0.06880000,149551913.75000000
2021-06-05,0.06850000,0.08060000,0.06070000,0.07620000,122288765.26000000
2021-06-06,0.07610000,0.07700000,0.06990000,0.07100000,71627344.61000000
2021-06-07,0.07110000,0.08670000,0.06050000,0.08520000,130987325.75000000
2021-06-08,0.08530000,0.11200000,0.08230000,0.08860000,143415898.59000000
2021-06-09,0.08860000,0.10570000,0.08000000,0.08210000,111829045.71000000
2021-06-10,0.08200000,0.10630000,0.08160000,0.10120000,43415645.48000000
2021-06-11,0.10080000,0.12420000,0.09680000,0.12000000,33481457.13000000
2021-06-12,0.11980000,0.14500000,0.10950000,0.12250000,45762466.03000000
2021-06-13,0.12150000,0.13360000,0.08300000,0.08390000,47277665.74000000
2021-06-14,0.08400000,0.09080000,0.07380000,0.08300000,54085048.26000000
2021-06-15,0.08300000,0.08950000,0.07850000,0.08700000,27278728.58000000
2021-06-16,0.08710000,0.10210000,0.08570000,0.10000000,31013197.31000000
2021-06-17,0.09990000,0.10500000,0.09040000,0.09850000,22369817.72000000
2021-06-18,0.09860000,0.13000000,0.09740000,0.11740000,33305922.59000000
2021-06-19,0.11640000,0.13100000,0.10950000,0.13060000,39967757.31000000
2021-06-20,0.13080000,0.13490000,0.09100000,0.09490000,39787740.63000000
2021-06-21,0.09480000,0.17000000,0.09230000,0.15930000,59925215.85000000
2021-06-22,0.15950000,0.24000000,0.11370000,0.12710000,57045310.21000000
2021-06-23,0.12660000,0.13740000,0.10060000,0.12260000,44275531.80000000
2021-06-24,0.12260000,0.14150000,0.10730000,0.11700000,32681749.75000000
2021-06-25,0.11610000,0.15400000,0.11160000,0.15030000,42209869.50000000
2021-06-26,0.15050000,0.17750000,0.13700000,0.14950000,38797937.12000000
2021-06-27,0.14950000,0.15320000,0.11140000,0.11210000,40090669.19000000
2021-06-28,0.11180000,0.11900000,0.08200000,0.08640000,69433515.28000000
2021-06-29,0.08620000,0.08690000,0.07110000,0.07970000,65843764.34000000
2021-06-30,0.07960000,0.09300000,0.06740000,0.06930000,79638665.15000000
2021-07-01,0.06920000,0.08620000,0.06850000,0.08350000,84543916.73000000
2021-07-02,0.08350000,0.09500000,0.07640000,0.07700000,86295084.04000000
2021-07-03,0.07690000,0.08290000,0.05020000,0.05530000,160994051.26000000
2021-07-04,0.05540000,0.06070000,0.04000000,0.04470000,185762427.45000000
2021-07-05,0.04500000,0.05050000,0.03060000,0.03320000,252393439.47000000
2021-07-06,0.03320000,0.03340000,0.02470000,0.02940000,384202878.55000000
2021-07-07,0.02950000,0.03080000,0.02630000,0.02990000,210380247.66000000
2021-07-08,0.02990000,0.03910000,0.02950000,0.03510000,313666436.27000000
2021-07-09,0.03500000,0.03940000,0.02840000,0.03130000,298193926.18000000
2021-07-10,0.03140000,0.03540000,0.02900000,0.03340000,175085405.76000000
2021-07-11,0.03350000,0.03590000,0.02920000,0.03050000,156883078.68000000
2021-07-12,0.03050000,0.03350000,0.02630000,0.03200000,247013560.87000000
2021-07-13,0.03210000,0.04000000,0.03190000,0.03880000,194571523.63000000
2021-07-14,0.03880000,0.04600000,0.03200000,0.03390000,226985371.06000000
2021-07-15,0.03400000,0.03840000,0.03130000,0.03620000,177238786.14000000
2021-07-16,0.03610000,0.04280000,0.03380000,0.04240000,143293957.09000000
2021-07-17,0.04250000,0.04540000,0.04060000,0.04260000,115216900.14000000
2021-07-18,0.04270000,0.04350000,0.03670000,0.04220000,103161941.83000000
2021-07-19,0.04210000,0.05200000,0.04140000,0.04940000,111714586.57000000
2021-07-20,0.04930000,0.07560000,0.04720000,0.05680000,145006348.36000000
2021-07-21,0.05680000,0.06080000,0.03600000,0.03780000,187602137.61000000
2021-07-22,0.03780000,0.03880000,0.03170000,0.03220000,150328401.18000000
2021-07-23,0.03220000,0.03440000,0.02830000,0.02850000,180424764.66000000
2021-07-24,0.02849000,0.03015000,0.02610000,0.02854000,241478184.58000000
2021-07-25,0.02862000,0.03210000,0.02769000,0.02851000,181153980.41000000
2021-07-26,0.02852000,0.02910000,0.01906000,0.02394000,562295071.97000000
2021-07-27,0.02404000,0.02809000,0.02196000,0.02453000,346184345.94000000
2021-07-28,0.02463000,0.02600000,0.02260000,0.02478000,203855285.41000000
2021-07-29,0.02470000,0.02585000,0.02141000,0.02210000,225460056.19000000
2021-07-30,0.02212000,0.02397000,0.02002000,0.02034000,251105145.27000000
2021-07-31,0.02034000,0.02153000,0.01836000,0.01868000,164161500.47000000
2021-08-01,0.01871000,0.02147000,0.01728000,0.02090000,252532920.32000000
2021-08-02,0.02090000,0.02219000,0.01874000,0.02032000,244353704.91000000
2021-08-03,0.02035000,0.02355000,0.01969000,0.02242000,221785509.53000000
2021-08-04,0.02242000,0.02390000,0.01680000,0.01731000,286899836.17000000
2021-08-05,0.01731000,0.01753000,0.01293000,0.01386000,594756482.29000000
2021-08-06,0.01388000,0.01513000,0.01335000,0.01416000,200772676.89000000
2021-08-07,0.01419000,0.01453000,0.01155000,0.01282000,250792127.63000000
2021-08-08,0.01279000,0.01600000,0.01238000,0.01518000,235466044.04000000
2021-08-09,0.01515000,0.01658000,0.01251000,0.01334000,257960707.23000000
2021-08-10,0.01348000,0.01387000,0.01119000,0.01244000,236711990.68000000
2021-08-11,0.01245000,0.01259000,0.00961000,0.01060000,278121056.48000000
