Date,Open,High,Low,Close,Volume
2020-10-15,51.43000000,59.00000000,42.74700000,42.99900000,98648.87000000
2020-10-16,43.01700000,43.80000000,39.09200000,39.46100000,90836.41200000
2020-10-17,39.37100000,43.23500000,38.20600000,41.36500000,41971.14300000
2020-10-18,41.35900000,41.42500000,39.42800000,40.75000000,30917.95300000
2020-10-19,40.82000000,41.00000000,35.91200000,35.98000000,86475.93600000
2020-10-20,36.00000000,36.40300000,32.00000000,32.16000000,202653.50400000
2020-10-21,32.18600000,37.14500000,32.00000000,35.07300000,145648.76800000
2020-10-22,35.03300000,40.37900000,33.26600000,37.83600000,154369.97800000
2020-10-23,37.91100000,42.65800000,36.99800000,41.68100000,190627.95100000
2020-10-24,41.68100000,42.63000000,38.50200000,39.43700000,102431.60800000
2020-10-25,39.43800000,41.00000000,37.20000000,37.89500000,74622.93300000
2020-10-26,37.89300000,39.19200000,34.85500000,35.95000000,95472.30900000
2020-10-27,35.96800000,39.00100000,34.37300000,34.86900000,178571.48600000
2020-10-28,34.93500000,35.67000000,32.00000000,32.42200000,144227.57400000
2020-10-29,32.42700000,33.23000000,28.12400000,29.24400000,175965.90800000
2020-10-30,29.17800000,32.00000000,27.73000000,31.08700000,180251.71900000
2020-10-31,31.08700000,32.93800000,29.51500000,29.70000000,113411.55900000
2020-11-01,29.73700000,31.12400000,28.20000000,30.75700000,83150.52000000
2020-11-02,30.70300000,34.48500000,29.13000000,29.72400000,179642.32500000
2020-11-03,29.72300000,30.07500000,27.42400000,28.12200000,84414.77000000
2020-11-04,28.14200000,28.44400000,26.06500000,27.68600000,81620.58900000
2020-11-05,27.75200000,33.00000000,25.93900000,30.99500000,222270.50900000
2020-11-06,30.99700000,41.00000000,30.84300000,38.65000000,375996.38100000
2020-11-07,38.55500000,51.90000000,38.34100000,44.52900000,489983.21000000
2020-11-08,44.42600000,54.90000000,42.60600000,53.93100000,361623.58000000
2020-11-09,53.95000000,59.09400000,49.45000000,55.11300000,563452.11400000
2020-11-10,55.19100000,70.82500000,52.82200000,66.98800000,555485.00300000
2020-11-11,67.06600000,69.26000000,53.29500000,54.43700000,673820.57700000
2020-11-12,54.52100000,60.00000000,50.40000000,51.79400000,441454.10300000
2020-11-13,51.75900000,66.88800000,51.04500000,63.45600000,676038.28100000
2020-11-14,63.45600000,68.87400000,57.79400000,66.83000000,451967.26600000
2020-11-15,66.85500000,71.41400000,58.76600000,64.25600000,492772.89100000
2020-11-16,64.25100000,74.50000000,60.90300000,72.97500000,451995.49600000
2020-11-17,72.95800000,80.00000000,68.51500000,79.26300000,470703.66800000
2020-11-18,79.26200000,79.99900000,67.02000000,75.15000000,434314.72500000
2020-11-19,75.18700000,81.44500000,70.27000000,76.28000000,447059.08900000
2020-11-20,76.38100000,82.48000000,74.36000000,74.94500000,348080.23900000
2020-11-21,74.96800000,77.19900000,67.67800000,70.48700000,380532.67200000
2020-11-22,70.48800000,74.91800000,62.92900000,68.81100000,361693.24800000
2020-11-23,68.76200000,74.00000000,65.47000000,72.32300000,319425.10300000
2020-11-24,72.39800000,75.50000000,66.05800000,66.78200000,313765.23700000
2020-11-25,66.78300000,67.58800000,59.09100000,61.72400000,233074.56300000
2020-11-26,61.65800000,65.22000000,50.00000000,64.21100000,665069.42100000
2020-11-27,64.33300000,69.16000000,56.22000000,60.80200000,351791.30400000
2020-11-28,60.80400000,66.42600000,58.77600000,63.94400000,177631.84300000
2020-11-29,63.92400000,69.80000000,61.80500000,68.88600000,209866.30300000
2020-11-30,68.95400000,79.93900000,68.93600000,76.00000000,474161.16300000
2020-12-01,76.02700000,79.00000000,69.20000000,74.30000000,336342.68100000
2020-12-02,74.35500000,90.89000000,71.60100000,86.64700000,570704.93600000
2020-12-03,86.65400000,94.87500000,82.96100000,91.55800000,402175.91500000
2020-12-04,91.53800000,94.00000000,79.20000000,80.67900000,360257.70700000
2020-12-05,80.80300000,92.88800000,79.33200000,92.71400000,299675.80700000
2020-12-06,92.71400000,92.99000000,84.60000000,87.83800000,213076.06600000
2020-12-07,87.90500000,95.00000000,86.63500000,90.68800000,305654.06700000
2020-12-08,90.75000000,91.25700000,77.73200000,80.06800000,453341.44000000
2020-12-09,80.04700000,86.14000000,74.63400000,82.57000000,389196.45500000
2020-12-10,82.57700000,83.04600000,75.70000000,76.32400000,256332.50600000
2020-12-11,76.53200000,80.05300000,70.56400000,74.64600000,361608.81300000
2020-12-12,74.67400000,80.27900000,74.57000000,77.83800000,220629.47700000
2020-12-13,77.77100000,85.00000000,76.59500000,83.92900000,257884.94500000
2020-12-14,83.93300000,91.78000000,79.58400000,86.29500000,374587.77600000
2020-12-15,86.41700000,88.94500000,84.24000000,87.06800000,276144.37600000
2020-12-16,87.12400000,89.81300000,80.10000000,87.54200000,421722.34700000
2020-12-17,87.48800000,90.00000000,82.80000000,85.03400000,352813.40900000
2020-12-18,84.99000000,90.50000000,81.74300000,90.42400000,201038.93800000
2020-12-19,90.37100000,96.32900000,88.00000000,88.98300000,358830.65200000
2020-12-20,88.93100000,90.01400000,83.73800000,85.62900000,303379.64300000
2020-12-21,85.57400000,87.79100000,77.46500000,80.75700000,216921.79400000
2020-12-22,80.84600000,86.85000000,75.66000000,84.33000000,196557.30600000
2020-12-23,84.32100000,84.49800000,63.02100000,75.71800000,290937.50300000
2020-12-24,75.77100000,80.69200000,71.10100000,80.66500000,246810.94000000
2020-12-25,80.66400000,81.90000000,75.84500000,79.65800000,133486.94600000
2020-12-26,79.77000000,79.95000000,73.77800000,75.05500000,145347.57700000
2020-12-27,75.06600000,82.05200000,72.64900000,76.75100000,239273.93400000
2020-12-28,76.76200000,85.98700000,76.00700000,81.83300000,211680.81900000
2020-12-29,81.80000000,82.99900000,75.00000000,78.13600000,144129.27800000
2020-12-30,78.12200000,86.00000000,77.13400000,81.00000000,219116.31300000
2020-12-31,81.00000000,88.58700000,78.25000000,88.48000000,199212.07400000
2021-01-01,88.35000000,90.83200000,84.64500000,90.71100000,193634.03500000
2021-01-02,90.82700000,91.99000000,82.47300000,85.76800000,199756.52900000
2021-01-03,85.75400000,95.00000000,81.29100000,93.77800000,290702.54100000
2021-01-04,93.78900000,115.52200000,86.01000000,114.27100000,658257.70800000
2021-01-05,114.23100000,123.96200000,98.41000000,119.68900000,517557.04300000
2021-01-06,119.68600000,120.50000000,107.75200000,115.19100000,303818.95400000
2021-01-07,115.30900000,129.00000000,107.89000000,114.82300000,409727.42600000
2021-01-08,114.99900000,119.37000000,100.00000000,110.48100000,302116.47100000
2021-01-09,110.72100000,119.21900000,105.91800000,117.47900000,230440.99600000
2021-01-10,117.61100000,135.99000000,111.43000000,127.00700000,470126.59900000
2021-01-11,126.90000000,127.28700000,94.02000000,114.21200000,571386.72500000
2021-01-12,114.28300000,135.75400000,109.10000000,127.76500000,476089.84100000
2021-01-13,127.66100000,147.92800000,119.83800000,146.81100000,426638.76000000
2021-01-14,146.81800000,154.94400000,139.14100000,147.53000000,250449.03000000
2021-01-15,147.69500000,169.59900000,139.50000000,166.51300000,355799.39100000
2021-01-16,166.41500000,203.49800000,166.35000000,181.41700000,571037.75100000
2021-01-17,181.32600000,198.92700000,174.18100000,186.32300000,348083.53300000
2021-01-18,186.25300000,200.69600000,180.50000000,200.05400000,228058.11200000
2021-01-19,200.05400000,209.98000000,183.90000000,186.07900000,290743.12400000
2021-01-20,185.88200000,199.22900000,171.34600000,196.73300000,277923.43600000
2021-01-21,196.78700000,199.28500000,155.21000000,160.32100000,454780.95700000
2021-01-22,160.29000000,199.31800000,147.27000000,189.59200000,333628.87700000
2021-01-23,189.59700000,220.00000000,185.54800000,213.30400000,290322.73400000
2021-01-24,213.37300000,288.90000000,212.19400000,264.40100000,705578.74400000
2021-01-25,264.52600000,283.00000000,238.00000000,247.64700000,502590.09200000
2021-01-26,247.50600000,287.99800000,240.29000000,277.66100000,464004.53100000
2021-01-27,277.65300000,298.57600000,255.00000000,286.00000000,526131.38100000
2021-01-28,286.20800000,308.89900000,275.00000000,297.20900000,364117.93000000
2021-01-29,297.55400000,308.37300000,271.27400000,287.80000000,359239.90000000
2021-01-30,288.00600000,323.70300000,282.00000000,314.79100000,282329.49800000
2021-01-31,315.12400000,319.00000000,290.00000000,299.60100000,186022.76800000
2021-02-01,299.97500000,307.36600000,283.60700000,294.95400000,202277.08300000
2021-02-02,295.28100000,307.00000000,285.66500000,302.98700000,197749.28400000
2021-02-03,302.99500000,388.50000000,300.49000000,384.49900000,348001.69900000
2021-02-04,384.21700000,520.18200000,384.21700000,466.58200000,1031523.19100000
2021-02-05,466.58200000,542.54300000,464.84000000,505.37600000,436865.87200000
2021-02-06,505.63400000,510.12300000,432.43800000,473.93600000,428312.32200000
2021-02-07,473.88900000,482.13000000,392.50000000,472.90700000,352083.24700000
2021-02-08,473.12500000,531.01000000,462.19100000,489.29400000,387242.33200000
2021-02-09,488.82500000,510.64900000,471.00000000,488.21800000,253535.25900000
2021-02-10,488.28000000,581.66700000,488.00000000,523.49700000,428773.25300000
2021-02-11,523.34000000,541.82700000,507.43400000,517.18900000,163767.73100000
2021-02-12,517.60000000,544.15200000,499.00300000,528.32500000,177878.28500000
2021-02-13,528.32600000,543.61900000,484.68500000,494.73200000,182381.46400000
2021-02-14,494.38700000,509.29800000,460.28000000,468.52500000,137670.97600000
2021-02-15,468.43000000,497.00000000,380.00000000,455.66600000,350475.31100000
2021-02-16,455.76600000,478.87500000,421.17900000,432.36400000,247618.86900000
2021-02-17,432.24100000,469.00000000,400.00000000,451.33300000,273023.56400000
2021-02-18,451.83500000,480.00000000,434.41100000,441.50300000,216935.09200000
2021-02-19,441.25800000,452.03000000,405.21300000,419.60400000,279827.88700000
2021-02-20,419.58800000,498.00000000,405.60000000,441.10800000,633739.33300000
2021-02-21,441.05500000,454.82400000,424.00600000,436.96500000,220938.51500000
2021-02-22,436.98600000,448.61100000,347.90700000,400.00000000,395236.16400000
2021-02-23,400.35000000,404.05200000,284.62700000,364.25800000,585503.05300000
2021-02-24,364.03100000,406.00000000,341.52700000,367.50300000,318085.95300000
2021-02-25,367.08600000,388.68800000,334.36000000,338.56300000,187331.60300000
2021-02-26,339.29900000,353.66800000,302.54900000,323.26800000,240591.26200000
2021-02-27,323.18200000,349.99800000,322.78700000,332.82400000,168185.16800000
2021-02-28,332.80800000,365.98000000,300.14000000,354.15500000,256054.90100000
2021-03-01,353.79100000,389.25500000,350.13400000,385.95200000,292520.86400000
2021-03-02,385.54500000,417.79100000,376.12200000,390.94600000,310310.83200000
2021-03-03,390.44400000,419.00000000,383.73400000,395.50100000,170228.24400000
2021-03-04,395.50200000,410.99800000,365.69100000,373.73300000,178117.31500000
2021-03-05,374.25100000,377.27500000,339.99000000,367.00500000,153319.43100000
2021-03-06,366.65800000,391.18100000,351.66400000,387.93400000,99771.41100000
2021-03-07,387.93500000,419.96000000,384.01200000,414.89000000,289459.79900000
2021-03-08,415.03300000,437.31500000,391.79900000,437.28200000,284970.59000000
2021-03-09,437.21200000,450.00000000,416.83300000,444.08800000,201434.13600000
2021-03-10,444.05900000,459.00000000,399.04200000,406.84800000,235481.22400000
2021-03-11,406.25200000,416.00000000,387.42800000,404.84600000,169000.49700000
2021-03-12,405.14200000,408.00000000,360.00000000,373.76300000,209409.99900000
2021-03-13,373.69400000,428.00000000,359.67400000,413.75900000,233935.37500000
2021-03-14,413.94800000,418.42700000,376.86600000,380.66900000,169324.94800000
2021-03-15,380.00900000,389.90400000,353.79100000,367.59200000,150620.01800000
2021-03-16,367.59200000,377.99900000,350.19400000,370.66600000,119804.40400000
2021-03-17,370.67400000,384.31900000,358.00000000,382.90000000,118430.40400000
2021-03-18,382.89900000,384.72000000,360.82200000,363.13300000,91231.72000000
2021-03-19,362.99100000,380.00000000,353.33900000,368.86100000,100318.81700000
2021-03-20,368.82600000,396.20000000,367.37500000,370.17100000,95874.82300000
2021-03-21,370.17100000,375.82300000,359.43200000,367.33900000,63351.06500000
2021-03-22,367.59700000,373.72000000,331.94800000,336.33500000,92905.14900000
2021-03-23,336.19500000,345.33700000,325.92400000,330.48900000,100615.91600000
2021-03-24,330.29900000,348.80200000,296.22500000,308.01900000,120517.59900000
2021-03-25,308.39400000,333.16800000,298.00000000,325.22300000,158041.74600000
2021-03-26,325.63400000,360.58600000,325.23600000,358.42800000,119722.20100000
2021-03-27,358.68200000,361.97500000,339.40800000,351.31900000,77996.41300000
2021-03-28,351.31500000,356.83000000,332.06000000,347.72100000,90141.86700000
2021-03-29,348.03600000,367.81900000,344.39000000,360.82700000,122881.97100000
2021-03-30,360.69400000,383.59900000,353.00000000,377.32800000,143158.50400000
2021-03-31,377.30500000,395.00000000,357.40100000,382.56700000,196426.49400000
2021-04-01,382.56700000,393.50000000,370.85100000,382.21600000,151457.54200000
2021-04-02,382.24900000,422.31200000,377.35300000,420.08200000,191826.84400000
2021-04-03,420.00000000,425.50000000,376.31400000,379.62200000,137624.37500000
2021-04-04,379.59800000,411.66400000,372.00000000,403.40000000,110604.90400000
2021-04-05,403.49900000,408.17100000,383.36400000,398.08500000,107399.95200000
2021-04-06,398.39900000,415.12900000,379.30300000,382.99000000,177327.11100000
2021-04-07,383.29300000,387.12900000,340.20700000,349.20300000,184615.22000000
2021-04-08,348.67200000,371.56600000,346.40000000,371.02700000,122396.09600000
