Date,Open,High,Low,Close,Volume
2022-01-25,2.00000000,2.80000000,1.82000000,2.01100000,20133566.29000000
2022-01-26,2.01100000,2.10200000,1.58100000,1.68400000,11243459.16000000
2022-01-27,1.68800000,1.78300000,1.51200000,1.58600000,6619352.30000000
2022-01-28,1.59200000,1.66800000,1.51000000,1.61800000,3807707.33000000
2022-01-29,1.61300000,1.71500000,1.58400000,1.63400000,3671436.87000000
2022-01-30,1.63400000,1.76400000,1.51200000,1.51200000,3138241.65000000
2022-01-31,1.52100000,1.54400000,1.41800000,1.46700000,3589918.18000000
2022-02-01,1.46600000,1.58300000,1.46000000,1.47500000,2361130.80000000
2022-02-02,1.47900000,1.50900000,1.29900000,1.30800000,2977669.50000000
2022-02-03,1.30800000,1.34200000,1.21000000,1.25800000,3449854.02000000
2022-02-04,1.26100000,1.78000000,1.23100000,1.66500000,16002200.20000000
2022-02-05,1.66500000,1.88000000,1.61800000,1.64800000,7584483.71000000
2022-02-06,1.64800000,1.71000000,1.57000000,1.68600000,3417955.05000000
2022-02-07,1.68600000,1.90000000,1.59200000,1.75400000,3697562.66000000
2022-02-08,1.75300000,1.95700000,1.62100000,1.78400000,6967735.28000000
2022-02-09,1.78400000,1.86200000,1.68700000,1.77700000,2858189.46000000
2022-02-10,1.78400000,1.95600000,1.70000000,1.75000000,4340568.40000000
2022-02-11,1.75100000,1.83200000,1.53100000,1.56100000,3550738.97000000
2022-02-12,1.56200000,1.62600000,1.41500000,1.47900000,3215263.06000000
2022-02-13,1.48000000,1.65600000,1.41800000,1.46600000,3357882.30000000
2022-02-14,1.46600000,1.48500000,1.40500000,1.46200000,1349528.06000000
