Date,Open,High,Low,Close,Volume
2021-10-29,0.53480000,1.92660000,0.53480000,1.16330000,441107921.00000000
2021-10-30,1.16230000,1.46000000,1.02690000,1.04580000,210400152.00000000
2021-10-31,1.04590000,1.15000000,0.90920000,0.91420000,37438608.00000000
2021-11-01,0.91420000,0.95000000,0.80000000,0.86880000,13997045.00000000
2021-11-02,0.86840000,0.90690000,0.85000000,0.86150000,9441894.00000000
2021-11-03,0.86300000,0.86510000,0.78460000,0.78990000,9024532.00000000
2021-11-04,0.78970000,0.80860000,0.72300000,0.75280000,9847682.00000000
2021-11-05,0.75110000,0.81990000,0.72570000,0.74000000,9119365.00000000
2021-11-06,0.73930000,1.09620000,0.72480000,0.84720000,57169853.00000000
2021-11-07,0.84900000,0.93470000,0.78540000,0.81960000,28113122.00000000
2021-11-08,0.81770000,0.82060000,0.77770000,0.78490000,5345855.00000000
2021-11-09,0.78660000,0.82850000,0.77870000,0.78220000,5109582.00000000
2021-11-10,0.78180000,0.80180000,0.72100000,0.74430000,4366391.00000000
2021-11-11,0.74190000,0.96890000,0.73500000,0.78930000,27551353.00000000
2021-11-12,0.78790000,0.84000000,0.75660000,0.80420000,8493685.00000000
2021-11-13,0.80260000,0.82180000,0.77960000,0.78440000,4460449.00000000
2021-11-14,0.78440000,0.80170000,0.76600000,0.77280000,2618062.00000000
2021-11-15,0.77280000,0.79390000,0.75810000,0.76000000,2508610.00000000
2021-11-16,0.76020000,0.86670000,0.69240000,0.78940000,17115232.00000000
2021-11-17,0.78990000,0.84860000,0.75200000,0.75980000,8461392.00000000
2021-11-18,0.75970000,0.79010000,0.69880000,0.70350000,4078014.00000000
2021-11-19,0.70390000,0.74950000,0.68190000,0.73260000,2709964.00000000
2021-11-20,0.73280000,0.80000000,0.71270000,0.75320000,6775145.00000000
2021-11-21,0.75140000,0.84650000,0.73170000,0.77820000,10744989.00000000
2021-11-22,0.77900000,0.81900000,0.74360000,0.75360000,6183490.00000000
2021-11-23,0.75060000,0.77860000,0.74510000,0.76130000,2876029.00000000
2021-11-24,0.76260000,0.76990000,0.69820000,0.71300000,3686016.00000000
2021-11-25,0.71320000,0.76730000,0.71240000,0.74810000,4227605.00000000
2021-11-26,0.74820000,0.76600000,0.67060000,0.67530000,4465071.00000000
2021-11-27,0.67750000,0.78420000,0.67540000,0.72430000,7689906.00000000
2021-11-28,0.72350000,0.72950000,0.66620000,0.72400000,3685914.00000000
2021-11-29,0.72400000,0.75100000,0.70280000,0.72130000,3540616.00000000
2021-11-30,0.72110000,0.74990000,0.70080000,0.73150000,3251575.00000000
2021-12-01,0.73150000,0.79000000,0.71290000,0.72060000,5047090.00000000
2021-12-02,0.71950000,0.77930000,0.69470000,0.74000000,7324902.00000000
2021-12-03,0.74090000,0.91900000,0.72800000,0.72820000,30178923.00000000
2021-12-04,0.72780000,0.72920000,0.53000000,0.62380000,7065971.00000000
2021-12-05,0.62390000,0.63580000,0.55500000,0.58760000,2996923.00000000
2021-12-06,0.58720000,0.66900000,0.54010000,0.61140000,6545292.00000000
2021-12-07,0.61010000,0.63500000,0.59000000,0.60510000,2313025.00000000
2021-12-08,0.60510000,0.63180000,0.59170000,0.61790000,4457433.00000000
2021-12-09,0.61790000,0.62920000,0.56830000,0.57500000,4877941.00000000
2021-12-10,0.57530000,0.60180000,0.54550000,0.54870000,4384180.00000000
2021-12-11,0.54820000,0.58200000,0.54060000,0.57590000,3580927.00000000
2021-12-12,0.57530000,0.60630000,0.56770000,0.60080000,4941621.00000000
2021-12-13,0.60080000,0.60250000,0.51110000,0.53060000,4932273.00000000
2021-12-14,0.53010000,0.58450000,0.52800000,0.56050000,10695347.00000000
2021-12-15,0.55880000,0.56330000,0.51700000,0.55360000,5009560.00000000
2021-12-16,0.55270000,0.57710000,0.55230000,0.55720000,3985286.00000000
2021-12-17,0.55810000,0.57720000,0.53260000,0.54370000,5240809.00000000
2021-12-18,0.54280000,0.59900000,0.53250000,0.55630000,6155668.00000000
2021-12-19,0.55440000,0.59900000,0.54560000,0.55000000,5094235.00000000
2021-12-20,0.54900000,0.56050000,0.53900000,0.55520000,4731970.00000000
2021-12-21,0.55520000,0.57180000,0.54740000,0.56640000,3481029.00000000
2021-12-22,0.56640000,0.60000000,0.56460000,0.58630000,4853584.00000000
2021-12-23,0.58630000,0.60500000,0.57270000,0.59560000,5000803.00000000
2021-12-24,0.59590000,0.63930000,0.59020000,0.62590000,7200569.00000000
2021-12-25,0.62550000,0.64920000,0.60370000,0.61250000,3700718.00000000
2021-12-26,0.61220000,0.62930000,0.60800000,0.62190000,4900552.00000000
2021-12-27,0.62160000,0.68960000,0.62150000,0.64740000,7698261.00000000
2021-12-28,0.64780000,0.65530000,0.55860000,0.58050000,3044810.00000000
2021-12-29,0.58030000,0.58680000,0.55210000,0.55570000,6034544.00000000
2021-12-30,0.55460000,0.57860000,0.54790000,0.57010000,4865316.00000000
2021-12-31,0.56990000,0.60170000,0.54980000,0.55460000,5702635.00000000
2022-01-01,0.55470000,0.57340000,0.55470000,0.57290000,3673337.00000000
2022-01-02,0.57340000,0.59070000,0.57170000,0.57990000,5026816.00000000
2022-01-03,0.57960000,0.61320000,0.56880000,0.57980000,5994066.00000000
2022-01-04,0.58040000,0.58280000,0.56130000,0.56130000,4523688.00000000
2022-01-05,0.56130000,0.57460000,0.51420000,0.52760000,5968650.00000000
2022-01-06,0.52760000,0.53220000,0.50870000,0.52230000,3784682.00000000
2022-01-07,0.52280000,0.52280000,0.49160000,0.49530000,6020574.00000000
2022-01-08,0.49670000,0.50570000,0.46950000,0.48750000,6015307.00000000
2022-01-09,0.48750000,0.49270000,0.46900000,0.48140000,3688295.00000000
