Date,Open,High,Low,Close,Volume
2021-10-05,2.95100000,5.43700000,2.95100000,4.73000000,42047404.90000000
2021-10-06,4.73200000,5.19000000,4.00500000,4.37000000,22413038.00000000
2021-10-07,4.37200000,4.39900000,3.69000000,3.80900000,10611730.20000000
2021-10-08,3.81400000,4.07500000,3.53400000,3.67200000,6683106.70000000
2021-10-09,3.67400000,4.14400000,3.59800000,3.70700000,7293931.10000000
2021-10-10,3.71100000,3.86400000,3.40400000,3.45100000,4062361.80000000
2021-10-11,3.45000000,4.23000000,3.38200000,3.79300000,7718066.50000000
2021-10-12,3.79200000,3.82400000,3.40000000,3.54500000,4086111.10000000
2021-10-13,3.54100000,3.69900000,3.26500000,3.47700000,4529033.40000000
2021-10-14,3.47200000,3.98900000,3.45200000,3.66100000,5273017.70000000
2021-10-15,3.66100000,3.85000000,3.47500000,3.57800000,3548085.00000000
2021-10-16,3.57800000,3.81000000,3.48800000,3.71100000,2821992.70000000
2021-10-17,3.71600000,4.13900000,3.63900000,3.84700000,6035062.70000000
2021-10-18,3.84300000,4.06000000,3.58400000,3.64100000,2632118.60000000
2021-10-19,3.64200000,3.71000000,3.55000000,3.62300000,1431137.80000000
2021-10-20,3.62300000,3.68600000,3.45400000,3.56500000,2268452.80000000
2021-10-21,3.56500000,3.78700000,3.31600000,3.35800000,3003003.50000000
2021-10-22,3.35400000,3.42900000,3.17300000,3.27200000,2093632.40000000
2021-10-23,3.27300000,3.36900000,3.11000000,3.12300000,1496761.20000000
2021-10-24,3.12400000,3.24900000,2.95000000,2.97500000,2128362.10000000
2021-10-25,2.97500000,3.21200000,2.95600000,3.06400000,2469990.80000000
2021-10-26,3.06600000,3.20800000,3.01300000,3.10100000,2144587.00000000
2021-10-27,3.11000000,3.18000000,2.55500000,2.57600000,4298538.70000000
2021-10-28,2.57300000,2.73600000,2.48800000,2.66700000,4069826.10000000
2021-10-29,2.66500000,3.78000000,2.64000000,3.40000000,12087057.40000000
2021-10-30,3.40400000,3.58800000,3.18000000,3.28300000,6765137.40000000
2021-10-31,3.28500000,3.57400000,2.91100000,3.06800000,4080978.70000000
2021-11-01,3.07400000,3.18200000,2.87900000,2.97500000,2684144.30000000
2021-11-02,2.97800000,3.17000000,2.89800000,3.01000000,3566433.60000000
2021-11-03,3.00400000,3.07500000,2.87500000,2.93400000,4049956.40000000
2021-11-04,2.93600000,3.05100000,2.71000000,2.79700000,3247471.30000000
2021-11-05,2.79400000,2.87700000,2.73800000,2.82600000,2015865.00000000
2021-11-06,2.82500000,3.15000000,2.70000000,2.85700000,5159230.50000000
2021-11-07,2.85300000,2.98800000,2.80500000,2.87000000,2030357.60000000
2021-11-08,2.87200000,2.87500000,2.75100000,2.81000000,1892672.80000000
2021-11-09,2.80500000,2.89700000,2.72400000,2.82300000,2186302.30000000
2021-11-10,2.81900000,2.87000000,2.51200000,2.62400000,2054041.60000000
