Date,Open,High,Low,Close,Volume
2022-01-25,1.55000000,1.98000000,1.53800000,1.61900000,8254990.44000000
2022-01-26,1.62000000,1.67000000,1.57700000,1.58200000,1682466.63000000
2022-01-27,1.58200000,1.59700000,1.38200000,1.40600000,1107694.42000000
2022-01-28,1.40600000,1.41700000,1.25300000,1.33700000,2265217.17000000
2022-01-29,1.33900000,1.68700000,1.33200000,1.56600000,7878886.30000000
2022-01-30,1.56500000,1.65500000,1.50800000,1.53400000,2708687.47000000
2022-01-31,1.53400000,1.55500000,1.45300000,1.54400000,1172981.34000000
2022-02-01,1.54100000,1.58200000,1.52900000,1.55700000,321009.23000000
2022-02-02,1.55700000,1.56800000,1.35200000,1.35200000,2642052.31000000
2022-02-03,1.35200000,1.37400000,1.30400000,1.34400000,2250324.27000000
2022-02-04,1.34600000,1.42800000,1.32000000,1.42300000,652210.91000000
2022-02-05,1.42200000,1.49900000,1.40600000,1.41400000,675381.81000000
2022-02-06,1.41100000,1.44000000,1.40300000,1.42000000,338421.96000000
2022-02-07,1.41900000,1.60900000,1.40200000,1.60200000,1131127.18000000
2022-02-08,1.60500000,1.70000000,1.48300000,1.62100000,2139063.37000000
2022-02-09,1.62100000,2.03000000,1.59100000,1.76800000,3067871.45000000
2022-02-10,1.76800000,2.01000000,1.74500000,1.86900000,8103856.35000000
2022-02-11,1.86900000,2.02000000,1.66200000,1.69500000,2723590.42000000
2022-02-12,1.69400000,1.69800000,1.58200000,1.68300000,1220111.08000000
2022-02-13,1.68400000,2.09000000,1.67400000,1.93200000,8765066.80000000
2022-02-14,1.93100000,2.18000000,1.85600000,2.15100000,5068864.89000000
