Date,Open,High,Low,Close,Volume
2020-12-30,20.18000000,29.88000000,7.60200000,9.59900000,1012607.55700000
2020-12-31,9.59900000,10.32200000,6.86000000,6.97000000,214314.46100000
2021-01-01,6.92700000,7.50300000,5.63100000,7.11100000,334914.13800000
2021-01-02,7.11100000,7.95800000,5.68300000,5.82600000,252007.57800000
2021-01-03,5.85800000,6.27000000,5.01500000,5.09100000,143080.56600000
2021-01-04,5.08800000,5.20400000,4.22100000,4.86100000,152279.12400000
2021-01-05,4.84000000,4.88900000,4.19400000,4.36300000,114901.68400000
2021-01-06,4.36300000,4.62200000,4.14400000,4.20000000,134363.66000000
2021-01-07,4.15100000,4.33000000,3.84100000,3.84500000,130754.72400000
2021-01-08,3.84500000,4.60000000,3.74000000,3.95500000,126254.25000000
2021-01-09,4.04900000,4.04900000,3.64800000,3.75100000,64809.13400000
2021-01-10,3.75100000,3.85000000,3.21500000,3.51800000,64450.94500000
2021-01-11,3.48600000,3.48600000,2.77600000,3.13100000,97101.33200000
2021-01-12,3.06800000,3.17600000,2.85000000,2.99900000,27598.70500000
2021-01-13,2.99900000,5.96200000,2.77600000,5.20400000,563043.49000000
2021-01-14,5.20300000,5.81000000,4.25700000,4.47200000,691903.30700000
2021-01-15,4.50000000,4.89300000,4.28800000,4.42400000,390151.21600000
2021-01-16,4.40900000,4.90000000,4.23400000,4.48100000,329031.36600000
2021-01-17,4.44500000,4.60000000,4.24000000,4.27100000,177446.44500000
2021-01-18,4.28900000,4.38400000,4.03400000,4.27100000,473236.32800000
2021-01-19,4.28000000,4.29600000,4.04900000,4.07800000,689445.23800000
2021-01-20,4.08200000,4.60000000,3.95100000,4.38700000,168361.31900000
2021-01-21,4.38400000,4.54700000,3.79800000,3.89800000,89575.99700000
2021-01-22,3.89700000,4.15900000,3.57400000,3.97500000,42536.74400000
2021-01-23,3.97400000,4.03700000,3.70700000,3.80600000,43272.78700000
2021-01-24,3.80900000,3.92600000,3.71400000,3.78600000,37222.55300000
2021-01-25,3.78700000,3.91000000,3.64200000,3.68000000,41635.60900000
2021-01-26,3.68000000,4.19000000,3.47800000,4.06700000,79694.57900000
2021-01-27,4.11400000,4.46000000,3.73000000,4.14500000,232060.02500000
2021-01-28,4.18000000,6.60000000,3.75000000,3.76500000,1400689.29700000
2021-01-29,3.79900000,4.57000000,3.55500000,3.74900000,439761.50500000
2021-01-30,3.77500000,3.85500000,3.58200000,3.73600000,123119.41800000
2021-01-31,3.72700000,3.89000000,3.56900000,3.62700000,84321.68900000
2021-02-01,3.63200000,3.86000000,3.41500000,3.74300000,152389.67300000
2021-02-02,3.74700000,3.83800000,3.64100000,3.79300000,83958.94600000
2021-02-03,3.79900000,4.30000000,3.60200000,3.97700000,168934.89100000
2021-02-04,3.97700000,3.99000000,3.61100000,3.79200000,186773.38000000
2021-02-05,3.80600000,4.09200000,3.71000000,3.97500000,138299.14500000
2021-02-06,3.97500000,4.55500000,3.88100000,4.16200000,287646.70300000
2021-02-07,4.15200000,4.49500000,3.93600000,4.21000000,166103.91400000
2021-02-08,4.21400000,4.91700000,4.21300000,4.87900000,270630.19100000
2021-02-09,4.88000000,4.99900000,4.59700000,4.81300000,324566.86100000
2021-02-10,4.81300000,5.90100000,4.81300000,5.44400000,367820.70400000
2021-02-11,5.47600000,6.45000000,5.27000000,6.38700000,243948.98800000
2021-02-12,6.38700000,6.94400000,5.88400000,6.55600000,381185.09700000
2021-02-13,6.55500000,8.11300000,6.53600000,7.26300000,451266.43000000
2021-02-14,7.26300000,7.55600000,6.10000000,6.33700000,302195.32200000
2021-02-15,6.33700000,6.60100000,5.29000000,6.06300000,219515.54700000
2021-02-16,6.06300000,6.89900000,5.74100000,6.49000000,224959.70000000
2021-02-17,6.45100000,6.85000000,5.79700000,6.51300000,185765.16600000
2021-02-18,6.54000000,10.66800000,6.54000000,8.66200000,1419582.62200000
2021-02-19,8.63700000,9.19600000,8.25500000,8.40900000,205066.79300000
2021-02-20,8.43000000,8.82200000,7.43000000,7.78500000,153740.12400000
2021-02-21,7.86200000,8.65800000,7.60000000,7.98700000,154157.41000000
2021-02-22,7.95100000,8.70000000,6.11200000,7.09800000,196330.15500000
2021-02-23,7.09500000,7.22800000,5.33900000,6.37700000,111050.29300000
2021-02-24,6.37700000,7.44800000,6.03800000,6.54800000,148472.30500000
2021-02-25,6.59400000,6.97400000,5.88800000,6.20700000,126034.61300000
2021-02-26,6.20400000,6.27100000,5.56600000,5.75400000,72127.27800000
2021-02-27,5.71200000,8.52800000,5.71100000,5.93400000,400465.13200000
2021-02-28,5.93200000,9.19200000,5.42000000,6.44700000,1722607.93900000
2021-03-01,6.44700000,7.19800000,6.18400000,6.79400000,395700.80800000
2021-03-02,6.79300000,6.99400000,6.24000000,6.43800000,136125.66300000
2021-03-03,6.46700000,7.90000000,6.32200000,6.89600000,336210.45900000
2021-03-04,6.89600000,7.06900000,6.24100000,6.45300000,156735.82900000
2021-03-05,6.41400000,6.61000000,6.03300000,6.49400000,113625.28200000
2021-03-06,6.49000000,7.60000000,6.17200000,6.77500000,160869.92900000
2021-03-07,6.78600000,7.52000000,6.69400000,6.87100000,210130.75900000
2021-03-08,6.87100000,7.14100000,6.68300000,7.00000000,104746.57300000
2021-03-09,7.01400000,7.39900000,6.97100000,7.39000000,210666.09900000
2021-03-10,7.37200000,11.20800000,7.00200000,7.46500000,1517104.16000000
2021-03-11,7.46500000,10.89000000,6.85400000,9.48900000,1609177.86500000
2021-03-12,9.48900000,9.99000000,8.32000000,8.99000000,568810.64800000
2021-03-13,8.96600000,17.80000000,8.59900000,12.23000000,2272047.88300000
2021-03-14,12.23200000,14.78600000,11.08500000,11.11900000,1172214.39900000
2021-03-15,11.12100000,12.20800000,10.00000000,10.53200000,503861.28200000
2021-03-16,10.57000000,11.50000000,9.60100000,10.53800000,342619.98100000
2021-03-17,10.53700000,11.79400000,10.07900000,10.79800000,376205.31100000
2021-03-18,10.80700000,11.79000000,10.32500000,11.02900000,249052.60600000
2021-03-19,11.01100000,11.21600000,10.67600000,10.75300000,132922.72200000
2021-03-20,10.70400000,10.79400000,10.14600000,10.19400000,166309.65500000
2021-03-21,10.17400000,10.75500000,9.56900000,9.59000000,214947.10400000
2021-03-22,9.59100000,10.45900000,9.01000000,9.38700000,236640.90400000
2021-03-23,9.34600000,9.67000000,8.80000000,8.95200000,137180.83900000
2021-03-24,8.95000000,9.65400000,8.42900000,8.63200000,120884.84800000
2021-03-25,8.63000000,10.99800000,7.54500000,9.19200000,1249293.14100000
2021-03-26,9.19200000,10.80300000,9.19200000,9.73600000,483822.07500000
2021-03-27,9.73700000,10.40100000,9.38700000,9.73300000,154238.47800000
2021-03-28,9.73000000,10.40000000,9.57000000,9.60000000,128836.24100000
2021-03-29,9.61900000,10.55800000,9.50300000,10.30800000,165626.21300000
2021-03-30,10.32400000,10.59800000,9.95900000,10.37400000,144681.95600000
2021-03-31,10.38700000,11.46700000,9.99700000,10.38000000,231193.71400000
2021-04-01,10.39900000,10.73300000,10.10400000,10.20100000,81027.33100000
2021-04-02,10.20400000,10.50900000,10.07400000,10.28200000,68898.40500000
2021-04-03,10.22100000,10.28100000,9.20000000,9.27000000,191466.70300000
2021-04-04,9.27000000,9.92200000,9.07600000,9.72900000,101742.16200000
2021-04-05,9.72900000,10.55800000,9.37700000,10.11700000,181400.20000000
2021-04-06,10.15000000,11.50000000,9.76200000,10.65400000,263923.53100000
2021-04-07,10.61600000,13.40000000,9.80000000,11.61600000,1058266.79700000
2021-04-08,11.68800000,11.68800000,10.02400000,10.45900000,1009214.37200000
2021-04-09,10.45600000,10.48600000,9.91100000,10.06300000,255744.86700000
2021-04-10,10.04500000,10.24000000,9.59500000,9.73600000,210223.73200000
2021-04-11,9.72200000,10.79200000,9.60000000,10.27500000,466299.40100000
2021-04-12,10.26700000,11.68300000,10.07700000,10.68700000,625755.57600000
2021-04-13,10.63800000,11.81400000,10.36000000,11.16700000,392809.60900000
2021-04-14,11.16400000,11.65000000,10.57000000,11.20000000,259613.14400000
2021-04-15,11.21100000,12.29900000,10.89300000,11.02600000,390482.90400000
2021-04-16,11.02700000,11.07600000,10.12600000,10.41700000,244294.44600000
2021-04-17,10.41500000,10.69200000,10.10600000,10.47100000,211263.66600000
2021-04-18,10.51200000,10.57100000,9.09000000,9.25200000,259459.63900000
2021-04-19,9.27200000,9.87600000,8.72900000,8.78700000,157562.52000000
2021-04-20,8.78900000,9.47000000,8.01600000,9.10500000,171127.21200000
2021-04-21,9.10500000,9.82300000,8.83000000,8.95300000,202651.59900000
2021-04-22,8.97000000,10.00000000,8.55200000,8.91800000,332531.38500000
2021-04-23,8.89600000,9.50000000,7.70000000,8.19900000,354990.96100000
2021-04-24,8.19800000,8.35300000,7.81400000,7.96300000,105948.36000000
2021-04-25,7.97800000,8.92300000,7.53400000,8.00500000,234705.89900000
2021-04-26,8.00500000,9.77100000,7.99200000,9.39000000,273487.49900000
2021-04-27,9.38700000,9.62700000,9.17000000,9.55000000,116267.47500000
2021-04-28,9.55000000,9.67800000,8.76000000,9.36400000,193852.22800000
2021-04-29,9.36400000,10.42400000,8.98900000,9.65800000,669304.82200000
2021-04-30,9.65500000,10.12300000,9.36300000,9.77900000,201329.94400000
2021-05-01,9.77900000,10.29000000,9.61100000,9.72700000,123958.25700000
2021-05-02,9.73100000,10.07700000,9.21300000,9.87200000,114717.30400000
2021-05-03,9.86200000,10.48800000,9.75100000,9.99900000,234411.13100000
2021-05-04,9.98900000,10.40100000,8.80600000,8.94900000,247041.47800000
2021-05-05,8.98600000,9.50000000,8.70500000,9.33800000,149156.96900000
2021-05-06,9.30500000,9.62500000,8.72800000,8.99600000,174092.12500000
2021-05-07,8.97900000,9.46700000,8.76500000,9.09400000,112984.56500000
2021-05-08,9.08800000,9.46000000,8.95300000,9.04700000,90790.46600000
2021-05-09,9.02900000,9.13200000,8.40800000,8.78000000,86080.35600000
2021-05-10,8.80300000,8.95300000,7.86000000,8.09400000,103083.16700000
2021-05-11,8.07800000,8.51600000,7.78000000,8.28600000,59519.38600000
2021-05-12,8.30900000,12.57000000,8.00600000,8.05900000,1641905.32200000
2021-05-13,8.05900000,11.97000000,7.67100000,8.53900000,1466255.87100000
2021-05-14,8.55400000,10.50000000,8.23100000,9.80800000,521098.10100000
2021-05-15,9.76400000,16.77300000,9.50600000,12.15000000,4312075.74400000
2021-05-16,12.15000000,15.00000000,10.70000000,11.16700000,2248959.10300000
2021-05-17,11.16700000,11.30100000,9.66400000,10.18800000,562098.40300000
2021-05-18,10.19100000,14.25000000,10.17300000,12.88500000,1664554.41800000
2021-05-19,12.88100000,13.18400000,7.35000000,7.69200000,1207296.94100000
2021-05-20,7.70000000,9.28000000,6.96000000,8.68400000,568814.04400000
2021-05-21,8.68500000,11.44100000,7.90000000,9.82200000,1072143.60100000
2021-05-22,9.81400000,9.99800000,7.85500000,7.93100000,422982.80700000
2021-05-23,7.93500000,8.24700000,4.85700000,5.79400000,478504.78600000
2021-05-24,5.85200000,6.52400000,5.27800000,6.24100000,292379.81400000
2021-05-25,6.26000000,6.54900000,5.31200000,5.80000000,312027.38700000
2021-05-26,5.83500000,6.39000000,5.70000000,6.19800000,327437.84300000
2021-05-27,6.22900000,7.35600000,5.62800000,6.76800000,793889.75500000
2021-05-28,6.78100000,7.95000000,5.82600000,6.13500000,770842.32100000
2021-05-29,6.13500000,6.36300000,5.33600000,5.93500000,275805.34000000
2021-05-30,5.87500000,6.20000000,5.58700000,5.91900000,162079.61600000
2021-05-31,5.88800000,6.27000000,5.56200000,6.10500000,175469.32900000
2021-06-01,6.10600000,6.22000000,5.65800000,5.73100000,143855.85100000
2021-06-02,5.70700000,6.58400000,5.56300000,5.96900000,352959.58200000
2021-06-03,5.97800000,6.62800000,5.91200000,6.32100000,169456.36800000
2021-06-04,6.34500000,6.36400000,5.66500000,5.86000000,151349.26700000
2021-06-05,5.83800000,6.06000000,5.57400000,5.92900000,149685.98100000
2021-06-06,5.91000000,5.98000000,5.50000000,5.73300000,247248.24300000
2021-06-07,5.73900000,6.26900000,5.40000000,5.40900000,359085.73400000
2021-06-08,5.40900000,5.54300000,4.58200000,5.14800000,250376.16800000
2021-06-09,5.14800000,5.46300000,4.91200000,5.45000000,176554.56100000
2021-06-10,5.42500000,6.38000000,5.11800000,6.12800000,618418.99300000
2021-06-11,6.10000000,9.90300000,5.71600000,6.50000000,6192416.11500000
2021-06-12,6.47900000,6.50300000,5.70000000,5.86800000,688034.46800000
2021-06-13,5.86800000,6.25100000,5.56500000,6.02000000,390760.19000000
2021-06-14,6.02000000,6.37600000,5.90400000,6.12300000,702115.47100000
2021-06-15,6.12300000,6.75000000,5.92100000,6.35800000,389983.93700000
2021-06-16,6.36000000,6.65000000,5.96800000,6.01900000,245758.07100000
2021-06-17,6.01700000,6.95000000,6.01700000,6.40100000,417931.40600000
2021-06-18,6.40600000,6.82000000,5.95600000,6.26300000,325173.83300000
2021-06-19,6.24100000,6.79400000,6.08800000,6.34800000,297423.94100000
2021-06-20,6.36200000,6.55000000,5.74900000,6.11900000,247184.50400000
2021-06-21,6.11900000,6.13800000,4.85800000,4.92100000,243557.43600000
2021-06-22,4.89700000,5.24100000,4.62600000,4.97700000,306091.06100000
2021-06-23,4.98200000,5.49600000,4.85800000,5.20000000,128836.40300000
2021-06-24,5.20200000,5.50000000,5.00600000,5.28100000,651598.38700000
2021-06-25,5.28500000,5.45000000,4.76000000,4.89900000,313789.52100000
2021-06-26,4.87600000,5.34300000,4.66300000,5.04900000,259427.39200000
2021-06-27,5.03000000,5.09900000,4.78400000,5.02000000,160221.13200000
2021-06-28,5.03500000,5.12900000,4.88000000,5.03900000,141447.33300000
2021-06-29,5.04000000,5.30000000,5.01400000,5.11300000,278855.34800000
2021-06-30,5.11200000,5.22600000,4.86600000,5.05300000,183106.65200000
2021-07-01,5.05900000,5.42100000,4.83300000,5.07500000,447437.39100000
2021-07-02,5.06400000,5.10300000,4.87400000,4.97500000,209515.84000000
2021-07-03,4.98600000,5.05500000,4.89300000,4.99400000,123629.13100000
2021-07-04,4.99400000,5.44300000,4.90900000,5.03200000,240305.35700000
2021-07-05,5.03200000,5.36400000,4.92700000,5.00300000,255865.01000000
2021-07-06,4.99500000,5.18500000,4.94800000,5.02100000,225593.97100000
2021-07-07,5.04100000,5.18200000,4.93100000,5.05000000,256866.69800000
2021-07-08,5.05000000,5.07000000,4.87000000,4.90100000,152870.17200000
2021-07-09,4.88500000,4.99000000,4.70400000,4.95100000,105893.76000000
2021-07-10,4.93800000,5.20000000,4.88000000,5.07600000,121558.64700000
2021-07-11,5.07600000,5.49000000,5.03300000,5.09400000,337301.37100000
2021-07-12,5.09500000,6.41300000,5.01600000,5.67700000,659968.93500000
2021-07-13,5.67700000,5.98800000,5.40100000,5.80000000,259350.49100000
2021-07-14,5.80000000,6.10000000,5.41000000,5.84000000,234071.40000000
2021-07-15,5.83800000,6.04900000,5.41500000,5.48000000,193370.60800000
2021-07-16,5.47900000,5.69100000,5.16700000,5.22600000,138313.66700000
2021-07-17,5.22600000,5.53100000,5.17000000,5.35200000,80057.98700000
2021-07-18,5.36200000,5.57500000,5.26900000,5.40000000,57328.68500000
2021-07-19,5.38500000,5.80100000,5.29400000,5.56900000,226362.99400000
2021-07-20,5.57000000,5.74900000,5.17300000,5.33600000,223491.55100000
2021-07-21,5.33600000,5.89900000,5.29000000,5.75000000,261718.45100000
2021-07-22,5.73600000,6.37400000,5.64300000,6.29100000,405140.54800000
2021-07-23,6.29100000,7.27000000,6.05600000,6.85800000,442894.02000000
2021-07-24,6.85600000,6.98900000,6.36700000,6.48100000,223095.81300000
2021-07-25,6.48100000,6.70300000,6.28600000,6.62700000,200206.91300000
2021-07-26,6.62300000,6.80000000,6.24000000,6.35600000,203903.69200000
2021-07-27,6.33200000,6.69900000,6.22300000,6.45900000,178575.98700000
2021-07-28,6.46200000,6.50000000,6.22800000,6.39000000,115749.79100000
2021-07-29,6.40400000,7.19900000,6.36600000,6.73900000,258145.95200000
2021-07-30,6.75300000,7.18000000,6.71000000,6.90500000,182791.63300000
2021-07-31,6.90500000,7.20000000,6.77900000,7.00100000,142207.28100000
2021-08-01,7.01200000,7.10400000,6.78000000,6.79500000,111480.17200000
2021-08-02,6.78100000,7.95100000,6.75000000,7.33400000,330807.76100000
2021-08-03,7.33600000,7.62600000,7.01700000,7.07800000,183731.91700000
2021-08-04,7.09400000,7.49800000,7.04000000,7.22400000,120541.98200000
2021-08-05,7.20800000,7.32300000,7.00000000,7.23000000,113430.17800000
2021-08-06,7.23000000,7.68800000,6.99800000,7.31600000,275810.19400000
2021-08-07,7.31600000,7.66800000,7.11800000,7.46000000,239420.57200000
2021-08-08,7.44100000,7.83900000,7.22800000,7.24900000,263565.80800000
2021-08-09,7.27200000,8.86000000,7.20100000,8.32500000,1168608.24500000
2021-08-10,8.32700000,8.46000000,7.95900000,8.01600000,407582.56200000
2021-08-11,8.01600000,8.19600000,7.80200000,7.87300000,208048.22500000
2021-08-12,7.86000000,8.42600000,7.80400000,8.12700000,363310.84500000
2021-08-13,8.12700000,9.17100000,7.97700000,8.38900000,442455.89600000
2021-08-14,8.37000000,8.78000000,8.03500000,8.52600000,319048.71600000
2021-08-15,8.53500000,10.21800000,8.48300000,8.80100000,639828.40600000
2021-08-16,8.82200000,9.18100000,8.44000000,8.57300000,222873.77400000
2021-08-17,8.57100000,8.93700000,8.20300000,8.48200000,181187.57300000
2021-08-18,8.47800000,8.84900000,8.21000000,8.36900000,173075.67900000
2021-08-19,8.35400000,8.59000000,8.16800000,8.41900000,157808.15800000
2021-08-20,8.40300000,8.91800000,8.27000000,8.42200000,339755.56000000
2021-08-21,8.40700000,8.49100000,8.13000000,8.14300000,143562.76100000
2021-08-22,8.14300000,8.39700000,7.91800000,8.01900000,166630.98900000
2021-08-23,8.01900000,8.43000000,7.98300000,8.30800000,261486.85000000
2021-08-24,8.30800000,8.40800000,8.00000000,8.02900000,182995.59100000
2021-08-25,8.02300000,8.24800000,7.90900000,8.06600000,100602.95600000
2021-08-26,8.06600000,8.22000000,7.53900000,7.54900000,149690.69700000
2021-08-27,7.54000000,7.70000000,7.37500000,7.68300000,134224.70300000
2021-08-28,7.68300000,7.70000000,7.48100000,7.54800000,89004.40000000
2021-08-29,7.53100000,7.70000000,7.36700000,7.42600000,99715.20000000
2021-08-30,7.44900000,7.62200000,7.14700000,7.28300000,118639.58300000
2021-08-31,7.29000000,7.44700000,7.17800000,7.21100000,91602.90000000
2021-09-01,7.21100000,7.70000000,7.15000000,7.55800000,143949.70000000
2021-09-02,7.55200000,7.65100000,7.38400000,7.54300000,121381.90000000
2021-09-03,7.54200000,8.04000000,7.44000000,7.70600000,201415.70000000
2021-09-04,7.72600000,7.78800000,7.51000000,7.64700000,94100.40000000
2021-09-05,7.65100000,8.88800000,7.60200000,8.19300000,610564.69300000
2021-09-06,8.19700000,8.73700000,7.74700000,8.32400000,392891.80000000
2021-09-07,8.32400000,8.58100000,6.95300000,7.27200000,349182.65200000
2021-09-08,7.25600000,7.33500000,6.77600000,7.13200000,121249.73900000
2021-09-09,7.13300000,7.45500000,6.86600000,7.11300000,209318.00000000
2021-09-10,7.12000000,8.13200000,7.10100000,7.28200000,471282.10000000
2021-09-11,7.32000000,7.78400000,7.15900000,7.19400000,169079.50000000
2021-09-12,7.19800000,7.57400000,7.16500000,7.43200000,271831.30000000
2021-09-13,7.43200000,7.54700000,6.97900000,7.15300000,280954.00000000
2021-09-14,7.17900000,8.14700000,7.06300000,7.71800000,533426.60000000
2021-09-15,7.71700000,11.65300000,7.54600000,9.45300000,2640962.68400000
2021-09-16,9.42800000,11.10000000,8.46000000,8.63800000,1041337.50000000
2021-09-17,8.63700000,8.78500000,8.30000000,8.32600000,343554.70000000
2021-09-18,8.35600000,8.74000000,8.18300000,8.28700000,238249.50000000
2021-09-19,8.27200000,8.40500000,7.72600000,7.82100000,110774.60000000
2021-09-20,7.82100000,7.82100000,6.71300000,6.94500000,216583.60000000
2021-09-21,6.89500000,8.21400000,6.65000000,7.25000000,1337907.77400000
2021-09-22,7.25000000,8.00000000,7.10900000,7.59200000,286607.20000000
2021-09-23,7.59200000,8.74000000,7.48100000,7.72200000,463873.80000000
2021-09-24,7.70900000,7.94000000,7.06900000,7.37800000,214129.70000000
2021-09-25,7.37700000,7.51900000,7.16300000,7.27100000,62366.00000000
2021-09-26,7.26700000,7.52100000,6.91200000,7.27100000,160388.30000000
2021-09-27,7.22100000,7.75300000,7.17300000,7.23700000,272578.10000000
2021-09-28,7.23400000,7.50900000,7.08300000,7.15000000,188771.70000000
2021-09-29,7.11000000,7.38700000,6.95200000,7.06100000,105251.70000000
2021-09-30,7.05400000,7.35000000,7.05400000,7.19700000,122786.60000000
2021-10-01,7.21000000,7.50000000,7.13100000,7.36500000,137559.50000000
2021-10-02,7.34300000,7.70000000,7.23900000,7.40400000,201899.00000000
2021-10-03,7.41000000,7.58400000,7.27200000,7.39900000,93010.40000000
2021-10-04,7.39900000,7.40200000,7.10000000,7.19000000,101176.60000000
2021-10-05,7.20000000,7.34000000,7.15400000,7.26900000,80338.70000000
2021-10-06,7.26900000,7.90000000,7.00600000,7.52000000,376723.90000000
2021-10-07,7.53000000,7.95900000,7.30000000,7.44600000,347454.60000000
2021-10-08,7.44600000,7.64300000,7.35000000,7.38000000,114502.60000000
2021-10-09,7.40800000,7.59700000,7.36000000,7.50000000,82024.10000000
2021-10-10,7.46700000,7.59400000,7.25700000,7.33100000,124329.40000000
2021-10-11,7.32000000,7.43900000,7.11000000,7.22500000,65296.80000000
2021-10-12,7.20800000,7.48000000,7.11000000,7.31700000,526198.60000000
2021-10-13,7.30300000,7.49000000,7.12300000,7.35600000,180848.50000000
2021-10-14,7.36300000,8.50000000,7.35700000,7.90800000,405845.90000000
2021-10-15,7.90800000,7.91100000,7.32100000,7.45600000,207597.50000000
2021-10-16,7.47200000,7.62900000,7.35000000,7.48000000,111911.80000000
2021-10-17,7.48000000,7.65200000,7.24500000,7.35800000,126252.40000000
2021-10-18,7.33700000,7.72400000,7.19700000,7.30500000,162672.90000000
2021-10-19,7.28900000,7.46200000,7.24900000,7.31600000,138421.10000000
2021-10-20,7.31600000,7.56400000,7.23500000,7.52500000,132690.30000000
2021-10-21,7.52500000,7.77800000,7.16000000,7.19200000,313317.90000000
2021-10-22,7.19200000,7.32800000,7.04000000,7.21900000,155130.00000000
2021-10-23,7.23700000,7.24900000,7.00000000,7.20900000,73288.40000000
2021-10-24,7.20100000,7.27000000,6.93000000,6.94800000,135709.70000000
2021-10-25,6.93700000,7.25000000,6.93700000,7.11500000,118251.00000000
2021-10-26,7.11500000,7.15000000,6.90000000,6.95500000,118945.70000000
2021-10-27,6.95600000,6.99700000,6.20000000,6.32900000,209445.11700000
2021-10-28,6.31800000,6.64000000,6.20000000,6.42300000,129566.00000000
2021-10-29,6.43700000,6.67600000,6.40000000,6.56000000,132304.60000000
2021-10-30,6.56300000,6.58200000,6.19900000,6.50000000,131245.70000000
2021-10-31,6.50200000,7.55000000,6.17000000,6.40600000,755374.50000000
2021-11-01,6.40500000,6.49400000,6.14900000,6.49400000,186962.10000000
2021-11-02,6.49500000,6.61000000,6.33400000,6.39700000,154987.80000000
2021-11-03,6.40100000,6.41300000,6.14900000,6.26500000,120998.90000000
2021-11-04,6.26500000,6.37900000,6.15600000,6.20300000,104557.90000000
2021-11-05,6.21800000,6.38300000,6.15500000,6.21700000,126582.90000000
2021-11-06,6.22500000,6.30000000,6.11700000,6.22300000,75448.10000000
2021-11-07,6.21500000,6.99000000,6.21000000,6.37900000,377919.00000000
2021-11-08,6.38900000,6.40700000,6.24000000,6.30600000,123887.50000000
2021-11-09,6.31900000,6.38100000,6.13700000,6.19600000,116429.40000000
2021-11-10,6.20700000,6.50000000,6.01900000,6.09300000,201085.36000000
2021-11-11,6.09300000,6.28900000,6.03300000,6.19400000,100740.00000000
2021-11-12,6.19800000,6.21700000,6.00000000,6.09600000,99108.60000000
