Date,Open,High,Low,Close,Volume
2021-04-02,5037.02000000,8796.00000000,4433.01000000,4595.07000000,6582.84052000
2021-04-03,4596.00000000,4812.00000000,3711.24000000,3769.86000000,2147.30444000
2021-04-04,3780.01000000,4314.94000000,3700.00000000,4170.10000000,1076.15942000
2021-04-05,4170.10000000,4385.50000000,3790.00000000,3830.16000000,947.41630000
2021-04-06,3810.15000000,4038.33000000,3730.02000000,3876.19000000,903.22482000
2021-04-07,3881.60000000,3909.28000000,3263.17000000,3403.79000000,941.66528000
2021-04-08,3412.79000000,3793.21000000,3379.20000000,3528.00000000,602.86023700
2021-04-09,3509.90000000,4300.00000000,3353.28000000,3950.00000000,1529.26183900
2021-04-10,3952.68000000,4469.97000000,3923.74000000,3951.31000000,2076.69151400
2021-04-11,3951.28000000,4110.00000000,3678.19000000,4050.48000000,921.71529200
2021-04-12,4058.57000000,4721.32000000,3932.32000000,4086.74000000,2065.59708000
2021-04-13,4103.75000000,4103.75000000,3650.00000000,3785.11000000,1570.42785200
2021-04-14,3807.00000000,4129.00000000,3675.60000000,3903.28000000,2144.10710100
2021-04-15,3887.46000000,4090.00000000,3767.34000000,3810.20000000,1107.70371300
2021-04-16,3820.94000000,3820.94000000,3380.00000000,3482.39000000,1394.69163700
2021-04-17,3500.41000000,3740.01000000,3375.41000000,3390.14000000,1056.56546300
2021-04-18,3390.65000000,3422.00000000,2760.73000000,3073.25000000,1206.84600600
2021-04-19,3073.76000000,3524.56000000,3002.63000000,3104.06000000,1250.90129100
2021-04-20,3126.87000000,3627.31000000,2900.60000000,3167.98000000,875.01549900
2021-04-21,3167.99000000,3199.89000000,2682.80000000,2834.49000000,2415.65995400
2021-04-22,2845.37000000,2956.90000000,2228.01000000,2289.09000000,2020.58872200
2021-04-23,2327.44000000,2391.48000000,2010.00000000,2268.99000000,1252.50720700
2021-04-24,2268.97000000,2350.45000000,2046.96000000,2123.59000000,844.31267100
2021-04-25,2100.09000000,2221.99000000,1945.85000000,2110.00000000,836.48198900
2021-04-26,2110.00000000,2344.58000000,2100.01000000,2202.84000000,947.41469900
2021-04-27,2201.94000000,2650.00000000,2113.20000000,2609.45000000,2474.75393600
2021-04-28,2608.89000000,2700.00000000,2350.00000000,2525.48000000,2322.79839800
2021-04-29,2544.40000000,3790.00000000,2445.00000000,3574.30000000,13616.00287700
2021-04-30,3574.06000000,3998.01000000,3355.80000000,3385.33000000,7210.53460100
2021-05-01,3399.30000000,3580.00000000,3213.00000000,3350.07000000,2392.01593000
2021-05-02,3353.99000000,3753.43000000,3139.71000000,3594.11000000,3458.13508500
2021-05-03,3594.11000000,4400.00000000,3578.32000000,4309.12000000,5520.68658800
2021-05-04,4313.47000000,4398.88000000,3406.73000000,3431.49000000,4282.21166900
2021-05-05,3431.48000000,3685.93000000,3364.96000000,3499.54000000,1977.33858400
2021-05-06,3485.00000000,3508.99000000,3088.75000000,3189.45000000,2380.20950400
2021-05-07,3189.44000000,3231.15000000,2900.00000000,2934.02000000,2036.59403800
2021-05-08,2938.19000000,3158.00000000,2900.00000000,3036.91000000,1973.21552700
2021-05-09,3037.08000000,3199.99000000,2925.00000000,3021.04000000,1286.03227500
2021-05-10,3022.20000000,3150.00000000,2600.00000000,2771.52000000,1622.75800500
2021-05-11,2771.55000000,3347.00000000,2732.01000000,3219.58000000,3993.46708300
2021-05-12,3209.23000000,3599.00000000,2698.01000000,2709.98000000,4464.91134600
2021-05-13,2709.98000000,3083.97000000,2495.61000000,2602.20000000,3832.79967100
2021-05-14,2599.60000000,2949.96000000,2585.25000000,2723.28000000,1658.44570700
2021-05-15,2716.35000000,2895.00000000,2535.38000000,2582.63000000,1984.54808600
2021-05-16,2582.43000000,2849.00000000,2500.00000000,2553.82000000,1324.24451700
2021-05-17,2553.91000000,2558.41000000,2221.95000000,2339.07000000,1688.24268300
2021-05-18,2343.13000000,2609.16000000,2300.00000000,2486.18000000,1773.95927200
2021-05-19,2487.57000000,2545.30000000,1200.03000000,1584.49000000,3525.46335500
2021-05-20,1581.37000000,1909.49000000,1338.61000000,1750.98000000,2524.74831600
2021-05-21,1750.99000000,1951.00000000,1186.91000000,1413.35000000,2465.81918900
2021-05-22,1413.27000000,1523.77000000,1244.47000000,1374.71000000,1142.80814900
2021-05-23,1365.48000000,1425.13000000,950.00000000,1132.05000000,2333.60243600
2021-05-24,1149.99000000,1468.17000000,1128.55000000,1456.00000000,1387.54034100
2021-05-25,1441.50000000,1594.98000000,1274.39000000,1422.67000000,1026.84759100
2021-05-26,1421.50000000,1666.82000000,1392.65000000,1519.45000000,1247.23406500
2021-05-27,1527.05000000,1600.00000000,1380.00000000,1528.61000000,901.19856400
2021-05-28,1528.58000000,1619.81000000,1331.62000000,1393.98000000,1898.20955900
2021-05-29,1413.06000000,1480.20000000,1270.00000000,1307.90000000,707.17398200
2021-05-30,1307.90000000,1412.77000000,1236.31000000,1351.01000000,744.83579200
2021-05-31,1351.00000000,1463.00000000,1271.24000000,1420.33000000,710.64045500
2021-06-01,1433.14000000,1456.78000000,1335.76000000,1373.64000000,478.47720600
2021-06-02,1386.34000000,1586.03000000,1340.38000000,1450.97000000,829.39101900
2021-06-03,1450.97000000,1570.00000000,1373.62000000,1435.69000000,1813.40602800
2021-06-04,1442.07000000,1442.09000000,1250.00000000,1276.22000000,1190.63527700
2021-06-05,1276.22000000,1390.00000000,1201.00000000,1266.97000000,810.83462800
2021-06-06,1266.96000000,1358.00000000,1225.04000000,1280.00000000,714.36797100
2021-06-07,1279.99000000,1315.00000000,1120.45000000,1121.72000000,847.94139200
2021-06-08,1121.72000000,1149.51000000,1000.00000000,1093.77000000,1264.70834900
2021-06-09,1103.44000000,1187.06000000,1048.26000000,1170.07000000,772.13978400
2021-06-10,1162.48000000,1172.82000000,1079.00000000,1106.52000000,758.38687100
2021-06-11,1103.39000000,1145.04000000,1039.44000000,1065.38000000,588.00455400
2021-06-12,1072.87000000,1149.98000000,1000.00000000,1052.96000000,1190.85494800
2021-06-13,1052.95000000,1160.11000000,1010.02000000,1111.19000000,881.08583800
2021-06-14,1111.18000000,1153.10000000,1080.81000000,1138.71000000,1057.31708000
2021-06-15,1139.53000000,1393.59000000,1128.14000000,1304.43000000,8413.87644400
2021-06-16,1302.67000000,1338.00000000,1210.75000000,1236.87000000,2063.34672100
2021-06-17,1236.82000000,1335.00000000,1233.17000000,1288.20000000,1176.40447100
2021-06-18,1293.75000000,1421.62000000,1237.72000000,1304.54000000,1792.50954500
2021-06-19,1304.53000000,1420.00000000,1292.07000000,1348.28000000,2933.34962500
2021-06-20,1348.01000000,1348.01000000,1212.03000000,1305.34000000,1272.73515900
2021-06-21,1301.13000000,1307.25000000,950.01000000,959.48000000,2691.92897200
2021-06-22,959.48000000,1029.06000000,779.66000000,895.54000000,1485.10124700
2021-06-23,896.02000000,1054.00000000,860.36000000,953.00000000,852.16927600
2021-06-24,955.00000000,983.70000000,889.52000000,965.13000000,668.25660900
2021-06-25,964.15000000,987.49000000,850.80000000,865.92000000,699.37806200
2021-06-26,864.52000000,885.38000000,805.91000000,844.44000000,601.49251000
2021-06-27,845.89000000,894.70000000,818.93000000,885.47000000,1140.23603400
2021-06-28,888.99000000,919.35000000,864.74000000,884.06000000,784.36097500
2021-06-29,885.05000000,949.00000000,881.24000000,908.36000000,757.25367200
2021-06-30,901.01000000,912.88000000,830.77000000,891.12000000,701.53969100
2021-07-01,894.87000000,900.00000000,822.06000000,841.71000000,887.27825300
2021-07-02,839.82000000,860.00000000,805.00000000,834.17000000,492.17357700
2021-07-03,834.84000000,861.28000000,823.00000000,844.58000000,726.90757100
2021-07-04,844.58000000,895.57000000,826.88000000,867.97000000,1319.13482200
2021-07-05,861.75000000,892.99000000,815.00000000,857.26000000,1366.62709500
2021-07-06,852.43000000,908.38000000,847.86000000,892.71000000,1472.55618000
2021-07-07,892.00000000,968.00000000,879.42000000,879.74000000,1340.87854400
2021-07-08,879.74000000,887.85000000,809.97000000,830.05000000,889.32120100
2021-07-09,822.47000000,855.00000000,797.60000000,849.86000000,613.68173100
2021-07-10,849.85000000,874.76000000,828.70000000,857.16000000,747.90815800
2021-07-11,857.15000000,886.89000000,845.52000000,874.43000000,513.02385600
2021-07-12,874.43000000,889.52000000,805.01000000,821.79000000,734.95389000
2021-07-13,822.48000000,830.00000000,800.00000000,806.74000000,888.87734200
2021-07-14,806.97000000,823.39000000,750.71000000,804.28000000,1532.02323200
2021-07-15,800.77000000,814.86000000,741.10000000,760.00000000,1677.72988700
2021-07-16,759.48000000,1123.00000000,721.64000000,823.68000000,9815.71025100
2021-07-17,817.28000000,932.02000000,782.55000000,803.08000000,9869.40230700
2021-07-18,805.29000000,827.10000000,770.14000000,780.57000000,1875.23329000
2021-07-19,779.72000000,780.38000000,711.91000000,718.04000000,1996.69346600
2021-07-20,715.90000000,723.42000000,640.00000000,656.43000000,1413.57043100
2021-07-21,655.07000000,726.99000000,646.31000000,703.13000000,1532.58193600
2021-07-22,708.59000000,720.00000000,688.17000000,697.94000000,1149.83306300
2021-07-23,697.94000000,721.88000000,670.00000000,716.04000000,1770.30739200
