Date,Open,High,Low,Close,Volume
2020-10-28,10.00000000,10.65000000,8.70600000,9.68900000,22536.98000000
2020-10-29,9.62200000,10.73900000,9.57400000,9.88900000,2271.63000000
2020-10-30,10.12600000,11.07700000,9.94000000,10.61900000,2277.12000000
2020-10-31,10.62200000,10.62300000,9.94900000,9.94900000,224.84000000
2020-11-01,10.48300000,10.69200000,9.84300000,10.00600000,797.77000000
2020-11-02,9.84700000,11.34400000,9.62200000,11.06000000,2494.14000000
2020-11-03,11.06000000,13.59700000,10.80700000,11.83400000,7683.65000000
2020-11-04,11.86800000,13.80000000,11.34100000,12.25900000,2071.65000000
2020-11-05,11.89300000,11.89300000,10.00800000,10.66100000,1558.93000000
2020-11-06,10.28900000,10.42400000,9.70800000,9.70800000,537.50000000
2020-11-07,9.60900000,9.66200000,7.82500000,8.75900000,2315.96000000
2020-11-08,9.00000000,9.02000000,6.74900000,7.27800000,9749.66000000
2020-11-09,7.26700000,7.81900000,7.25700000,7.81900000,1397.02000000
2021-04-14,7.81900000,7.81900000,7.81900000,7.81900000,0.00000000
2021-04-15,10.00000000,10.47000000,8.53000000,8.69000000,51705.63000000
2021-04-16,8.64000000,9.77000000,3.35000000,4.00000000,952904.87000000
2021-04-17,4.02000000,4.93000000,3.05000000,4.88000000,1654046.56000000
2021-04-18,4.91000000,7.88000000,3.96000000,3.99000000,2906550.77000000
2021-04-19,3.96000000,4.82000000,3.25000000,4.62000000,896996.05000000
2021-04-20,4.57000000,5.61000000,3.44000000,3.70000000,768876.64000000
2021-04-21,3.70000000,3.97000000,3.07000000,3.85000000,909628.81000000
2021-04-22,3.85000000,4.51000000,3.27000000,4.43000000,673385.30000000
2021-04-23,4.38000000,7.83000000,4.18000000,4.29000000,1991428.44000000
2021-04-24,4.32000000,5.87000000,4.32000000,5.35000000,1045955.01000000
2021-04-25,5.34000000,6.28000000,4.67000000,5.46000000,889355.77000000
2021-04-26,5.44000000,5.59000000,3.89000000,3.92000000,905866.55000000
2021-04-27,3.92000000,4.11000000,3.29000000,3.31000000,771031.43000000
2021-04-28,3.28000000,3.63000000,2.94000000,3.06000000,625909.22000000
2021-04-29,3.05000000,3.55000000,3.01000000,3.34000000,334959.47000000
2021-04-30,3.36000000,3.45000000,2.26000000,2.31000000,690160.80000000
2021-05-01,2.30000000,2.39000000,2.11000000,2.24000000,623356.10000000
2021-05-02,2.26000000,2.53000000,2.22000000,2.42000000,475144.54000000
2021-05-03,2.41000000,2.41000000,2.04000000,2.21000000,550663.16000000
2021-05-04,2.22000000,2.62000000,1.92000000,2.47000000,1523514.49000000
2021-05-05,2.49000000,2.56000000,0.79000000,0.81000000,28114508.53000000
2021-05-06,0.83000000,1.10000000,0.52000000,0.60000000,79105577.05000000
2021-05-07,0.60000000,0.93000000,0.60000000,0.80000000,50386987.70000000
2021-05-08,0.81000000,0.84000000,0.63000000,0.70000000,43280135.89000000
2021-05-09,0.71000000,0.91000000,0.65000000,0.68000000,27805732.63000000
2021-05-10,0.68000000,0.96000000,0.53000000,0.77000000,52995555.66000000
2021-05-11,0.77000000,0.80000000,0.48000000,0.49000000,52228843.33000000
2021-05-12,0.48000000,0.89000000,0.40000000,0.83000000,69566466.63000000
2021-05-13,0.83000000,0.98000000,0.63000000,0.77000000,62460006.98000000
2021-05-14,0.77000000,0.82000000,0.61000000,0.67000000,26315521.53000000
2021-05-15,0.66000000,0.84000000,0.62000000,0.82000000,23649177.68000000
2021-05-16,0.83000000,0.94000000,0.67000000,0.81000000,26484598.95000000
2021-05-17,0.81000000,1.17000000,0.81000000,0.95000000,31616437.09000000
2021-05-18,0.95000000,1.00000000,0.73000000,0.84000000,22155565.08000000
2021-05-19,0.85000000,4.41000000,0.50000000,1.17000000,65052614.98000000
2021-05-20,1.17000000,1.51000000,0.58200000,0.64400000,39314016.54000000
2021-05-21,0.64700000,1.28000000,0.57500000,0.94600000,11132764.01000000
2021-05-22,0.94600000,1.30500000,0.78600000,1.11000000,5820186.20000000
2021-05-23,1.11000000,1.97200000,0.99600000,1.41000000,6665722.13000000
