Date,Open,High,Low,Close,Volume
2020-08-31,0.93150000,1.74560000,0.93150000,1.26790000,11785135.66000000
2020-09-01,1.27350000,1.55000000,1.01000000,1.04340000,13002733.46000000
2020-09-02,1.05000000,1.18000000,0.90000000,0.93660000,9612404.48000000
2020-09-03,0.93600000,1.12000000,0.69140000,0.72420000,11987737.32000000
2020-09-04,0.72460000,0.79980000,0.61520000,0.70000000,6644140.06000000
2020-09-05,0.70000000,0.80000000,0.37430000,0.46790000,15474938.44000000
2020-09-06,0.46830000,0.63920000,0.44290000,0.62130000,13463761.62000000
2020-09-07,0.62040000,0.63900000,0.44800000,0.55640000,12934859.92000000
2020-09-08,0.55550000,0.56380000,0.47500000,0.51990000,13050612.76000000
2020-09-09,0.51840000,0.69500000,0.51490000,0.64010000,21737146.18000000
2020-09-10,0.64080000,0.76020000,0.60370000,0.61540000,14026969.41000000
2020-09-11,0.61470000,0.64000000,0.51630000,0.61820000,13753230.36000000
2020-09-12,0.61770000,0.68940000,0.56230000,0.67590000,9864916.58000000
2020-09-13,0.67510000,0.69500000,0.40290000,0.46520000,55882567.53000000
2020-09-14,0.46510000,0.53180000,0.41500000,0.43070000,69085166.96000000
2020-09-15,0.43070000,0.44650000,0.32040000,0.33180000,50730801.39000000
2020-09-16,0.33190000,0.33260000,0.25420000,0.27340000,39807232.68000000
2020-09-17,0.27270000,0.30620000,0.25050000,0.27960000,22891261.49000000
2020-09-18,0.27960000,0.34350000,0.27570000,0.29080000,38839540.31000000
2020-09-19,0.29070000,0.31750000,0.26360000,0.30780000,28735708.15000000
2020-09-20,0.30800000,0.31140000,0.24010000,0.26280000,20481686.25000000
2020-09-21,0.26260000,0.27160000,0.20110000,0.21220000,39014879.82000000
2020-09-22,0.21300000,0.22370000,0.19210000,0.21360000,23104556.84000000
2020-09-23,0.21370000,0.22400000,0.17110000,0.17530000,20526729.89000000
2020-09-24,0.17560000,0.21000000,0.17180000,0.19910000,21845063.68000000
2020-09-25,0.19940000,0.21600000,0.18310000,0.20780000,19977400.91000000
2020-09-26,0.20880000,0.24000000,0.20710000,0.22380000,19475438.89000000
2020-09-27,0.22380000,0.23260000,0.19470000,0.20690000,17247900.59000000
2020-09-28,0.20740000,0.22150000,0.19300000,0.19700000,14700750.37000000
2020-09-29,0.19660000,0.21070000,0.18620000,0.19640000,9115263.82000000
2020-09-30,0.19730000,0.19740000,0.18000000,0.19650000,9954084.52000000
2020-10-01,0.19650000,0.20890000,0.17620000,0.18370000,13778971.31000000
