Date,Open,High,Low,Close,Volume
2021-01-05,1.58800000,4.12000000,1.58800000,2.57650000,17193301.34000000
2021-01-06,2.57650000,2.69090000,2.20320000,2.30200000,2898056.48000000
2021-01-07,2.31830000,2.51000000,2.11550000,2.20910000,1626050.60000000
2021-01-08,2.21020000,2.49000000,2.00000000,2.29610000,1366575.49000000
2021-01-09,2.30010000,2.37140000,2.15360000,2.29370000,406013.31000000
2021-01-10,2.28990000,2.30000000,2.09110000,2.14000000,300757.93000000
2021-01-11,2.15340000,2.17980000,1.75500000,1.94820000,470423.55000000
2021-01-12,1.94600000,2.13340000,1.86070000,1.95700000,310354.67000000
2021-01-13,1.97130000,2.14990000,1.90990000,2.07110000,397390.02000000
2021-01-14,2.09290000,2.24320000,2.05560000,2.09740000,334830.83000000
2021-01-15,2.09890000,2.16800000,1.90000000,2.00000000,299975.19000000
2021-01-16,2.01250000,2.23230000,2.00010000,2.06780000,428586.51000000
2021-01-17,2.06700000,2.19460000,2.02280000,2.12500000,346601.39000000
2021-01-18,2.12500000,2.45000000,2.06830000,2.23710000,1582184.21000000
2021-01-19,2.24880000,2.25300000,2.14000000,2.16080000,725645.40000000
2021-01-20,2.16080000,2.63970000,2.10000000,2.27840000,2898212.37000000
2021-01-21,2.26990000,3.75000000,2.21900000,3.09230000,12958460.93000000
2021-01-22,3.07410000,3.85000000,2.80000000,3.14000000,14781894.62000000
2021-01-23,3.14090000,3.14090000,2.70200000,2.82000000,3523697.26000000
2021-01-24,2.81990000,3.00000000,2.70500000,2.78480000,2692530.02000000
2021-01-25,2.78480000,3.42290000,2.76410000,3.13470000,6899182.10000000
2021-01-26,3.14980000,3.59980000,3.04210000,3.10290000,4355640.92000000
2021-01-27,3.09260000,3.30000000,2.75600000,2.94900000,1689064.72000000
2021-01-28,2.94110000,3.06090000,2.81180000,2.96570000,1089910.89000000
2021-01-29,2.97450000,3.00000000,2.81000000,2.89140000,809118.72000000
2021-01-30,2.89150000,2.97250000,2.79680000,2.87850000,597421.97000000
2021-01-31,2.87820000,2.93830000,2.75300000,2.80410000,724589.89000000
2021-02-01,2.80420000,2.98000000,2.76500000,2.85280000,529886.41000000
2021-02-02,2.85290000,2.90400000,2.79390000,2.87000000,394251.52000000
2021-02-03,2.87000000,3.19470000,2.86590000,2.95600000,1788072.72000000
2021-02-04,2.96380000,3.03800000,2.91970000,2.95740000,636635.39000000
2021-02-05,2.96140000,3.34000000,2.92600000,3.20000000,1659954.90000000
2021-02-06,3.20000000,3.22970000,2.99740000,3.08710000,690894.99000000
2021-02-07,3.08710000,3.85000000,3.08110000,3.60170000,4102336.30000000
2021-02-08,3.61290000,3.70600000,3.29020000,3.53480000,1308605.66000000
2021-02-09,3.54440000,3.75000000,3.43800000,3.70650000,990086.87000000
2021-02-10,3.70650000,5.98000000,3.61600000,4.80910000,11411735.15000000
2021-02-11,4.79060000,5.22500000,3.90220000,4.78900000,3893735.36000000
2021-02-12,4.78090000,5.02610000,4.57760000,4.82820000,1125909.97000000
2021-02-13,4.83990000,5.48000000,4.51400000,4.60540000,1797173.99000000
2021-02-14,4.59120000,4.72200000,4.12200000,4.34210000,1418702.85000000
2021-02-15,4.35110000,4.41420000,3.75000000,4.07750000,910627.59000000
2021-02-16,4.07990000,4.70000000,3.87010000,4.59300000,1260336.48000000
2021-02-17,4.58870000,5.33050000,4.10450000,4.79480000,4762721.11000000
