Date,Open,High,Low,Close,Volume
2021-11-04,0.02300000,16.79999000,0.02300000,3.30427000,253270565.00000000
2021-11-05,3.30427000,3.42565000,2.50000000,2.59758000,63669516.00000000
2021-11-06,2.59824000,2.83468000,2.17800000,2.20000000,30882202.00000000
2021-11-07,2.20000000,2.36450000,2.05000000,2.07632000,16428814.00000000
2021-11-08,2.07578000,2.07633000,1.81173000,1.91982000,21982518.00000000
2021-11-09,1.92116000,2.10402000,1.85000000,1.85301000,16667851.00000000
2021-11-10,1.85301000,2.26200000,1.85000000,1.96255000,28448768.00000000
2021-11-11,1.96688000,2.02999000,1.86500000,1.88187000,8345513.00000000
2021-11-12,1.88187000,1.89098000,1.68492000,1.77922000,10459569.00000000
2021-11-13,1.77922000,2.85000000,1.76000000,2.29207000,113516656.00000000
2021-11-14,2.29571000,2.31440000,2.06150000,2.13265000,22783103.00000000
2021-11-15,2.13265000,2.34590000,1.96000000,1.97645000,15613112.00000000
2021-11-16,1.97649000,2.06548000,1.76000000,1.90935000,11709627.00000000
2021-11-17,1.90717000,2.67000000,1.90082000,2.25166000,56051536.00000000
2021-11-18,2.25166000,2.57500000,2.08600000,2.40728000,42465942.00000000
2021-11-19,2.40504000,3.02541000,2.27244000,2.51025000,63976144.00000000
2021-11-20,2.51043000,3.77197000,2.43000000,3.32997000,110639996.00000000
2021-11-21,3.32702000,4.57819000,3.01000000,3.13820000,130081761.00000000
2021-11-22,3.14697000,3.43400000,2.75000000,2.86990000,51712315.00000000
2021-11-23,2.86530000,3.63996000,2.86530000,3.37357000,62962023.00000000
2021-11-24,3.37361000,4.50000000,3.25000000,4.16525000,71015319.00000000
2021-11-25,4.16522000,4.89000000,3.55000000,3.91483000,76277746.00000000
2021-11-26,3.91669000,4.39000000,3.03000000,3.28190000,49902786.00000000
2021-11-27,3.28223000,3.42000000,2.95011000,3.10383000,22737711.00000000
2021-11-28,3.10382000,3.76530000,2.80000000,3.64082000,57874414.00000000
2021-11-29,3.64082000,4.17243000,3.45425000,3.45495000,48570612.00000000
2021-11-30,3.45670000,3.67500000,3.22475000,3.62940000,26463323.00000000
2021-12-01,3.62407000,3.89100000,3.22941000,3.30007000,31959381.00000000
2021-12-02,3.30008000,3.39554000,3.00000000,3.09335000,19336119.00000000
2021-12-03,3.09230000,3.30000000,2.80000000,2.83490000,22806551.00000000
2021-12-04,2.83414000,2.83564000,1.81677000,2.42354000,28512533.00000000
2021-12-05,2.42232000,2.47490000,2.09720000,2.16748000,16218852.00000000
2021-12-06,2.16748000,2.34548000,1.88000000,2.31083000,19691276.00000000
2021-12-07,2.31087000,2.32423000,2.07744000,2.13344000,14081029.00000000
2021-12-08,2.13359000,2.76960000,2.08251000,2.56328000,46884758.00000000
2021-12-09,2.56126000,2.66936000,2.20050000,2.24681000,29500302.00000000
2021-12-10,2.24843000,2.33458000,2.11000000,2.11537000,14686588.00000000
2021-12-11,2.11306000,2.25000000,2.06144000,2.21533000,10550867.00000000
2021-12-12,2.21750000,2.41868000,2.18902000,2.24938000,15760103.00000000
2021-12-13,2.24719000,2.26500000,1.91944000,1.97926000,17339496.00000000
2021-12-14,1.97863000,2.07679000,1.88788000,1.95425000,13670323.00000000
2021-12-15,1.95282000,2.07347000,1.85222000,2.04954000,16461829.00000000
2021-12-16,2.04955000,2.19514000,1.99370000,2.00526000,13280476.00000000
2021-12-17,2.00528000,2.03173000,1.86100000,1.91148000,9074014.00000000
2021-12-18,1.91270000,1.99414000,1.89856000,1.94400000,6864935.00000000
2021-12-19,1.94400000,1.99292000,1.88911000,1.96232000,6545923.00000000
2021-12-20,1.96315000,2.26300000,1.92900000,2.16364000,37998396.00000000
2021-12-21,2.16237000,2.35000000,2.09688000,2.27091000,18744139.00000000
2021-12-22,2.27090000,2.27608000,2.13226000,2.14703000,10886853.00000000
2021-12-23,2.14751000,2.31400000,2.03200000,2.27607000,14118233.00000000
2021-12-24,2.27710000,2.51000000,2.26414000,2.33651000,19853117.00000000
2021-12-25,2.33467000,2.75420000,2.33000000,2.70000000,25243705.00000000
2021-12-26,2.69806000,2.70000000,2.45643000,2.52074000,12879003.00000000
2021-12-27,2.52070000,2.70171000,2.48478000,2.53998000,12435408.00000000
2021-12-28,2.53998000,2.54148000,2.12000000,2.18785000,13025357.00000000
2021-12-29,2.18767000,2.25800000,2.07000000,2.07823000,6809320.00000000
2021-12-30,2.07924000,2.17925000,2.00680000,2.13114000,6530653.00000000
2021-12-31,2.13202000,2.25599000,2.07037000,2.09633000,6458523.00000000
2022-01-01,2.09568000,2.15213000,2.01000000,2.09329000,6975647.00000000
2022-01-02,2.09652000,2.17621000,2.08700000,2.09213000,5885417.00000000
2022-01-03,2.09213000,2.09902000,2.03281000,2.04569000,4989357.00000000
2022-01-04,2.04776000,2.13589000,1.98888000,2.08325000,7480702.00000000
2022-01-05,2.08300000,2.17210000,1.92127000,1.98193000,13916399.00000000
2022-01-06,1.98193000,2.02314000,1.84630000,1.90805000,11797458.00000000
2022-01-07,1.91019000,1.92136000,1.70000000,1.70953000,11621391.00000000
2022-01-08,1.71192000,1.78713000,1.55395000,1.59831000,6764983.00000000
2022-01-09,1.59781000,1.73580000,1.59212000,1.71828000,5884460.00000000
2022-01-10,1.71598000,1.74309000,1.47751000,1.54133000,9344583.00000000
2022-01-11,1.54135000,1.61260000,1.51305000,1.56586000,5614650.00000000
2022-01-12,1.56586000,1.68818000,1.53719000,1.68140000,6321341.00000000
2022-01-13,1.68140000,1.68198000,1.53441000,1.54263000,5011961.00000000
2022-01-14,1.54508000,1.60000000,1.49874000,1.54334000,4492997.00000000
2022-01-15,1.54313000,1.58730000,1.53733000,1.55790000,3068908.00000000
2022-01-16,1.55649000,1.56633000,1.49229000,1.52340000,3415333.00000000
2022-01-17,1.52348000,1.52683000,1.30914000,1.33947000,8323556.00000000
2022-01-18,1.33777000,1.36000000,1.20394000,1.24139000,7224345.00000000
2022-01-19,1.24035000,1.25440000,1.16800000,1.18037000,5930039.00000000
2022-01-20,1.18037000,1.29582000,1.12119000,1.12756000,6061889.00000000
2022-01-21,1.12756000,1.14207000,0.84990000,0.89294000,13286309.00000000
2022-01-22,0.89244000,0.93526000,0.65205000,0.77187000,13474432.00000000
2022-01-23,0.77191000,0.83044000,0.72301000,0.76091000,8945769.00000000
2022-01-24,0.76091000,0.76154000,0.63129000,0.72713000,9266901.00000000
2022-01-25,0.72740000,0.73371000,0.67863000,0.71034000,7261477.00000000
2022-01-26,0.70886000,0.76598000,0.66789000,0.68547000,11807515.00000000
2022-01-27,0.68545000,0.77889000,0.64850000,0.74647000,19462131.00000000
2022-01-28,0.74647000,0.77724000,0.70396000,0.73175000,13861395.00000000
2022-01-29,0.73071000,0.76233000,0.71483000,0.72868000,6892930.00000000
2022-01-30,0.72942000,0.86263000,0.72205000,0.74521000,21355651.00000000
2022-01-31,0.74521000,0.75260000,0.68011000,0.72585000,12200866.00000000
2022-02-01,0.72582000,0.75181000,0.71220000,0.73059000,9177903.00000000
2022-02-02,0.73059000,0.94210000,0.70000000,0.82976000,54774212.00000000
2022-02-03,0.83065000,1.00960000,0.78439000,0.94147000,59791813.00000000
2022-02-04,0.94291000,0.94329000,0.82254000,0.85870000,23406246.00000000
2022-02-05,0.85920000,0.93940000,0.82998000,0.86654000,28211523.00000000
2022-02-06,0.86790000,1.27500000,0.86790000,1.12685000,106983283.00000000
2022-02-07,1.12685000,1.21367000,1.05630000,1.13882000,57794643.00000000
2022-02-08,1.13772000,1.14593000,1.00387000,1.06819000,30422706.00000000
2022-02-09,1.06666000,1.15500000,1.04400000,1.06419000,25473889.00000000
2022-02-10,1.06251000,1.24570000,1.01745000,1.13808000,53599152.00000000
2022-02-11,1.13807000,1.34300000,1.06368000,1.10770000,71327857.00000000
2022-02-12,1.10770000,1.13065000,0.97238000,1.07549000,47149347.00000000
2022-02-13,1.07549000,1.10861000,0.98888000,1.00734000,24043561.00000000
2022-02-14,1.00837000,1.03500000,0.95782000,1.00245000,17466963.00000000
