Date,Open,High,Low,Close,Volume
2020-09-11,10.00000000,10.27200000,8.33600000,8.71000000,24204.00000000
2020-09-12,8.60000000,9.45900000,5.77500000,6.18800000,105542.94000000
2020-09-13,6.24000000,7.11800000,5.32100000,5.54000000,199357.01000000
2020-09-14,5.68600000,6.17700000,4.80000000,5.37400000,130698.53000000
2020-09-15,5.37800000,6.11600000,5.16600000,6.11600000,105221.77000000
2020-09-16,6.11600000,6.33000000,5.38400000,6.06500000,62060.91000000
2020-09-17,6.15700000,6.15700000,4.90000000,5.22700000,63461.42000000
2020-09-18,5.22700000,6.00000000,4.82700000,5.53000000,70590.93000000
2020-09-19,5.55900000,6.97900000,5.53000000,6.63700000,64019.34000000
2020-09-20,6.60500000,8.47100000,6.48600000,7.51200000,109428.93000000
2020-09-21,7.51200000,11.04200000,7.31200000,10.05700000,463706.52000000
2020-09-22,9.95700000,11.18700000,8.96700000,9.24100000,180289.65000000
2020-09-23,9.29000000,10.75900000,8.20000000,10.18300000,240442.09000000
2020-09-24,10.20000000,10.40000000,7.59900000,7.95100000,151687.29000000
2020-09-25,7.98000000,8.82500000,7.05500000,7.79100000,59701.19000000
2020-09-26,7.68600000,8.82500000,7.40000000,8.32100000,42111.15000000
2020-09-27,8.32900000,9.63600000,8.09900000,8.34400000,28790.00000000
2020-09-28,8.30000000,8.70700000,6.67700000,7.28000000,186429.81000000
2020-09-29,7.31800000,7.49700000,6.59400000,7.05700000,149486.99000000
2020-09-30,7.00000000,7.90000000,7.00000000,7.49100000,64641.05000000
2020-10-01,7.45200000,7.93800000,6.73500000,7.61200000,71865.13000000
2020-10-02,7.70000000,9.78900000,7.50000000,8.29700000,57337.53000000
2020-10-03,8.33800000,8.93300000,8.24400000,8.70500000,42335.97000000
2020-10-04,8.79200000,8.98000000,7.92600000,8.06800000,41577.14000000
2020-10-05,8.06700000,8.40500000,7.63900000,8.00000000,90387.64000000
2020-10-06,8.02000000,10.84900000,8.02000000,9.83400000,158695.72000000
2020-10-07,9.84300000,10.89200000,8.77100000,9.08000000,138578.12000000
2020-10-08,9.11500000,10.67400000,6.88000000,7.06800000,208188.91000000
2020-10-09,7.11500000,7.50000000,6.10000000,6.43000000,123684.77000000
2020-10-10,6.45000000,6.57300000,5.62700000,6.40800000,69156.83000000
2020-10-11,6.40800000,6.75000000,6.20000000,6.49700000,37724.02000000
2020-10-12,6.54500000,6.70500000,5.78300000,6.26900000,64996.56000000
2020-10-13,6.26900000,6.93100000,6.16800000,6.47600000,50363.72000000
2020-10-14,6.50800000,7.10700000,6.08000000,6.70200000,60803.68000000
2020-10-15,6.75000000,7.32800000,6.64900000,7.03500000,68140.95000000
2020-10-16,7.05700000,8.26300000,6.79600000,7.80900000,47457.95000000
2020-10-17,7.83400000,7.97100000,7.50000000,7.54400000,42384.19000000
2020-10-18,7.58400000,7.58400000,6.91600000,6.99700000,25391.08000000
2020-10-19,6.96200000,7.66800000,6.95000000,7.59800000,38248.18000000
2020-10-20,7.54100000,8.10200000,6.74300000,7.94200000,89346.83000000
2020-10-21,7.94100000,7.97900000,6.25000000,6.82300000,79186.30000000
2020-10-22,6.81100000,6.82100000,5.80700000,6.15000000,20611.17000000
2020-10-23,6.24500000,6.36200000,5.17000000,5.65700000,69453.04000000
2020-10-24,5.71400000,5.71500000,5.05800000,5.31100000,68911.12000000
2020-10-25,5.35400000,5.66700000,5.00000000,5.47400000,45584.22000000
2020-10-26,5.45800000,5.52500000,4.02900000,4.22300000,314060.69000000
2020-10-27,4.18300000,4.27300000,3.64900000,4.21600000,497067.30000000
2020-10-28,4.24800000,5.11000000,4.03000000,4.75500000,278090.70000000
2020-10-29,4.77000000,6.60000000,4.64000000,5.75000000,574617.04000000
2020-10-30,5.75200000,6.26800000,5.24500000,5.54200000,261156.93000000
2020-10-31,5.60900000,5.65300000,4.71800000,5.18100000,125864.27000000
2020-11-01,5.20700000,5.46000000,4.97800000,5.01000000,80002.03000000
2020-11-02,4.96100000,6.11200000,4.83700000,5.79200000,164161.64000000
2020-11-03,5.88900000,6.44300000,5.67400000,5.82100000,130285.16000000
2020-11-04,5.80000000,6.42300000,5.30400000,5.55000000,137911.74000000
2020-11-05,5.50600000,5.88600000,4.67100000,4.98900000,105871.12000000
2020-11-06,5.02500000,5.06000000,3.80000000,3.92900000,201333.04000000
2020-11-07,3.85500000,5.02000000,3.32300000,4.71200000,206264.04000000
2020-11-08,4.75800000,4.93200000,4.27500000,4.33800000,31536.76000000
2020-11-09,4.40200000,4.68200000,4.19600000,4.43900000,17872.01000000
2020-11-10,4.52900000,4.52900000,4.10200000,4.27500000,12111.73000000
2020-11-11,4.27900000,4.28500000,3.84400000,4.22700000,45980.25000000
2020-11-12,4.22700000,4.53200000,4.22000000,4.32600000,27536.40000000
2020-11-13,4.37000000,4.39600000,3.92400000,4.01400000,53768.01000000
2020-11-14,4.04300000,4.45500000,4.04300000,4.20600000,81945.13000000
2020-11-15,4.19000000,4.55300000,4.11500000,4.40200000,76126.79000000
2020-11-16,4.44300000,4.48000000,3.91800000,4.11100000,34030.88000000
2020-11-17,4.12500000,4.12500000,3.16700000,3.34900000,229600.10000000
2020-11-18,3.32500000,4.16000000,3.17200000,3.74600000,164828.86000000
2020-11-19,3.70100000,4.05500000,3.37100000,3.58500000,46597.51000000
2020-11-20,3.58300000,3.58300000,2.34300000,2.60700000,455889.40000000
2020-11-21,2.61000000,2.71000000,1.97500000,2.02200000,457152.49000000
2020-11-22,1.99200000,2.66500000,1.93800000,2.35000000,267281.75000000
2020-11-23,2.30100000,2.42700000,1.81900000,1.89800000,626126.27000000
2020-11-24,1.90300000,2.23400000,1.72000000,2.11900000,647360.36000000
2020-11-25,2.09500000,2.82800000,2.01600000,2.58800000,296827.60000000
2020-11-26,2.65000000,3.80300000,2.50700000,3.18200000,300426.52000000
2020-11-27,3.18300000,3.68300000,2.71500000,3.17200000,92995.88000000
2020-11-28,3.15000000,3.40400000,2.93000000,3.03800000,24017.23000000
2020-11-29,3.01200000,3.18400000,2.49000000,2.53000000,93221.72000000
2020-11-30,2.51400000,2.51400000,2.12700000,2.21300000,249575.70000000
2020-12-01,2.22700000,2.57800000,2.06700000,2.43400000,226123.84000000
2020-12-02,2.45400000,2.54600000,1.84900000,1.95400000,144170.94000000
2020-12-03,1.95100000,2.12800000,1.82000000,2.03500000,161896.03000000
2020-12-04,2.04000000,2.60100000,1.98700000,2.55100000,256291.03000000
2020-12-05,2.54100000,2.70900000,2.30200000,2.30200000,137559.46000000
2020-12-06,2.30000000,2.54600000,2.29100000,2.37700000,44818.51000000
2020-12-07,2.40600000,2.54100000,2.35500000,2.47100000,29106.52000000
2020-12-08,2.49200000,2.95600000,2.47100000,2.86500000,81582.54000000
2020-12-09,2.88400000,3.05200000,2.64900000,2.70900000,74232.39000000
2020-12-10,2.71500000,2.89000000,2.70800000,2.81700000,27067.03000000
