Date,Open,High,Low,Close,Volume
2021-09-30,5.65500000,7.12900000,5.65500000,6.03500000,7056638.90000000
2021-10-01,6.02800000,6.79000000,5.78100000,6.61100000,2550290.30000000
2021-10-02,6.60600000,7.19300000,6.33000000,6.90800000,1148310.10000000
2021-10-03,6.89900000,7.31500000,6.80000000,7.11500000,678177.90000000
2021-10-04,7.11500000,7.16700000,6.65100000,6.86900000,638049.40000000
2021-10-05,6.87100000,7.00000000,6.36700000,6.79700000,424689.70000000
2021-10-06,6.79400000,6.81700000,6.24300000,6.45900000,280257.30000000
2021-10-07,6.44000000,6.70000000,6.28200000,6.44500000,149202.30000000
2021-10-08,6.44800000,6.93800000,6.37000000,6.56700000,185994.30000000
2021-10-09,6.56800000,6.70000000,6.44700000,6.50400000,140749.90000000
2021-10-10,6.52000000,6.56600000,6.12000000,6.13100000,66268.40000000
2021-10-11,6.13900000,6.42200000,5.88100000,6.08200000,127220.00000000
2021-10-12,6.05500000,6.49800000,5.78100000,6.35200000,125734.90000000
2021-10-13,6.35100000,6.42900000,5.97400000,6.22700000,88895.40000000
2021-10-14,6.22800000,6.50700000,6.17800000,6.30800000,108669.90000000
2021-10-15,6.30700000,6.83900000,6.19400000,6.75600000,163481.30000000
2021-10-16,6.76800000,6.85000000,6.51600000,6.54900000,48604.40000000
2021-10-17,6.54900000,7.09100000,6.34800000,6.63500000,155363.10000000
2021-10-18,6.63500000,6.75800000,6.41700000,6.53500000,91437.10000000
2021-10-19,6.53100000,6.61400000,6.39600000,6.49800000,45846.50000000
2021-10-20,6.50700000,7.34200000,6.40000000,7.30600000,303123.20000000
2021-10-21,7.32100000,8.00000000,7.29000000,7.70900000,1316090.80000000
2021-10-22,7.72000000,8.66000000,7.64400000,7.97000000,489181.60000000
2021-10-23,7.94200000,8.28800000,7.79000000,7.95400000,131644.80000000
2021-10-24,7.95400000,8.22900000,7.50000000,8.11200000,89226.00000000
2021-10-25,8.14500000,8.90900000,7.97100000,8.44700000,228212.40000000
2021-10-26,8.43500000,8.56900000,7.97000000,8.02700000,141236.10000000
2021-10-27,8.03100000,8.28900000,7.12800000,7.38400000,70077.60000000
2021-10-28,7.37700000,8.05200000,7.31000000,7.82800000,106580.00000000
2021-10-29,7.85600000,8.25000000,7.81400000,8.09300000,54189.10000000
2021-10-30,8.11000000,8.11000000,7.59600000,7.87900000,63110.10000000
2021-10-31,7.89900000,8.26000000,7.52400000,8.12000000,113391.00000000
2021-11-01,8.12400000,8.48900000,7.95500000,8.19900000,96186.90000000
2021-11-02,8.20400000,8.89300000,8.01300000,8.85500000,98108.00000000
2021-11-03,8.85600000,107.36500000,8.69700000,10.81900000,9677655.90000000
2021-11-04,10.82600000,11.38700000,8.99900000,9.94200000,3839589.50000000
2021-11-05,9.92300000,9.94700000,9.18300000,9.41300000,833578.20000000
2021-11-06,9.41300000,10.25000000,9.27900000,10.19800000,964979.20000000
2021-11-07,10.19800000,10.22200000,9.67500000,9.79200000,969322.80000000
2021-11-08,9.79700000,10.04400000,9.54700000,9.84000000,296590.20000000
2021-11-09,9.83900000,10.05500000,9.44600000,9.50400000,211574.60000000
2021-11-10,9.50400000,9.83800000,8.00000000,9.20200000,452776.70000000
