Date,Open,High,Low,Close,Volume
2020-10-20,10.00000000,10.48600000,8.80000000,8.88200000,135467.10000000
2020-10-21,8.98500000,10.50000000,7.87600000,10.50000000,116610.63000000
2020-10-22,10.64800000,14.37800000,9.71000000,13.35000000,118363.88000000
2020-10-23,13.39900000,16.72100000,7.75000000,8.98000000,186886.40000000
2020-10-24,9.07800000,10.26100000,6.65100000,7.44200000,348177.97000000
2020-10-25,7.44200000,7.64900000,1.93000000,2.65800000,2758925.68000000
2020-10-26,2.64700000,3.54000000,2.35000000,3.16300000,2494233.77000000
2020-10-27,3.18100000,3.31800000,1.39000000,1.78600000,5552573.05000000
2020-10-28,1.78900000,2.02500000,1.65800000,1.84200000,1637353.12000000
2020-10-29,1.84200000,2.02000000,1.75900000,1.90000000,1054870.10000000
2020-10-30,1.92700000,2.34800000,1.92400000,2.26900000,1126890.79000000
2020-10-31,2.26900000,2.38800000,1.78200000,1.95900000,868954.56000000
2020-11-01,1.95400000,2.03200000,1.85000000,1.87500000,692480.74000000
2020-11-02,1.87600000,2.16600000,1.81800000,2.13000000,829734.55000000
2020-11-03,2.13000000,2.33500000,2.10000000,2.18100000,871107.50000000
2020-11-04,2.18100000,2.30000000,2.07700000,2.16700000,898597.23000000
2020-11-05,2.16700000,2.24700000,1.91500000,2.06200000,687570.56000000
2020-11-06,2.08100000,2.09300000,1.47000000,1.65700000,719158.09000000
2020-11-07,1.65300000,1.95000000,1.46000000,1.86800000,881071.98000000
2020-11-08,1.86500000,1.90900000,1.68700000,1.74800000,677901.21000000
2020-11-09,1.75400000,1.79800000,1.55100000,1.67400000,407050.86000000
2020-11-10,1.68000000,1.76700000,1.63200000,1.74600000,305388.60000000
2020-11-11,1.70700000,1.82600000,1.66600000,1.79700000,270654.03000000
2020-11-12,1.81300000,1.98900000,1.77400000,1.85100000,79575.23000000
2020-11-13,1.86600000,1.90300000,1.77400000,1.89500000,100037.78000000
2020-11-14,1.89100000,1.99000000,1.83400000,1.84000000,138508.07000000
2020-11-15,1.87400000,2.16000000,1.85400000,2.10800000,131322.79000000
2020-11-16,2.10800000,2.20900000,2.03900000,2.14100000,172256.66000000
2020-11-17,2.13600000,2.15200000,1.71200000,1.83700000,239217.86000000
2020-11-18,1.80000000,2.10000000,1.72900000,1.87400000,111597.53000000
2020-11-19,1.87900000,1.99000000,1.80500000,1.91300000,81890.42000000
2020-11-20,1.89400000,1.89800000,1.65300000,1.79200000,234756.72000000
2020-11-21,1.79000000,1.81600000,1.52700000,1.68500000,177973.92000000
2020-11-22,1.67700000,1.85600000,1.65000000,1.80300000,172744.70000000
2020-11-23,1.80500000,1.83400000,1.73600000,1.77600000,59578.56000000
2020-11-24,1.78400000,1.82000000,1.57900000,1.71800000,193148.59000000
2020-11-25,1.71500000,1.72500000,1.09400000,1.39500000,1127807.08000000
2020-11-26,1.40600000,1.57200000,1.31200000,1.50100000,663531.61000000
2020-11-27,1.48500000,1.52200000,1.44000000,1.49100000,198526.76000000
2020-11-28,1.47500000,1.49900000,1.44100000,1.47400000,98919.60000000
2020-11-29,1.47300000,1.49500000,1.45300000,1.47900000,27734.61000000
2020-11-30,1.46400000,1.47600000,1.40100000,1.44900000,93063.38000000
2020-12-01,1.43700000,1.49900000,1.32500000,1.43500000,15963.75000000
2020-12-02,1.46400000,1.46500000,1.38800000,1.42800000,27223.31000000
2020-12-03,1.44500000,1.47000000,1.42900000,1.45200000,37123.72000000
2020-12-04,1.45300000,1.59100000,1.44000000,1.56500000,88012.75000000
2020-12-05,1.58200000,1.59000000,1.46900000,1.49900000,19899.91000000
2020-12-06,1.48700000,1.57600000,1.48500000,1.55400000,11126.61000000
2020-12-07,1.54000000,1.54100000,1.14200000,1.45400000,472470.22000000
2020-12-08,1.44300000,1.51600000,1.40400000,1.49200000,170207.79000000
2020-12-09,1.49900000,1.52000000,1.36600000,1.44500000,218139.31000000
2020-12-10,1.42700000,1.45100000,1.28600000,1.44500000,153456.74000000
2020-12-11,1.44800000,1.50000000,1.42100000,1.50000000,51702.06000000
2020-12-12,1.49300000,1.51100000,1.46200000,1.49100000,17297.58000000
2020-12-13,1.50500000,1.50700000,1.46200000,1.48200000,6927.90000000
2020-12-14,1.49700000,1.58200000,1.47700000,1.56100000,29154.80000000
2020-12-15,1.54800000,1.59100000,1.51300000,1.58800000,54442.36000000
2020-12-16,1.57600000,1.69900000,1.54400000,1.64200000,29035.22000000
2020-12-17,1.64200000,1.66000000,1.53100000,1.64100000,45098.62000000
2020-12-18,1.64900000,1.65600000,1.59500000,1.63000000,32243.92000000
2020-12-19,1.65200000,1.68800000,1.60000000,1.66300000,31720.31000000
2020-12-20,1.66900000,1.69500000,1.63900000,1.66000000,17859.67000000
2020-12-21,1.65400000,2.10600000,1.63000000,1.88300000,266048.82000000
2020-12-22,1.89100000,2.03100000,1.75800000,1.96000000,356722.27000000
2020-12-23,1.96000000,2.69100000,1.88000000,2.39000000,506775.92000000
2020-12-24,2.41400000,2.49000000,1.97300000,2.08400000,147905.69000000
