Date,Open,High,Low,Close,Volume
2021-01-29,4.44600000,6.38000000,4.05200000,4.31700000,948647.07600000
2021-01-30,4.31700000,4.54000000,4.10000000,4.12600000,278483.83600000
2021-01-31,4.12600000,4.19900000,3.86000000,3.95700000,185776.03000000
2021-02-01,3.95700000,4.07400000,3.64500000,3.72600000,233017.40200000
2021-02-02,3.72600000,4.20000000,3.68800000,4.15000000,205086.30800000
2021-02-03,4.14300000,4.23000000,3.98100000,4.16100000,177168.17400000
2021-02-04,4.15000000,4.47000000,3.86400000,3.96200000,270367.40500000
2021-02-05,3.96200000,4.90000000,3.90200000,4.70200000,594421.15300000
2021-02-06,4.70200000,5.40000000,4.34300000,4.85000000,578932.75300000
2021-02-07,4.85000000,5.20800000,4.40000000,4.57200000,351719.30400000
2021-02-08,4.58800000,5.01100000,4.55400000,4.99500000,273579.99600000
2021-02-09,4.97000000,5.65600000,4.60100000,5.20000000,542602.19100000
2021-02-10,5.20900000,5.39900000,4.80000000,5.05700000,433339.32200000
2021-02-11,5.05700000,6.25000000,5.00700000,5.96200000,625502.65900000
2021-02-12,5.96300000,6.28600000,5.62600000,6.05500000,269175.98600000
2021-02-13,6.01700000,8.30000000,5.93800000,7.45100000,959388.52300000
2021-02-14,7.49700000,7.58300000,6.16400000,6.42100000,451260.29200000
2021-02-15,6.42100000,6.73600000,5.38100000,6.10000000,347736.17000000
2021-02-16,6.14200000,6.34000000,5.71900000,5.95300000,379782.52000000
2021-02-17,5.95000000,7.00600000,5.59000000,6.73400000,366257.07300000
2021-02-18,6.70600000,7.27400000,6.46700000,6.71100000,286985.72700000
2021-02-19,6.68700000,7.35000000,6.29300000,6.80200000,301679.48500000
2021-02-20,6.80200000,7.06900000,6.02700000,6.18100000,355911.86000000
2021-02-21,6.18000000,7.10000000,6.10000000,6.89000000,337034.12100000
2021-02-22,6.91300000,6.91300000,5.66000000,6.15200000,385466.03800000
2021-02-23,6.16900000,6.17000000,4.60000000,5.00100000,346669.10000000
2021-02-24,5.00500000,5.65000000,4.83300000,5.38400000,255714.87800000
2021-02-25,5.38400000,5.94000000,4.92200000,4.96800000,276842.47200000
2021-02-26,4.96800000,5.11600000,4.63300000,4.87000000,159091.68700000
2021-02-27,4.87000000,6.00000000,4.84300000,5.61100000,297289.25700000
2021-02-28,5.57900000,5.70000000,4.89300000,5.18700000,225842.13500000
2021-03-01,5.19000000,5.55100000,5.13600000,5.49800000,126272.06100000
2021-03-02,5.47700000,5.69700000,5.20000000,5.35600000,274966.12400000
2021-03-03,5.35600000,7.49000000,5.29900000,6.19300000,1838629.23300000
2021-03-04,6.19100000,6.37800000,5.65000000,6.04900000,543377.16300000
2021-03-05,6.04000000,6.80800000,5.75000000,6.62200000,502292.56800000
2021-03-06,6.64800000,6.78200000,6.16700000,6.22300000,258556.34200000
2021-03-07,6.24900000,6.48700000,6.15200000,6.40200000,249918.97800000
2021-03-08,6.41700000,7.00000000,6.29000000,6.69600000,408061.37500000
2021-03-09,6.69600000,6.84300000,6.54500000,6.69700000,350456.66700000
2021-03-10,6.69900000,8.74000000,6.25000000,7.75500000,1907812.31900000
2021-03-11,7.75500000,9.00000000,7.60800000,7.70700000,1316033.82600000
2021-03-12,7.73800000,8.60000000,7.16500000,7.43500000,672107.63200000
2021-03-13,7.45800000,8.09300000,7.17600000,7.72700000,407439.70400000
2021-03-14,7.73000000,8.70000000,7.53200000,8.52000000,487448.89200000
2021-03-15,8.53100000,9.50000000,7.70000000,7.92900000,731482.88700000
2021-03-16,7.92800000,8.95000000,7.50100000,8.72300000,526428.02000000
2021-03-17,8.71900000,8.75800000,7.92900000,8.44900000,356597.61100000
2021-03-18,8.44000000,8.51800000,7.90300000,8.05000000,255321.57700000
2021-03-19,8.04600000,8.16700000,7.76100000,7.91900000,219680.34800000
2021-03-20,7.92100000,8.49500000,7.70700000,7.70700000,330009.14400000
