Date,Open,High,Low,Close,Volume
2021-03-03,3.34100000,4.39900000,3.07600000,3.27000000,6055813.95900000
2021-03-04,3.27000000,3.30500000,2.91900000,2.93100000,2627620.89800000
2021-03-05,2.93100000,3.05300000,2.68000000,2.85000000,1530277.90700000
2021-03-06,2.86400000,3.00000000,2.65000000,2.77800000,1109274.29000000
2021-03-07,2.78300000,2.89700000,2.72100000,2.81100000,797340.17800000
2021-03-08,2.80300000,2.83900000,2.57800000,2.77800000,1128064.53300000
2021-03-09,2.77900000,3.01300000,2.74900000,2.97200000,1594219.73200000
2021-03-10,2.98100000,3.23600000,2.79500000,2.91700000,1960221.26100000
2021-03-11,2.91600000,3.05000000,2.72100000,2.85500000,1365209.81500000
2021-03-12,2.85500000,3.40000000,2.73000000,3.38300000,2613022.70300000
2021-03-13,3.39600000,4.05000000,3.15300000,3.66700000,2441440.97200000
2021-03-14,3.66600000,4.08000000,3.50000000,3.80100000,1730864.94500000
2021-03-15,3.80100000,4.05000000,3.22200000,4.01200000,1926873.42200000
2021-03-16,4.01600000,4.26500000,3.36400000,3.51300000,1624058.94800000
2021-03-17,3.52600000,3.79700000,3.33700000,3.70800000,1061312.38200000
2021-03-18,3.72500000,3.79000000,3.54600000,3.69000000,643823.20800000
2021-03-19,3.68500000,4.88000000,3.66500000,4.60100000,2568403.36400000
2021-03-20,4.63100000,4.67600000,4.14000000,4.20800000,866185.65200000
2021-03-21,4.20300000,4.50600000,3.75800000,3.95600000,960824.38800000
2021-03-22,3.97100000,4.75000000,3.79300000,4.17700000,1298052.13100000
2021-03-23,4.18400000,4.55700000,3.93400000,4.10700000,977768.23200000
2021-03-24,4.10400000,4.45000000,3.68400000,3.73600000,881921.83100000
2021-03-25,3.73300000,4.16800000,3.44700000,3.51600000,985714.48200000
2021-03-26,3.51700000,3.87900000,3.51100000,3.77700000,588810.76500000
2021-03-27,3.77400000,4.28500000,3.70000000,3.95800000,728424.74400000
2021-03-28,3.94400000,4.15000000,3.78800000,3.97400000,732739.13700000
2021-03-29,3.97500000,4.43000000,3.87600000,4.28600000,781562.60400000
2021-03-30,4.28600000,4.33900000,3.98700000,4.03300000,590146.67500000
2021-03-31,4.04700000,4.04900000,3.66300000,3.84500000,746966.23200000
2021-04-01,3.86200000,3.87700000,3.58300000,3.68600000,547602.16100000
2021-04-02,3.68800000,4.27100000,3.59000000,3.63300000,1311010.07900000
2021-04-03,3.63200000,4.05000000,3.57100000,3.76700000,869212.59500000
2021-04-04,3.75300000,3.92200000,3.63000000,3.79300000,475946.05200000
2021-04-05,3.79700000,3.93000000,3.65200000,3.70900000,580004.85400000
2021-04-06,3.70900000,3.86000000,3.46500000,3.51700000,744260.37200000
2021-04-07,3.51600000,3.62500000,3.12100000,3.31900000,808692.05600000
2021-04-08,3.30600000,3.78000000,3.28000000,3.65100000,612347.64900000
2021-04-09,3.64500000,4.07600000,3.62900000,3.84400000,1039464.30500000
2021-04-10,3.84500000,3.95400000,3.50400000,3.60600000,864223.59800000
2021-04-11,3.60600000,3.72500000,3.39500000,3.63100000,574798.94400000
2021-04-12,3.63900000,3.69600000,3.37200000,3.49800000,413297.18000000
2021-04-13,3.49800000,3.64800000,3.31100000,3.38500000,537890.51400000
2021-04-14,3.38700000,3.40000000,3.17000000,3.28900000,518200.25700000
2021-04-15,3.28200000,3.55000000,3.27700000,3.49100000,514054.25700000
2021-04-16,3.50600000,3.59600000,3.12200000,3.25000000,527943.47400000
2021-04-17,3.25100000,3.45500000,3.12700000,3.16600000,695046.61500000
2021-04-18,3.16700000,3.20600000,2.45000000,2.79400000,839019.47400000
2021-04-19,2.80000000,3.08000000,2.35400000,2.50200000,673080.11400000
2021-04-20,2.50700000,2.70000000,1.95000000,2.45300000,3533692.18700000
2021-04-21,2.45300000,2.54100000,2.24400000,2.27800000,661371.82300000
2021-04-22,2.27000000,2.50000000,2.01000000,2.06200000,841039.91300000
2021-04-23,2.06500000,2.06500000,1.56000000,1.84400000,1723687.05400000
2021-04-24,1.84400000,2.00000000,1.63000000,1.68800000,705373.84400000
2021-04-25,1.69400000,1.99900000,1.66100000,1.76700000,756568.08500000
2021-04-26,1.76900000,2.49000000,1.73300000,2.22300000,1917145.70700000
2021-04-27,2.22300000,2.98000000,2.17000000,2.41100000,5912922.91300000
2021-04-28,2.41100000,2.46500000,2.18800000,2.29900000,1854070.71000000
2021-04-29,2.30000000,2.42300000,2.13800000,2.36100000,1637008.76300000
2021-04-30,2.36100000,4.47000000,2.32800000,3.19000000,16154965.24400000
2021-05-01,3.19200000,4.64000000,2.98500000,3.68900000,28374921.04600000
2021-05-02,3.68900000,3.80000000,3.28000000,3.30900000,4826793.18500000
2021-05-03,3.31700000,3.51800000,3.04500000,3.07000000,3773306.43300000
2021-05-04,3.07000000,3.07200000,2.73600000,2.74300000,2485643.06200000
2021-05-05,2.74500000,3.59300000,2.66900000,2.99000000,5228565.31500000
2021-05-06,2.98700000,3.29900000,2.70800000,3.09200000,2441396.32400000
2021-05-07,3.09700000,3.39400000,2.70000000,2.86800000,2798391.32200000
2021-05-08,2.86800000,3.10000000,2.77200000,2.81200000,1204548.87300000
2021-05-09,2.80800000,3.09000000,2.55000000,2.73700000,1634041.49600000
2021-05-10,2.73700000,2.84900000,2.25000000,2.34100000,2118179.87700000
2021-05-11,2.32900000,2.93600000,2.26100000,2.88300000,2051806.30100000
2021-05-12,2.88600000,3.14900000,2.26800000,2.28000000,3217387.66300000
2021-05-13,2.30400000,2.65100000,2.19200000,2.28300000,1547209.71700000
2021-05-14,2.29700000,2.80000000,2.20000000,2.61300000,3483203.42700000
2021-05-15,2.61300000,2.86300000,2.39700000,2.45400000,2266539.79900000
2021-05-16,2.46200000,2.65500000,2.25000000,2.35500000,1026848.43700000
2021-05-17,2.35600000,2.36900000,2.01200000,2.11100000,986929.58200000
2021-05-18,2.11200000,2.28100000,1.99900000,2.02700000,682153.68400000
2021-05-19,2.02500000,2.07700000,1.28600000,1.36000000,1829965.38500000
2021-05-20,1.37300000,1.69600000,1.24800000,1.49000000,1289560.65900000
2021-05-21,1.50000000,2.84400000,1.43400000,2.29300000,38135686.87900000
2021-05-22,2.28800000,2.59500000,1.72000000,1.80000000,21949333.84100000
2021-05-23,1.80000000,1.85000000,0.96700000,1.24600000,10772957.55500000
2021-05-24,1.24300000,1.69100000,1.17000000,1.53200000,6587345.38600000
2021-05-25,1.53200000,1.58500000,1.23300000,1.40700000,2948322.47700000
2021-05-26,1.41400000,1.58500000,1.36900000,1.48600000,2290844.88000000
2021-05-27,1.48200000,1.59700000,1.30200000,1.43900000,2206709.11900000
2021-05-28,1.43500000,1.46600000,1.19200000,1.26000000,1709145.25000000
2021-05-29,1.26200000,1.32600000,1.08500000,1.13600000,1126694.35500000
2021-05-30,1.13800000,1.34700000,1.07100000,1.26300000,1446936.32100000
