Date,Open,High,Low,Close,Volume
2021-08-20,0.05981000,0.13960000,0.05981000,0.09650000,427469593.00000000
2021-08-21,0.09651000,0.09680000,0.08312000,0.08716000,254888133.00000000
2021-08-22,0.08739000,0.08788000,0.07741000,0.07963000,129421557.00000000
2021-08-23,0.07978000,0.08450000,0.07516000,0.07810000,158289345.00000000
2021-08-24,0.07808000,0.10254000,0.07406000,0.08366000,728238442.00000000
2021-08-25,0.08366000,0.10400000,0.08049000,0.08595000,493560786.00000000
2021-08-26,0.08589000,0.08800000,0.07500000,0.07672000,139293025.00000000
2021-08-27,0.07672000,0.09614000,0.07381000,0.08220000,259830041.00000000
2021-08-28,0.08220000,0.08540000,0.07880000,0.08200000,96766121.00000000
2021-08-29,0.08201000,0.08505000,0.07620000,0.07912000,111290771.00000000
2021-08-30,0.07913000,0.08410000,0.07700000,0.07723000,95163464.00000000
2021-08-31,0.07723000,0.08065000,0.07485000,0.07621000,66964092.00000000
2021-09-01,0.07625000,0.08167000,0.07400000,0.07949000,90125797.00000000
2021-09-02,0.07950000,0.08600000,0.07886000,0.08096000,72337101.00000000
2021-09-03,0.08090000,0.08098000,0.07877000,0.07997000,44238608.00000000
2021-09-04,0.07980000,0.08030000,0.07619000,0.07759000,65158351.00000000
2021-09-05,0.07765000,0.08050000,0.07537000,0.07754000,77810342.00000000
2021-09-06,0.07758000,0.07822000,0.07460000,0.07699000,69770087.00000000
2021-09-07,0.07699000,0.08000000,0.05451000,0.05974000,144422409.00000000
2021-09-08,0.05974000,0.07300000,0.05801000,0.06642000,115739295.00000000
2021-09-09,0.06665000,0.06665000,0.06176000,0.06382000,59641818.00000000
2021-09-10,0.06357000,0.06560000,0.05739000,0.06015000,48651338.00000000
2021-09-11,0.06022000,0.06694000,0.05922000,0.06170000,47892470.00000000
2021-09-12,0.06186000,0.06808000,0.06176000,0.06494000,60157858.00000000
2021-09-13,0.06477000,0.06505000,0.05755000,0.05958000,38575277.00000000
2021-09-14,0.05958000,0.06550000,0.05890000,0.06312000,41040593.00000000
2021-09-15,0.06318000,0.09880000,0.06191000,0.08529000,800245424.00000000
2021-09-16,0.08523000,0.12285000,0.07355000,0.09841000,1675326345.00000000
2021-09-17,0.09842000,0.14477000,0.09292000,0.10947000,2385644466.00000000
2021-09-18,0.10947000,0.12870000,0.10140000,0.10288000,805471208.00000000
2021-09-19,0.10279000,0.10563000,0.09169000,0.09375000,288739532.00000000
2021-09-20,0.09381000,0.09419000,0.07525000,0.07745000,255894268.00000000
2021-09-21,0.07745000,0.10686000,0.07167000,0.08826000,985688142.00000000
2021-09-22,0.08825000,0.10042000,0.08552000,0.09077000,418467662.00000000
2021-09-23,0.09075000,0.09247000,0.08621000,0.08815000,189245154.00000000
2021-09-24,0.08820000,0.09000000,0.07500000,0.08340000,142114644.00000000
2021-09-25,0.08331000,0.08500000,0.07723000,0.07878000,141478183.00000000
2021-09-26,0.07895000,0.08330000,0.06966000,0.07607000,153086923.00000000
2021-09-27,0.07602000,0.09087000,0.07510000,0.07932000,252368697.00000000
2021-09-28,0.07932000,0.08890000,0.07267000,0.07322000,138369081.00000000
2021-09-29,0.07322000,0.08200000,0.07242000,0.07444000,125310339.00000000
2021-09-30,0.07457000,0.08000000,0.07400000,0.07697000,92164170.00000000
2021-10-01,0.07694000,0.09675000,0.07633000,0.08561000,362347215.00000000
2021-10-02,0.08566000,0.09500000,0.08442000,0.08607000,206769070.00000000
2021-10-03,0.08610000,0.08812000,0.08280000,0.08400000,111642253.00000000
2021-10-04,0.08404000,0.08500000,0.08000000,0.08119000,77447097.00000000
2021-10-05,0.08120000,0.08871000,0.08013000,0.08120000,124304832.00000000
2021-10-06,0.08117000,0.08164000,0.07675000,0.07978000,95832855.00000000
2021-10-07,0.07972000,0.08200000,0.07767000,0.07982000,74340443.00000000
2021-10-08,0.07983000,0.08650000,0.07701000,0.07958000,152104157.00000000
2021-10-09,0.07957000,0.09376000,0.07850000,0.08039000,345867433.00000000
2021-10-10,0.08039000,0.08443000,0.07785000,0.07785000,102912662.00000000
2021-10-11,0.07790000,0.08700000,0.07755000,0.07916000,121787624.00000000
2021-10-12,0.07916000,0.08396000,0.07682000,0.07938000,72584195.00000000
2021-10-13,0.07929000,0.08305000,0.07700000,0.08015000,122755315.00000000
2021-10-14,0.08017000,0.08300000,0.07880000,0.08041000,91524926.00000000
2021-10-15,0.08046000,0.10755000,0.07702000,0.08612000,775391494.00000000
2021-10-16,0.08610000,0.11864000,0.08150000,0.09050000,968325404.00000000
2021-10-17,0.09060000,0.11500000,0.09050000,0.09364000,942167350.00000000
2021-10-18,0.09364000,0.09629000,0.08700000,0.08720000,161700786.00000000
2021-10-19,0.08714000,0.09410000,0.08600000,0.08904000,116155741.00000000
2021-10-20,0.08912000,0.10288000,0.08804000,0.09184000,286691592.00000000
2021-10-21,0.09193000,0.09550000,0.08809000,0.09169000,105841792.00000000
2021-10-22,0.09161000,0.09380000,0.08760000,0.08957000,64241224.00000000
2021-10-23,0.08959000,0.09900000,0.08887000,0.09387000,122428741.00000000
2021-10-24,0.09385000,0.10188000,0.09295000,0.09781000,143764185.00000000
2021-10-25,0.09786000,0.10000000,0.09431000,0.09607000,54664166.00000000
2021-10-26,0.09607000,0.09667000,0.09200000,0.09272000,57680046.00000000
2021-10-27,0.09287000,0.09501000,0.08000000,0.08133000,94877660.00000000
2021-10-28,0.08130000,0.08955000,0.08072000,0.08569000,74257588.00000000
2021-10-29,0.08573000,0.08781000,0.08400000,0.08569000,50857122.00000000
2021-10-30,0.08565000,0.08620000,0.08148000,0.08205000,57380382.00000000
2021-10-31,0.08211000,0.08237000,0.07861000,0.08030000,73642650.00000000
2021-11-01,0.08029000,0.08630000,0.08002000,0.08318000,86702525.00000000
2021-11-02,0.08319000,0.08853000,0.08189000,0.08483000,93492431.00000000
2021-11-03,0.08480000,0.08937000,0.08299000,0.08733000,93474448.00000000
