Date,Open,High,Low,Close,Volume
2020-07-20,1.24800000,2.79260000,1.01740000,1.25860000,96013.42000000
2020-07-21,1.25970000,1.26890000,1.25730000,1.26600000,157874.86000000
2020-07-22,1.26630000,1.26750000,1.25740000,1.26460000,167032.57000000
2020-07-23,1.26460000,1.26870000,1.25730000,1.26420000,228907.76000000
2020-07-24,1.26420000,1.27200000,1.26100000,1.27050000,176517.71000000
2020-07-25,1.27030000,1.27180000,1.26900000,1.27110000,174813.49000000
2020-07-26,1.27100000,1.27340000,1.26720000,1.27050000,364676.81000000
2020-07-27,1.27100000,1.28320000,1.27100000,1.27930000,457459.24000000
2020-07-28,1.28020000,1.28640000,1.27510000,1.28370000,354565.23000000
2020-07-29,1.28310000,1.29180000,1.26150000,1.28990000,306866.00000000
2020-07-30,1.28900000,1.30270000,1.28630000,1.30270000,287894.17000000
2020-07-31,1.30330000,1.30710000,1.29730000,1.30040000,119828.76000000
2020-08-01,1.29930000,1.30230000,1.29770000,1.30100000,195719.96000000
2020-08-02,1.30100000,1.30730000,1.29600000,1.30450000,648362.19000000
2020-08-03,1.30360000,1.30560000,1.29250000,1.29980000,271548.99000000
2020-08-04,1.30020000,1.30270000,1.29090000,1.30070000,246142.85000000
2020-08-05,1.30070000,1.30710000,1.29900000,1.30480000,247904.56000000
2020-08-06,1.30420000,1.31020000,1.29560000,1.30540000,302302.82000000
2020-08-07,1.30540000,1.30730000,1.29100000,1.29750000,314897.84000000
2020-08-08,1.29780000,1.30020000,1.29520000,1.29880000,114392.77000000
2020-08-09,1.29840000,1.30000000,1.29590000,1.29740000,144930.00000000
2020-08-10,1.29830000,1.30180000,1.29360000,1.29950000,318568.90000000
2020-08-11,1.29950000,1.30460000,1.29710000,1.29840000,479221.22000000
2020-08-12,1.29860000,1.30070000,1.29220000,1.29680000,452589.99000000
2020-08-13,1.29680000,1.30500000,1.29570000,1.29890000,456410.51000000
2020-08-14,1.29940000,1.30520000,1.29500000,1.29940000,320094.09000000
2020-08-15,1.30090000,1.30200000,1.29870000,1.30000000,227152.33000000
2020-08-16,1.30040000,1.30340000,1.29970000,1.30250000,125404.32000000
2020-08-17,1.30130000,1.30490000,1.29810000,1.30210000,775442.49000000
2020-08-18,1.30250000,1.31700000,1.30230000,1.31650000,455829.75000000
2020-08-19,1.31650000,1.31970000,1.30180000,1.30380000,378559.03000000
2020-08-20,1.30380000,1.31460000,1.29050000,1.31330000,279755.60000000
2020-08-21,1.31370000,1.31640000,1.29830000,1.30190000,198283.65000000
2020-08-22,1.30190000,1.30360000,1.30030000,1.30060000,209271.57000000
2020-08-23,1.30100000,1.30330000,1.30010000,1.30200000,152967.68000000
2020-08-24,1.30150000,1.30690000,1.29770000,1.29960000,322558.71000000
2020-08-25,1.29920000,1.30950000,1.29840000,1.30740000,332669.78000000
2020-08-26,1.30770000,1.31450000,1.30440000,1.31340000,606533.02000000
2020-08-27,1.31430000,1.32000000,1.30900000,1.31360000,343074.68000000
2020-08-28,1.31360000,1.32730000,1.31170000,1.32680000,241272.13000000
2020-08-29,1.32680000,1.32840000,1.32610000,1.32750000,167469.83000000
2020-08-30,1.32670000,1.32890000,1.32340000,1.32790000,462057.67000000
2020-08-31,1.32850000,1.33070000,1.32120000,1.32840000,372218.21000000
2020-09-01,1.32860000,1.33910000,1.32760000,1.33210000,536425.86000000
2020-09-02,1.33250000,1.33280000,1.31990000,1.32620000,408702.45000000
2020-09-03,1.32630000,1.32670000,1.31520000,1.31610000,882583.20000000
2020-09-04,1.31560000,1.32380000,1.30860000,1.31860000,750266.53000000
2020-09-05,1.31840000,1.32310000,1.31810000,1.32150000,449053.27000000
2020-09-06,1.32200000,1.32340000,1.31640000,1.31750000,480631.34000000
2020-09-07,1.31750000,1.31850000,1.30690000,1.30940000,406571.92000000
2020-09-08,1.30940000,1.30940000,1.28860000,1.28980000,313622.45000000
2020-09-09,1.28980000,1.29500000,1.28180000,1.29350000,294367.54000000
2020-09-10,1.29180000,1.29640000,1.27050000,1.27270000,290802.23000000
2020-09-11,1.27380000,1.27750000,1.26930000,1.27190000,256606.91000000
2020-09-12,1.27190000,1.27400000,1.27070000,1.27200000,258115.51000000
2020-09-13,1.27200000,1.27460000,1.27000000,1.27400000,317905.62000000
2020-09-14,1.27320000,1.28380000,1.27190000,1.27820000,561421.16000000
2020-09-15,1.27760000,1.28430000,1.27580000,1.28050000,404701.26000000
2020-09-16,1.28090000,1.29330000,1.28030000,1.28890000,558035.64000000
2020-09-17,1.28880000,1.29090000,1.28000000,1.29000000,405702.58000000
2020-09-18,1.29000000,1.29320000,1.28360000,1.28410000,401779.50000000
2020-09-19,1.28410000,1.28590000,1.28280000,1.28470000,253550.43000000
2020-09-20,1.28390000,1.28680000,1.28350000,1.28610000,376751.04000000
2020-09-21,1.28610000,1.28960000,1.27130000,1.27490000,610383.43000000
2020-09-22,1.27490000,1.27930000,1.26420000,1.26660000,272138.59000000
2020-09-23,1.26730000,1.27050000,1.24950000,1.26490000,409258.49000000
2020-09-24,1.26550000,1.27090000,1.25060000,1.26900000,464873.38000000
2020-09-25,1.26890000,1.27270000,1.26220000,1.26700000,339447.51000000
2020-09-26,1.26660000,1.26830000,1.26610000,1.26700000,217160.04000000
2020-09-27,1.26670000,1.27000000,1.26550000,1.26940000,347232.17000000
2020-09-28,1.26990000,1.28610000,1.26880000,1.28140000,448025.67000000
2020-09-29,1.28070000,1.28280000,1.27600000,1.27950000,416416.69000000
2020-09-30,1.28050000,1.28700000,1.27010000,1.28430000,430130.88000000
2020-10-01,1.28630000,1.29070000,1.27450000,1.28180000,660322.62000000
2020-10-02,1.28180000,1.28860000,1.27730000,1.28690000,583225.62000000
2020-10-03,1.28690000,1.28710000,1.28460000,1.28540000,267190.60000000
2020-10-04,1.28540000,1.28750000,1.28360000,1.28520000,400602.79000000
2020-10-05,1.28620000,1.29330000,1.28250000,1.29170000,798694.55000000
2020-10-06,1.29170000,1.29360000,1.28020000,1.28120000,656266.29000000
2020-10-07,1.28120000,1.28680000,1.27890000,1.28520000,498189.71000000
2020-10-08,1.28530000,1.29000000,1.28270000,1.28570000,626840.19000000
2020-10-09,1.28610000,1.29750000,1.28510000,1.29650000,498305.51000000
2020-10-10,1.29690000,1.30010000,1.29480000,1.29710000,360944.70000000
2020-10-11,1.29710000,1.30080000,1.29410000,1.29680000,282895.63000000
2020-10-12,1.29640000,1.30090000,1.29280000,1.29910000,697073.02000000
2020-10-13,1.29760000,1.29920000,1.28470000,1.28580000,524204.54000000
2020-10-14,1.28520000,1.29830000,1.27900000,1.29310000,395992.27000000
2020-10-15,1.29370000,1.29540000,1.28160000,1.28250000,450516.10000000
2020-10-16,1.28290000,1.28790000,1.28010000,1.28320000,484809.69000000
2020-10-17,1.28390000,1.28520000,1.28260000,1.28390000,229448.21000000
2020-10-18,1.28390000,1.28590000,1.28150000,1.28460000,227659.50000000
2020-10-19,1.28560000,1.29490000,1.28490000,1.28700000,369129.73000000
2020-10-20,1.28780000,1.29070000,1.28390000,1.28720000,532374.13000000
2020-10-21,1.28730000,1.31040000,1.28660000,1.30380000,1288168.69000000
2020-10-22,1.30470000,1.30680000,1.29790000,1.30000000,794025.50000000
2020-10-23,1.30000000,1.30430000,1.29450000,1.29760000,617754.35000000
2020-10-24,1.29760000,1.29780000,1.29520000,1.29590000,260726.49000000
2020-10-25,1.29590000,1.29800000,1.29360000,1.29680000,334142.04000000
2020-10-26,1.29680000,1.30030000,1.29110000,1.29370000,686340.14000000
2020-10-27,1.29370000,1.30060000,1.29260000,1.29510000,664478.14000000
2020-10-28,1.29460000,1.29900000,1.28630000,1.29110000,712269.66000000
2020-10-29,1.29160000,1.29580000,1.28090000,1.28510000,667914.15000000
2020-10-30,1.28550000,1.29080000,1.28250000,1.28710000,888857.46000000
2020-10-31,1.28710000,1.29080000,1.28670000,1.28780000,492449.68000000
2020-11-01,1.28780000,1.28860000,1.28440000,1.28530000,352807.22000000
2020-11-02,1.28530000,1.28670000,1.27820000,1.28450000,790096.79000000
2020-11-03,1.28500000,1.30510000,1.28420000,1.30390000,871851.52000000
2020-11-04,1.30410000,1.30570000,1.28610000,1.28940000,1488611.01000000
2020-11-05,1.28930000,1.30960000,1.28810000,1.30710000,1775057.25000000
2020-11-06,1.30720000,1.31830000,1.30440000,1.31040000,2621263.75000000
2020-11-07,1.31000000,1.31820000,1.30600000,1.30940000,2209499.43000000
2020-11-08,1.30960000,1.32000000,1.30710000,1.31160000,1494286.41000000
2020-11-09,1.31200000,1.31500000,1.30480000,1.31220000,1892462.68000000
2020-11-10,1.31200000,1.32130000,1.30930000,1.31820000,1866742.77000000
2020-11-11,1.31880000,1.32410000,1.31140000,1.31700000,1484624.77000000
2020-11-12,1.31660000,1.32370000,1.30410000,1.30790000,1741974.51000000
2020-11-13,1.30770000,1.31180000,1.30100000,1.31180000,2014423.22000000
2020-11-14,1.31060000,1.31160000,1.30820000,1.30940000,872459.66000000
2020-11-15,1.30930000,1.31150000,1.30730000,1.31150000,690071.10000000
2020-11-16,1.31170000,1.31760000,1.30650000,1.31440000,1777855.61000000
2020-11-17,1.31480000,1.32000000,1.31240000,1.31750000,3801996.36000000
2020-11-18,1.31780000,1.32700000,1.31600000,1.32050000,3217012.95000000
2020-11-19,1.32050000,1.32180000,1.31410000,1.31890000,1941740.29000000
2020-11-20,1.31880000,1.32560000,1.31800000,1.32320000,2685317.93000000
