Date,Open,High,Low,Close,Volume
2020-05-13,0.44850000,0.49900000,0.44850000,0.46330000,544886.66000000
2020-05-14,0.46370000,0.49200000,0.45190000,0.48260000,317840.62000000
2020-05-15,0.48270000,0.49360000,0.47040000,0.47460000,420339.42000000
2020-05-16,0.47590000,0.48240000,0.47090000,0.47380000,244820.46000000
2020-05-17,0.47360000,0.48230000,0.46800000,0.47440000,338968.53000000
2020-05-18,0.47430000,0.48950000,0.47360000,0.48390000,212720.52000000
2020-05-19,0.48360000,0.49400000,0.47100000,0.49120000,196084.57000000
2020-05-20,0.49130000,0.49160000,0.47130000,0.48170000,226757.38000000
2020-05-21,0.48170000,0.48330000,0.44420000,0.46080000,256815.90000000
2020-05-22,0.46060000,0.50000000,0.44880000,0.48280000,329265.10000000
2020-05-23,0.48280000,0.52540000,0.48250000,0.49030000,391566.01000000
2020-05-24,0.49040000,0.49680000,0.46000000,0.46140000,304558.44000000
2020-05-25,0.46010000,0.48100000,0.45730000,0.47550000,180152.25000000
2020-05-26,0.47880000,0.48900000,0.46990000,0.48310000,233927.35000000
2020-05-27,0.48290000,0.60000000,0.47510000,0.51570000,525775.12000000
2020-05-28,0.51830000,0.53490000,0.49720000,0.50860000,312732.36000000
2020-05-29,0.50880000,0.51900000,0.50110000,0.51050000,161072.85000000
2020-05-30,0.51050000,0.59000000,0.50110000,0.53700000,646163.60000000
2020-05-31,0.53700000,0.54450000,0.51490000,0.51740000,298011.09000000
2020-06-01,0.51740000,0.54930000,0.51360000,0.53860000,175408.69000000
2020-06-02,0.54180000,0.54360000,0.48910000,0.51080000,176963.76000000
2020-06-03,0.51040000,0.53250000,0.50660000,0.53200000,183375.28000000
2020-06-04,0.53320000,0.53890000,0.50790000,0.52140000,246943.24000000
2020-06-05,0.52140000,0.52820000,0.38280000,0.52070000,195261.33000000
2020-06-06,0.52070000,0.52400000,0.50760000,0.52230000,177331.80000000
2020-06-07,0.52260000,0.52830000,0.50990000,0.52530000,173600.51000000
2020-06-08,0.52510000,0.55540000,0.51940000,0.52950000,347316.64000000
2020-06-09,0.52940000,0.57010000,0.52090000,0.56740000,427988.28000000
2020-06-10,0.56740000,0.62470000,0.56070000,0.59440000,529793.67000000
2020-06-11,0.59460000,0.69000000,0.52780000,0.53410000,1115734.88000000
2020-06-12,0.53250000,0.58480000,0.52400000,0.56960000,453538.02000000
2020-06-13,0.56950000,0.57590000,0.55390000,0.57110000,123763.85000000
2020-06-14,0.57090000,0.57710000,0.53880000,0.54580000,109136.18000000
2020-06-15,0.54610000,0.78140000,0.49140000,0.56770000,1238601.92000000
2020-06-16,0.56790000,0.59100000,0.55600000,0.56640000,326880.73000000
2020-06-17,0.56460000,0.56640000,0.53690000,0.55160000,182766.40000000
2020-06-18,0.55110000,0.57360000,0.54090000,0.55510000,224908.41000000
2020-06-19,0.55510000,0.55840000,0.53080000,0.53800000,165203.99000000
2020-06-20,0.53650000,0.55540000,0.53230000,0.54830000,90530.25000000
2020-06-21,0.54810000,0.54810000,0.53570000,0.53750000,74994.95000000
2020-06-22,0.53740000,0.55800000,0.53310000,0.55390000,220366.97000000
2020-06-23,0.55380000,0.55580000,0.53270000,0.53590000,349034.28000000
2020-06-24,0.53600000,0.54470000,0.50860000,0.51490000,339606.26000000
2020-06-25,0.51490000,0.51810000,0.49220000,0.50440000,165224.89000000
2020-06-26,0.50440000,0.51230000,0.49030000,0.50170000,100296.92000000
2020-06-27,0.50140000,0.50230000,0.47010000,0.48010000,140526.04000000
2020-06-28,0.47850000,0.49000000,0.46620000,0.48340000,147214.15000000
2020-06-29,0.48350000,0.49240000,0.47500000,0.48610000,120761.22000000
