Date,Open,High,Low,Close,Volume
2021-12-17,24.40000000,44.00000000,17.50000000,19.49000000,2849080.54000000
2021-12-18,19.46000000,20.50000000,13.53000000,14.38000000,2457739.85300000
2021-12-19,14.38000000,16.61000000,14.01000000,14.71000000,2021489.38100000
2021-12-20,14.72000000,15.09000000,11.98000000,12.35000000,1074614.06100000
2021-12-21,12.35000000,13.29000000,11.35000000,12.68000000,1437641.57100000
2021-12-22,12.68000000,13.71000000,12.00000000,12.09000000,908752.37000000
2021-12-23,12.10000000,12.80000000,11.28000000,12.59000000,1144586.16800000
2021-12-24,12.60000000,13.56000000,11.55000000,11.75000000,921501.86900000
2021-12-25,11.78000000,15.92000000,11.61000000,14.65000000,3158820.04900000
2021-12-26,14.67000000,15.30000000,13.30000000,13.55000000,1427859.53900000
2021-12-27,13.54000000,14.86000000,13.28000000,13.90000000,859223.35600000
2021-12-28,13.90000000,14.13000000,11.56000000,11.63000000,937255.80900000
2021-12-29,11.62000000,11.74000000,10.51000000,10.93000000,1421961.20800000
2021-12-30,10.92000000,11.65000000,10.78000000,11.07000000,611735.91300000
2021-12-31,11.07000000,11.87000000,10.80000000,11.00000000,844296.36300000
2022-01-01,11.00000000,11.69000000,10.98000000,11.50000000,515484.95800000
2022-01-02,11.50000000,12.86000000,11.06000000,12.23000000,1269204.50400000
2022-01-03,12.24000000,12.52000000,11.51000000,11.96000000,871729.87900000
2022-01-04,11.98000000,11.99000000,11.23000000,11.45000000,682168.12800000
2022-01-05,11.45000000,11.57000000,9.51000000,9.92000000,1132135.54800000
2022-01-06,9.92000000,10.50000000,8.86000000,9.71000000,659310.89300000
2022-01-07,9.70000000,9.80000000,8.70000000,9.22000000,605800.39200000
2022-01-08,9.21000000,9.69000000,8.41000000,8.53000000,365723.70100000
2022-01-09,8.53000000,8.82000000,8.21000000,8.51000000,322053.14800000
2022-01-10,8.50000000,8.60000000,7.40000000,7.84000000,392445.20900000
2022-01-11,7.86000000,8.33000000,7.57000000,8.01000000,362507.35700000
2022-01-12,8.01000000,8.49000000,7.70000000,8.28000000,625793.49100000
2022-01-13,8.28000000,10.61000000,8.00000000,9.47000000,2597258.38800000
2022-01-14,9.46000000,9.77000000,8.33000000,8.73000000,2083278.61600000
2022-01-15,8.74000000,9.15000000,8.64000000,8.73000000,598173.29700000
2022-01-16,8.73000000,8.73000000,8.21000000,8.32000000,546723.90700000
2022-01-17,8.32000000,8.35000000,7.56000000,7.84000000,435788.38800000
2022-01-18,7.84000000,7.88000000,7.00000000,7.31000000,368694.38600000
2022-01-19,7.32000000,7.52000000,6.76000000,6.93000000,429653.15600000
2022-01-20,6.92000000,7.44000000,6.59000000,6.62000000,461458.20800000
2022-01-21,6.61000000,6.79000000,5.75000000,5.86000000,1234314.21500000
2022-01-22,5.87000000,6.63000000,5.29000000,5.61000000,1246960.16000000
2022-01-23,5.60000000,6.18000000,5.35000000,5.69000000,596677.76500000
2022-01-24,5.70000000,5.72000000,4.52000000,4.91000000,1037826.71800000
2022-01-25,4.91000000,5.16000000,4.73000000,5.04000000,532600.43000000
2022-01-26,5.04000000,5.30000000,4.56000000,4.67000000,1062028.97000000
2022-01-27,4.67000000,4.87000000,4.08000000,4.31000000,1074362.77900000
2022-01-28,4.31000000,4.49000000,4.10000000,4.38000000,629625.80900000
2022-01-29,4.38000000,4.85000000,4.36000000,4.64000000,696581.02800000
2022-01-30,4.64000000,5.73000000,4.62000000,5.10000000,2851342.23600000
2022-01-31,5.10000000,6.97000000,4.74000000,6.75000000,2310943.63900000
2022-02-01,6.74000000,6.90000000,5.72000000,5.92000000,1695030.67600000
2022-02-02,5.92000000,6.00000000,5.21000000,5.27000000,1180507.13900000
2022-02-03,5.27000000,5.41000000,4.95000000,5.05000000,672118.45600000
2022-02-04,5.07000000,5.63000000,5.00000000,5.46000000,842416.73400000
2022-02-05,5.46000000,5.65000000,5.23000000,5.40000000,897838.45000000
2022-02-06,5.40000000,6.30000000,5.36000000,6.07000000,2208936.55500000
2022-02-07,6.06000000,6.49000000,5.76000000,6.22000000,1829900.41400000
2022-02-08,6.23000000,6.40000000,5.40000000,5.75000000,1689576.90900000
2022-02-09,5.76000000,6.35000000,5.70000000,6.21000000,1228849.67500000
2022-02-10,6.23000000,6.23000000,5.40000000,5.53000000,1781824.68300000
2022-02-11,5.54000000,5.70000000,5.05000000,5.12000000,819996.67300000
2022-02-12,5.12000000,5.26000000,4.89000000,5.04000000,713393.10700000
2022-02-13,5.04000000,5.45000000,4.90000000,5.06000000,709949.13500000
2022-02-14,5.06000000,5.20000000,4.86000000,5.16000000,386697.07700000
