Date,Open,High,Low,Close,Volume
2020-04-27,0.41780000,0.92000000,0.41780000,0.44800000,35448674.01000000
2020-04-28,0.44900000,0.49920000,0.42310000,0.44140000,9890494.13000000
2020-04-29,0.44140000,0.50380000,0.39280000,0.44430000,17343441.23000000
2020-04-30,0.44430000,0.48930000,0.41600000,0.41860000,7504188.42000000
2020-05-01,0.41860000,0.42240000,0.36450000,0.37080000,6929603.57000000
2020-05-02,0.37170000,0.39170000,0.33780000,0.33860000,7226361.15000000
2020-05-03,0.33860000,0.43880000,0.30590000,0.40610000,20210374.41000000
2020-05-04,0.40610000,0.47340000,0.36030000,0.42310000,24012971.96000000
2020-05-05,0.42410000,0.43700000,0.39100000,0.40070000,7335302.83000000
2020-05-06,0.40130000,0.40900000,0.36100000,0.37080000,5181761.35000000
2020-05-07,0.37080000,0.38540000,0.35190000,0.36040000,3685069.84000000
2020-05-08,0.36080000,0.39550000,0.36080000,0.36200000,2596086.24000000
2020-05-09,0.36210000,0.37500000,0.34850000,0.35020000,1969815.75000000
2020-05-10,0.35010000,0.35070000,0.29190000,0.30700000,2992874.50000000
2020-05-11,0.30700000,0.36540000,0.30700000,0.31890000,3942022.66000000
2020-05-12,0.31830000,0.34000000,0.31050000,0.32290000,1752010.73000000
2020-05-13,0.32210000,0.32920000,0.32000000,0.32260000,1270854.91000000
2020-05-14,0.32300000,0.33980000,0.31760000,0.33100000,1748907.16000000
2020-05-15,0.33100000,0.33510000,0.30800000,0.31480000,1118502.10000000
2020-05-16,0.31580000,0.31700000,0.30570000,0.30770000,1137619.39000000
2020-05-17,0.30730000,0.35850000,0.30000000,0.35270000,3638821.15000000
2020-05-18,0.35270000,0.35350000,0.32050000,0.32210000,4369090.93000000
2020-05-19,0.32210000,0.37300000,0.31340000,0.31660000,8780242.95000000
2020-05-20,0.31600000,0.33750000,0.31210000,0.31900000,5248748.23000000
2020-05-21,0.31800000,0.32200000,0.28680000,0.29440000,2690867.67000000
2020-05-22,0.29440000,0.30590000,0.28840000,0.29740000,2528216.90000000
2020-05-23,0.29770000,0.30290000,0.29040000,0.29360000,1863257.20000000
2020-05-24,0.29360000,0.29850000,0.26460000,0.26720000,2625731.86000000
2020-05-25,0.26680000,0.29270000,0.26190000,0.27540000,4206435.75000000
2020-05-26,0.27540000,0.30500000,0.26710000,0.27230000,4714763.69000000
2020-05-27,0.27230000,0.28530000,0.27100000,0.27640000,2702964.76000000
2020-05-28,0.27640000,0.27800000,0.26560000,0.27180000,2184991.79000000
2020-05-29,0.27180000,0.27370000,0.26660000,0.26920000,1388837.38000000
2020-05-30,0.26930000,0.26950000,0.25610000,0.25790000,2761622.28000000
2020-05-31,0.25770000,0.26130000,0.23210000,0.23520000,2956850.13000000
2020-06-01,0.23530000,0.27410000,0.23530000,0.25650000,5156620.51000000
2020-06-02,0.25660000,0.26220000,0.23500000,0.24200000,2769642.73000000
2020-06-03,0.24290000,0.25450000,0.23810000,0.24740000,1494493.80000000
2020-06-04,0.24630000,0.26710000,0.24440000,0.26370000,2526067.82000000
2020-06-05,0.26400000,0.27000000,0.25250000,0.25990000,2692705.32000000
2020-06-06,0.25990000,0.26030000,0.24940000,0.25250000,1300722.87000000
2020-06-07,0.25220000,0.26070000,0.24730000,0.25180000,1448798.78000000
2020-06-08,0.25110000,0.25400000,0.24910000,0.25060000,913466.93000000
2020-06-09,0.25140000,0.25460000,0.24900000,0.24950000,918940.75000000
2020-06-10,0.25070000,0.25100000,0.24440000,0.24850000,1136624.97000000
2020-06-11,0.24760000,0.26140000,0.23330000,0.24530000,9500974.85000000
2020-06-12,0.24440000,0.25800000,0.23990000,0.25490000,4320362.04000000
2020-06-13,0.25490000,0.26330000,0.24810000,0.26100000,2534101.20000000
2020-06-14,0.26100000,0.27840000,0.25240000,0.25320000,6189329.04000000
2020-06-15,0.25310000,0.25600000,0.24040000,0.25160000,5386285.34000000
2020-06-16,0.25160000,0.25750000,0.24670000,0.25550000,2138208.62000000
2020-06-17,0.25490000,0.26000000,0.24770000,0.25100000,2409410.46000000
2020-06-18,0.25220000,0.25300000,0.24230000,0.24550000,2668247.95000000
2020-06-19,0.24510000,0.24600000,0.24010000,0.24070000,1311999.11000000
2020-06-20,0.24130000,0.25700000,0.24120000,0.25340000,4856664.31000000
2020-06-21,0.25290000,0.25400000,0.24550000,0.24980000,3090169.61000000
2020-06-22,0.24990000,0.25150000,0.24470000,0.24950000,2098744.23000000
2020-06-23,0.24900000,0.25310000,0.24610000,0.24840000,2872144.86000000
2020-06-24,0.24840000,0.25230000,0.23510000,0.24000000,5251627.87000000
2020-06-25,0.23990000,0.24120000,0.22850000,0.23570000,2358517.77000000
2020-06-26,0.23660000,0.24040000,0.21490000,0.21950000,3866902.67000000
2020-06-27,0.21940000,0.22560000,0.19850000,0.20620000,3160149.42000000
2020-06-28,0.20560000,0.21500000,0.19880000,0.20700000,1367494.92000000
2020-06-29,0.20700000,0.23090000,0.20700000,0.22360000,3066578.54000000
2020-06-30,0.22290000,0.22380000,0.21560000,0.21740000,938770.03000000
2020-07-01,0.21830000,0.21990000,0.21330000,0.21400000,754441.76000000
2020-07-02,0.21530000,0.21530000,0.20200000,0.20830000,1184654.79000000
2020-07-03,0.20770000,0.20990000,0.20600000,0.20740000,518823.91000000
2020-07-04,0.20740000,0.21660000,0.20540000,0.21040000,1700560.47000000
2020-07-05,0.21040000,0.21190000,0.20360000,0.20660000,1162781.21000000
2020-07-06,0.20630000,0.22800000,0.20600000,0.22480000,1864641.84000000
2020-07-07,0.22450000,0.22450000,0.21370000,0.21610000,1005220.97000000
2020-07-08,0.21680000,0.22190000,0.21450000,0.21880000,1515800.98000000
2020-07-09,0.21850000,0.22730000,0.21100000,0.21800000,2410541.92000000
2020-07-10,0.21800000,0.23980000,0.21580000,0.23150000,3280570.76000000
2020-07-11,0.23160000,0.23770000,0.22860000,0.23490000,1862698.70000000
2020-07-12,0.23420000,0.23490000,0.22280000,0.22710000,1112837.45000000
2020-07-13,0.22700000,0.22900000,0.22110000,0.22290000,823597.04000000
2020-07-14,0.22230000,0.22230000,0.21400000,0.21830000,1563477.09000000
2020-07-15,0.21750000,0.22240000,0.21500000,0.21890000,1077171.26000000
2020-07-16,0.21820000,0.21900000,0.20530000,0.21120000,1249718.28000000
2020-07-17,0.21230000,0.21420000,0.20700000,0.21140000,1075776.83000000
2020-07-18,0.21060000,0.21340000,0.20850000,0.21090000,600935.89000000
2020-07-19,0.21090000,0.21860000,0.21050000,0.21320000,1280028.07000000
2020-07-20,0.21320000,0.22030000,0.21010000,0.21610000,3000695.55000000
2020-07-21,0.21610000,0.28490000,0.21350000,0.23210000,20798775.42000000
2020-07-22,0.23130000,0.23750000,0.22470000,0.22750000,5081818.41000000
2020-07-23,0.22700000,0.22950000,0.22180000,0.22370000,2243546.99000000
2020-07-24,0.22360000,0.23270000,0.22250000,0.22350000,1927515.62000000
2020-07-25,0.22350000,0.22900000,0.22200000,0.22380000,1407455.98000000
2020-07-26,0.22380000,0.22420000,0.20970000,0.21680000,2470704.19000000
2020-07-27,0.21680000,0.24890000,0.21050000,0.22070000,9540446.31000000
2020-07-28,0.22070000,0.24000000,0.21450000,0.23360000,5687135.05000000
2020-07-29,0.23440000,0.24660000,0.23190000,0.23890000,3790084.09000000
2020-07-30,0.23890000,0.23900000,0.22300000,0.22620000,2336066.97000000
2020-07-31,0.22710000,0.23150000,0.22180000,0.22350000,1869195.63000000
2020-08-01,0.22350000,0.23110000,0.22190000,0.22370000,2275967.98000000
2020-08-02,0.22360000,0.23800000,0.21300000,0.21770000,4249778.20000000
2020-08-03,0.21760000,0.22410000,0.21720000,0.22170000,1453748.67000000
2020-08-04,0.22130000,0.22320000,0.21650000,0.22190000,1624669.97000000
2020-08-05,0.22190000,0.22490000,0.21840000,0.22330000,2361891.53000000
2020-08-06,0.22340000,0.23350000,0.21980000,0.23340000,3578110.18000000
2020-08-07,0.23290000,0.25430000,0.22890000,0.24820000,7328704.33000000
2020-08-08,0.24720000,0.26220000,0.24220000,0.25900000,4434289.44000000
2020-08-09,0.25970000,0.27620000,0.24660000,0.25440000,5877554.21000000
2020-08-10,0.25450000,0.26370000,0.24540000,0.25820000,3681391.05000000
2020-08-11,0.25820000,0.26350000,0.23490000,0.24430000,4211613.99000000
2020-08-12,0.24540000,0.25500000,0.22900000,0.25030000,4103041.50000000
2020-08-13,0.24950000,0.26560000,0.23700000,0.26070000,6005774.70000000
2020-08-14,0.25960000,0.26440000,0.25420000,0.25600000,3791871.81000000
2020-08-15,0.25720000,0.27350000,0.25220000,0.26240000,5084305.51000000
2020-08-16,0.26380000,0.29220000,0.26160000,0.28190000,7952518.29000000
2020-08-17,0.28200000,0.28940000,0.27060000,0.27270000,5781002.27000000
2020-08-18,0.27270000,0.28580000,0.25420000,0.26890000,4165437.06000000
2020-08-19,0.26890000,0.27670000,0.24520000,0.27410000,4760665.36000000
2020-08-20,0.27330000,0.34450000,0.26180000,0.26970000,29071812.63000000
2020-08-21,0.26970000,0.27060000,0.24290000,0.24650000,6515938.71000000
2020-08-22,0.24650000,0.25010000,0.23200000,0.24740000,2921346.19000000
2020-08-23,0.24840000,0.25140000,0.23770000,0.24180000,2199639.87000000
2020-08-24,0.24220000,0.25360000,0.23980000,0.24840000,2509264.32000000
2020-08-25,0.24840000,0.25280000,0.22580000,0.22950000,2693839.23000000
2020-08-26,0.22960000,0.23910000,0.22480000,0.23330000,2957565.64000000
2020-08-27,0.23260000,0.23500000,0.22000000,0.22390000,2217633.67000000
2020-08-28,0.22400000,0.23590000,0.22290000,0.23300000,1697208.73000000
2020-08-29,0.23300000,0.23800000,0.22490000,0.23720000,1619127.82000000
2020-08-30,0.23620000,0.23910000,0.23260000,0.23630000,1298080.38000000
2020-08-31,0.23690000,0.24810000,0.23400000,0.24380000,2657259.22000000
2020-09-01,0.24370000,0.24830000,0.23510000,0.23960000,2140623.34000000
2020-09-02,0.24000000,0.24000000,0.21510000,0.22200000,2761843.51000000
2020-09-03,0.22200000,0.22400000,0.16910000,0.17400000,4157892.14000000
2020-09-04,0.17400000,0.18980000,0.17290000,0.18890000,1862838.10000000
2020-09-05,0.18790000,0.19240000,0.16210000,0.16770000,1836989.79000000
2020-09-06,0.16880000,0.18010000,0.15850000,0.17630000,1804025.05000000
2020-09-07,0.17560000,0.18600000,0.16000000,0.17520000,1758612.18000000
2020-09-08,0.17510000,0.18300000,0.16660000,0.17420000,1407868.96000000
2020-09-09,0.17440000,0.18370000,0.16940000,0.18000000,1312885.85000000
2020-09-10,0.18080000,0.18800000,0.17710000,0.18520000,1494523.11000000
2020-09-11,0.18520000,0.20380000,0.17890000,0.19240000,3495296.62000000
2020-09-12,0.19240000,0.19460000,0.18740000,0.19160000,1420663.68000000
2020-09-13,0.19150000,0.19160000,0.17600000,0.17950000,1375364.61000000
2020-09-14,0.17900000,0.18800000,0.17670000,0.18030000,1026033.81000000
2020-09-15,0.18070000,0.18400000,0.17080000,0.17090000,887759.03000000
2020-09-16,0.17100000,0.17110000,0.16180000,0.17040000,828990.62000000
2020-09-17,0.16960000,0.17400000,0.16490000,0.16810000,963163.46000000
2020-09-18,0.16810000,0.18300000,0.16750000,0.17190000,2386954.13000000
2020-09-19,0.17230000,0.17490000,0.16960000,0.17330000,523065.64000000
2020-09-20,0.17320000,0.18040000,0.16620000,0.17930000,654570.74000000
2020-09-21,0.17810000,0.18640000,0.15470000,0.17290000,2666821.17000000
2020-09-22,0.17140000,0.17970000,0.15660000,0.16280000,2511393.85000000
2020-09-23,0.16260000,0.16350000,0.13930000,0.14490000,1361012.49000000
2020-09-24,0.14560000,0.15300000,0.14180000,0.15290000,803487.22000000
2020-09-25,0.15290000,0.15860000,0.14960000,0.15670000,901847.81000000
2020-09-26,0.15770000,0.16110000,0.15650000,0.15770000,416362.63000000
2020-09-27,0.15900000,0.15980000,0.14980000,0.15640000,626046.48000000
2020-09-28,0.15630000,0.16860000,0.15510000,0.15620000,1261335.78000000
2020-09-29,0.15590000,0.15870000,0.15070000,0.15510000,765374.19000000
2020-09-30,0.15580000,0.15980000,0.14910000,0.15260000,800507.20000000
2020-10-01,0.15310000,0.15670000,0.14640000,0.14930000,665260.89000000
2020-10-02,0.14930000,0.15190000,0.14350000,0.15100000,562190.12000000
2020-10-03,0.15150000,0.16740000,0.14820000,0.15060000,2335756.97000000
2020-10-04,0.15040000,0.15460000,0.14840000,0.15030000,994559.88000000
2020-10-05,0.15010000,0.16840000,0.14920000,0.15740000,3271106.35000000
2020-10-06,0.15750000,0.15850000,0.13260000,0.13450000,1603162.27000000
2020-10-07,0.13430000,0.14080000,0.13160000,0.13840000,715972.74000000
2020-10-08,0.13920000,0.14350000,0.13430000,0.13970000,823616.43000000
2020-10-09,0.14010000,0.14930000,0.13720000,0.14520000,776250.55000000
2020-10-10,0.14510000,0.16540000,0.14460000,0.15280000,3345186.23000000
2020-10-11,0.15280000,0.16000000,0.15160000,0.15700000,1023809.12000000
2020-10-12,0.15690000,0.16450000,0.15490000,0.15800000,976751.02000000
2020-10-13,0.15860000,0.15950000,0.14860000,0.15530000,771456.49000000
2020-10-14,0.15410000,0.15600000,0.14740000,0.14970000,424257.97000000
2020-10-15,0.14930000,0.15570000,0.14720000,0.15330000,576756.52000000
2020-10-16,0.15430000,0.15740000,0.14750000,0.15010000,617513.66000000
2020-10-17,0.15040000,0.15110000,0.14750000,0.14940000,107070.78000000
2020-10-18,0.14860000,0.15800000,0.14860000,0.14950000,472317.79000000
2020-10-19,0.15040000,0.15040000,0.14670000,0.14830000,236162.67000000
2020-10-20,0.14820000,0.14930000,0.13630000,0.13720000,683246.27000000
2020-10-21,0.13810000,0.14370000,0.13810000,0.14280000,549387.34000000
2020-10-22,0.14210000,0.14820000,0.14200000,0.14420000,387963.65000000
2020-10-23,0.14310000,0.14840000,0.14240000,0.14550000,562844.25000000
2020-10-24,0.14540000,0.14790000,0.14350000,0.14660000,332515.18000000
2020-10-25,0.14660000,0.14920000,0.14140000,0.14220000,288145.88000000
2020-10-26,0.14180000,0.14400000,0.13690000,0.13910000,474715.66000000
2020-10-27,0.13800000,0.13850000,0.13310000,0.13470000,494349.83000000
2020-10-28,0.13540000,0.13540000,0.12290000,0.12600000,971798.11000000
2020-10-29,0.12590000,0.12690000,0.12180000,0.12340000,423767.66000000
2020-10-30,0.12310000,0.12420000,0.11290000,0.11600000,618571.75000000
2020-10-31,0.11550000,0.11900000,0.11500000,0.11800000,747198.09000000
2020-11-01,0.11810000,0.12220000,0.11690000,0.11760000,429358.01000000
2020-11-02,0.11780000,0.11990000,0.11110000,0.11310000,525661.68000000
2020-11-03,0.11220000,0.11340000,0.10720000,0.11160000,580562.17000000
2020-11-04,0.11160000,0.11380000,0.10820000,0.11200000,393113.32000000
2020-11-05,0.11150000,0.11390000,0.10880000,0.11110000,1107705.70000000
2020-11-06,0.11170000,0.12110000,0.11110000,0.11910000,2056927.56000000
2020-11-07,0.11980000,0.12500000,0.11060000,0.11350000,1243440.48000000
2020-11-08,0.11270000,0.11900000,0.11240000,0.11750000,730321.32000000
2020-11-09,0.11710000,0.11910000,0.11150000,0.11640000,565916.35000000
2020-11-10,0.11630000,0.12500000,0.11500000,0.12050000,1173551.17000000
2020-11-11,0.12000000,0.12910000,0.11900000,0.12360000,1538229.34000000
2020-11-12,0.12390000,0.14510000,0.12070000,0.12800000,2589624.26000000
2020-11-13,0.12780000,0.13590000,0.12200000,0.12860000,2152042.87000000
2020-11-14,0.12850000,0.12960000,0.12180000,0.12410000,661456.64000000
2020-11-15,0.12380000,0.12570000,0.11840000,0.11990000,579602.94000000
2020-11-16,0.12020000,0.13370000,0.12000000,0.12620000,2930174.32000000
2020-11-17,0.12620000,0.12710000,0.12170000,0.12230000,1441563.29000000
2020-11-18,0.12200000,0.12630000,0.11650000,0.12220000,1120578.45000000
2020-11-19,0.12260000,0.12370000,0.11560000,0.11900000,582662.30000000
2020-11-20,0.11860000,0.12800000,0.11810000,0.12430000,1102828.27000000
2020-11-21,0.12430000,0.13420000,0.12090000,0.13020000,1711685.47000000
2020-11-22,0.13080000,0.13260000,0.12060000,0.12550000,1380859.40000000
2020-11-23,0.12550000,0.13350000,0.12220000,0.13130000,4138284.45000000
2020-11-24,0.13170000,0.13790000,0.12550000,0.13340000,5240059.94000000
2020-11-25,0.13310000,0.15030000,0.13090000,0.13720000,4809439.31000000
2020-11-26,0.13740000,0.15830000,0.11340000,0.12200000,6495989.54000000
2020-11-27,0.12230000,0.12600000,0.10150000,0.11900000,1998545.92000000
2020-11-28,0.11920000,0.12420000,0.11600000,0.12290000,1153113.73000000
2020-11-29,0.12210000,0.12290000,0.11790000,0.12110000,1227960.78000000
2020-11-30,0.12110000,0.12550000,0.12000000,0.12480000,1367483.72000000
2020-12-01,0.12470000,0.14800000,0.11690000,0.12680000,8122447.92000000
2020-12-02,0.12580000,0.14430000,0.12240000,0.13920000,3822362.52000000
2020-12-03,0.13960000,0.14140000,0.13170000,0.13570000,1831539.17000000
2020-12-04,0.13540000,0.13630000,0.12470000,0.12480000,939054.03000000
2020-12-05,0.12550000,0.13220000,0.12330000,0.13120000,652243.54000000
2020-12-06,0.13130000,0.13340000,0.12880000,0.13070000,539070.27000000
2020-12-07,0.13120000,0.13830000,0.12970000,0.13570000,1754824.06000000
2020-12-08,0.13580000,0.13790000,0.12640000,0.12780000,1849275.26000000
2020-12-09,0.12780000,0.12850000,0.11100000,0.12420000,1772493.27000000
