Date,Open,High,Low,Close,Volume
2021-09-22,414.50000000,599.00000000,414.50000000,546.10000000,118077.31000000
2021-09-23,547.10000000,654.00000000,536.10000000,579.20000000,96879.92200000
2021-09-24,579.10000000,583.00000000,470.90000000,509.40000000,27336.42600000
2021-09-25,509.90000000,530.00000000,486.40000000,517.20000000,7689.14300000
2021-09-26,516.40000000,547.00000000,477.00000000,517.60000000,9019.91000000
2021-09-27,517.80000000,543.00000000,499.00000000,499.70000000,5992.85000000
2021-09-28,499.00000000,509.00000000,455.60000000,463.00000000,5808.10600000
2021-09-29,462.40000000,550.00000000,459.10000000,470.00000000,11759.67000000
2021-09-30,470.20000000,516.70000000,469.30000000,499.10000000,7686.64700000
2021-10-01,498.20000000,560.00000000,494.10000000,546.20000000,7048.13500000
2021-10-02,546.50000000,600.00000000,541.70000000,565.80000000,8068.38200000
2021-10-03,566.60000000,600.00000000,549.50000000,569.80000000,6987.74300000
2021-10-04,569.60000000,583.70000000,552.50000000,567.50000000,6431.57300000
2021-10-05,568.20000000,612.90000000,563.70000000,604.90000000,8987.53300000
2021-10-06,605.60000000,900.00000000,581.40000000,676.30000000,56221.96500000
2021-10-07,677.10000000,699.00000000,645.10000000,661.40000000,13385.45900000
2021-10-08,661.30000000,682.30000000,645.40000000,650.90000000,6455.15000000
2021-10-09,651.70000000,703.20000000,643.00000000,689.40000000,7082.68300000
2021-10-10,687.20000000,720.60000000,653.00000000,660.00000000,5889.74200000
2021-10-11,661.50000000,669.10000000,617.90000000,634.60000000,6843.21100000
2021-10-12,633.60000000,633.60000000,598.00000000,615.30000000,4466.08600000
2021-10-13,614.10000000,653.60000000,605.00000000,642.70000000,4176.07800000
2021-10-14,643.30000000,729.00000000,643.30000000,700.90000000,7041.10800000
2021-10-15,700.60000000,734.00000000,683.60000000,723.10000000,5862.43000000
2021-10-16,723.10000000,748.90000000,713.40000000,720.70000000,4091.44300000
2021-10-17,719.80000000,745.90000000,700.20000000,728.00000000,2834.04800000
2021-10-18,728.00000000,747.50000000,703.30000000,714.70000000,3349.18700000
2021-10-19,714.40000000,750.00000000,711.70000000,745.90000000,3273.18500000
2021-10-20,745.90000000,800.00000000,735.20000000,798.90000000,5363.39000000
2021-10-21,798.90000000,836.00000000,770.00000000,775.00000000,6930.78900000
2021-10-22,774.10000000,810.90000000,766.40000000,789.20000000,5032.54100000
2021-10-23,791.30000000,830.00000000,781.60000000,826.10000000,3340.91600000
2021-10-24,826.80000000,839.00000000,781.00000000,807.80000000,3801.54900000
2021-10-25,807.90000000,868.20000000,805.00000000,858.80000000,3991.55100000
2021-10-26,858.80000000,890.00000000,839.30000000,857.00000000,4849.72500000
2021-10-27,857.00000000,938.00000000,809.90000000,827.20000000,10947.14100000
2021-10-28,826.80000000,927.90000000,816.60000000,913.20000000,7853.04500000
2021-10-29,913.50000000,989.00000000,913.40000000,972.90000000,10436.30500000
2021-10-30,973.30000000,1040.00000000,946.40000000,1035.20000000,15921.50400000
2021-10-31,1034.20000000,1050.00000000,962.10000000,996.10000000,10544.17700000
2021-11-01,996.30000000,1062.40000000,958.80000000,1052.60000000,13095.34000000
2021-11-02,1053.70000000,1238.80000000,1034.40000000,1220.70000000,21124.37700000
2021-11-03,1220.80000000,1380.00000000,1154.00000000,1232.90000000,22080.54200000
2021-11-04,1230.40000000,1264.90000000,1202.00000000,1252.60000000,10560.41900000
2021-11-05,1251.30000000,1331.80000000,1217.80000000,1226.40000000,15769.72400000
2021-11-06,1226.40000000,1243.90000000,1146.50000000,1199.90000000,9430.36100000
2021-11-07,1199.80000000,1236.50000000,1147.00000000,1224.80000000,6446.15300000
2021-11-08,1224.40000000,1274.40000000,1211.60000000,1267.50000000,5617.33300000
2021-11-09,1268.00000000,1281.00000000,1206.20000000,1214.00000000,6266.13600000
2021-11-10,1214.00000000,1239.80000000,1088.80000000,1158.20000000,6897.09900000
2021-11-11,1158.20000000,1183.70000000,1128.20000000,1159.80000000,4763.81700000
2021-11-12,1161.00000000,1205.70000000,1113.00000000,1145.80000000,7084.32600000
2021-11-13,1144.70000000,1178.30000000,1127.40000000,1158.50000000,3977.77900000
2021-11-14,1157.60000000,1175.60000000,1107.20000000,1139.00000000,5119.99100000
2021-11-15,1137.60000000,1193.00000000,1111.30000000,1115.70000000,6705.79500000
2021-11-16,1115.70000000,1125.40000000,977.40000000,1021.80000000,9361.04700000
2021-11-17,1020.70000000,1074.20000000,983.40000000,1063.90000000,7061.12200000
2021-11-18,1061.50000000,1086.10000000,963.00000000,972.20000000,8000.75700000
2021-11-19,971.70000000,1034.10000000,964.90000000,1003.40000000,10197.49500000
2021-11-20,1004.00000000,1058.00000000,973.90000000,1041.00000000,9453.92900000
2021-11-21,1041.00000000,1109.80000000,1009.60000000,1046.60000000,13521.78300000
2021-11-22,1046.60000000,1109.00000000,987.00000000,1035.40000000,11701.81500000
2021-11-23,1038.40000000,1304.90000000,1028.00000000,1283.20000000,38593.23200000
2021-11-24,1283.20000000,1628.30000000,1277.20000000,1502.30000000,109027.89600000
2021-11-25,1502.20000000,1812.50000000,1479.40000000,1660.40000000,54626.92400000
2021-11-26,1663.60000000,1695.10000000,1366.10000000,1447.90000000,28934.92300000
2021-11-27,1448.30000000,1630.00000000,1443.20000000,1524.00000000,15318.88100000
2021-11-28,1523.80000000,1642.10000000,1450.00000000,1613.60000000,11268.65800000
2021-11-29,1612.00000000,1770.10000000,1605.50000000,1758.80000000,16939.82600000
2021-11-30,1758.80000000,1923.40000000,1679.00000000,1843.10000000,24302.99200000
2021-12-01,1843.30000000,1930.00000000,1684.30000000,1729.50000000,20721.82000000
2021-12-02,1729.60000000,1729.70000000,1588.70000000,1602.60000000,15597.49100000
2021-12-03,1601.50000000,1674.10000000,1410.00000000,1469.50000000,16613.20300000
2021-12-04,1468.30000000,1475.30000000,1153.00000000,1383.00000000,28716.59700000
2021-12-05,1382.30000000,1475.30000000,1340.50000000,1404.50000000,17668.47100000
2021-12-06,1405.60000000,1442.00000000,1217.10000000,1324.50000000,17355.17800000
2021-12-07,1324.10000000,1384.20000000,1279.60000000,1305.90000000,10388.70200000
2021-12-08,1306.00000000,1385.00000000,1290.00000000,1364.90000000,7602.52000000
2021-12-09,1363.80000000,1401.10000000,1255.10000000,1266.90000000,10340.43600000
2021-12-10,1268.20000000,1323.00000000,1171.00000000,1179.00000000,8723.25500000
2021-12-11,1177.70000000,1241.90000000,1160.00000000,1227.60000000,5122.42600000
2021-12-12,1228.40000000,1306.40000000,1206.80000000,1278.20000000,5777.74100000
2021-12-13,1278.10000000,1286.10000000,1081.20000000,1109.40000000,9090.40800000
2021-12-14,1112.30000000,1142.30000000,1061.00000000,1113.30000000,6914.99800000
2021-12-15,1113.70000000,1212.90000000,1051.60000000,1186.10000000,7103.10100000
2021-12-16,1183.00000000,1214.50000000,1145.00000000,1145.00000000,5288.92000000
2021-12-17,1145.00000000,1156.80000000,1055.50000000,1108.40000000,5811.24400000
2021-12-18,1108.30000000,1162.70000000,1078.00000000,1149.80000000,3724.55500000
2021-12-19,1149.00000000,1169.00000000,1091.30000000,1099.50000000,3572.22300000
2021-12-20,1099.50000000,1130.00000000,1050.00000000,1102.00000000,4550.38700000
2021-12-21,1102.00000000,1180.00000000,1089.00000000,1116.70000000,5878.77900000
2021-12-22,1119.00000000,1200.00000000,1100.00000000,1132.10000000,6983.64000000
2021-12-23,1133.50000000,1225.90000000,1107.30000000,1209.40000000,9670.44400000
2021-12-24,1208.60000000,1367.70000000,1169.60000000,1192.00000000,15398.10800000
2021-12-25,1192.00000000,1230.00000000,1177.70000000,1193.20000000,3926.82300000
2021-12-26,1194.40000000,1200.30000000,1133.10000000,1152.40000000,3737.25700000
2021-12-27,1154.30000000,1169.10000000,1125.40000000,1141.30000000,4392.97000000
2021-12-28,1140.80000000,1141.30000000,1041.40000000,1068.30000000,5256.17800000
2021-12-29,1068.00000000,1089.90000000,996.50000000,1004.20000000,4331.33400000
2021-12-30,1004.20000000,1042.40000000,989.00000000,1012.50000000,4786.66400000
2021-12-31,1012.10000000,1051.00000000,996.30000000,1016.70000000,5294.04600000
2022-01-01,1015.70000000,1047.50000000,1008.30000000,1046.20000000,2272.42800000
2022-01-02,1044.40000000,1060.50000000,1021.30000000,1046.20000000,2143.68000000
2022-01-03,1046.60000000,1060.00000000,1008.00000000,1033.80000000,3116.96800000
2022-01-04,1034.90000000,1043.00000000,974.60000000,976.00000000,5687.34800000
2022-01-05,975.50000000,1004.40000000,870.80000000,890.40000000,6849.36000000
2022-01-06,889.80000000,891.30000000,836.10000000,861.10000000,5795.64300000
2022-01-07,862.00000000,864.30000000,781.10000000,796.60000000,6875.02700000
2022-01-08,796.60000000,820.80000000,751.00000000,773.70000000,4693.74300000
2022-01-09,774.60000000,817.00000000,765.70000000,795.70000000,4255.20800000
2022-01-10,795.70000000,817.00000000,731.10000000,776.80000000,4602.84600000
2022-01-11,776.90000000,821.20000000,755.20000000,802.60000000,6208.37900000
2022-01-12,802.60000000,868.70000000,801.30000000,858.50000000,5755.61400000
2022-01-13,859.30000000,867.60000000,808.90000000,811.50000000,4176.73500000
2022-01-14,811.70000000,842.50000000,796.90000000,833.10000000,2706.71900000
2022-01-15,833.60000000,855.50000000,823.70000000,845.00000000,1898.42500000
2022-01-16,845.00000000,869.80000000,838.00000000,860.10000000,2021.56600000
2022-01-17,859.70000000,862.00000000,783.80000000,798.90000000,4162.33000000
2022-01-18,800.40000000,807.80000000,761.20000000,781.90000000,3221.45400000
2022-01-19,781.90000000,788.00000000,740.80000000,760.90000000,2695.06900000
2022-01-20,760.90000000,788.60000000,722.80000000,724.80000000,2564.49200000
2022-01-21,724.20000000,741.00000000,600.00000000,615.50000000,9210.02600000
2022-01-22,615.20000000,629.70000000,545.40000000,563.90000000,7982.33200000
2022-01-23,564.30000000,605.30000000,556.10000000,593.00000000,5064.57200000
2022-01-24,593.10000000,593.30000000,493.20000000,567.50000000,6762.11900000
2022-01-25,568.10000000,585.80000000,546.20000000,576.40000000,3619.46700000
2022-01-26,577.20000000,644.60000000,562.80000000,583.60000000,6572.25300000
2022-01-27,583.60000000,594.10000000,521.60000000,550.40000000,5056.66700000
2022-01-28,550.20000000,582.60000000,532.80000000,573.30000000,3220.15000000
2022-01-29,572.70000000,599.90000000,568.40000000,586.00000000,3003.77500000
2022-01-30,586.80000000,605.70000000,566.10000000,581.00000000,4712.60400000
2022-01-31,580.60000000,643.80000000,556.80000000,608.30000000,4257.93700000
2022-02-01,607.90000000,642.00000000,600.10000000,624.40000000,5634.36800000
2022-02-02,624.00000000,631.60000000,580.00000000,589.70000000,5678.36000000
2022-02-03,590.00000000,600.10000000,557.50000000,578.60000000,4770.28700000
2022-02-04,580.40000000,664.80000000,576.90000000,659.90000000,6977.18500000
2022-02-05,660.00000000,678.50000000,643.00000000,664.20000000,5474.69600000
2022-02-06,665.30000000,677.40000000,646.90000000,672.00000000,5000.39500000
2022-02-07,673.00000000,722.70000000,656.30000000,701.20000000,10213.00900000
2022-02-08,702.20000000,736.00000000,670.40000000,696.70000000,8021.12400000
2022-02-09,697.20000000,733.00000000,681.40000000,732.20000000,4437.38200000
2022-02-10,731.50000000,736.20000000,685.10000000,691.60000000,5825.19000000
2022-02-11,691.60000000,700.40000000,624.90000000,636.10000000,5095.93400000
2022-02-12,636.10000000,655.40000000,624.90000000,642.20000000,2263.46100000
2022-02-13,642.20000000,649.40000000,611.50000000,621.20000000,2847.72800000
2022-02-14,622.00000000,642.00000000,606.20000000,628.00000000,3217.43000000
