Date,Open,High,Low,Close,Volume
2021-11-12,1049.35000000,1542.21000000,930.42000000,1490.57000000,23772.46000000
2021-11-13,1490.44000000,2065.00000000,1460.61000000,1658.01000000,110874.11000000
2021-11-14,1655.00000000,1850.00000000,1433.11000000,1670.04000000,26354.20000000
2021-11-15,1674.09000000,1939.16000000,1448.88000000,1640.01000000,38020.74000000
2021-11-16,1640.02000000,1809.50000000,1480.30000000,1586.67000000,25518.78000000
2021-11-17,1585.06000000,1585.36000000,1366.65000000,1443.05000000,12411.39000000
2021-11-18,1443.79000000,1550.00000000,1133.16000000,1263.82000000,16629.65000000
2021-11-19,1265.75000000,1390.00000000,1190.00000000,1294.52000000,11306.73000000
2021-11-20,1294.47000000,1295.00000000,1136.84000000,1212.11000000,10878.89000000
2021-11-21,1213.36000000,1290.00000000,1064.91000000,1227.33000000,12633.04000000
2021-11-22,1222.67000000,1762.07000000,1176.43000000,1327.26000000,67131.45000000
2021-11-23,1330.74000000,1420.00000000,1212.58000000,1302.00000000,14489.27000000
2021-11-24,1302.00000000,1339.99000000,1213.01000000,1219.71000000,5930.18000000
2021-11-25,1219.62000000,1319.00000000,1150.00000000,1203.11000000,11646.52000000
2021-11-26,1203.12000000,1260.00000000,1003.00000000,1005.00000000,11151.21000000
2021-11-27,1005.29000000,1146.24000000,988.99000000,1036.15000000,13395.02000000
2021-11-28,1036.92000000,1342.28000000,1000.00000000,1179.54000000,55934.71000000
2021-11-29,1181.86000000,1195.81000000,1105.01000000,1120.59000000,7116.02000000
2021-11-30,1120.59000000,1130.00000000,1051.00000000,1080.63000000,5088.13000000
2021-12-01,1077.26000000,1157.99000000,1065.00000000,1078.62000000,5732.33000000
2021-12-02,1081.15000000,1138.00000000,1028.03000000,1035.86000000,4248.55000000
2021-12-03,1034.70000000,1050.40000000,908.67000000,967.92000000,5391.42000000
2021-12-04,969.90000000,969.90000000,617.66000000,807.34000000,6991.33000000
2021-12-05,807.97000000,1137.28000000,740.33000000,1090.64000000,16378.87000000
2021-12-06,1090.64000000,1093.00000000,738.60000000,866.04000000,32559.62000000
2021-12-07,866.75000000,913.29000000,820.43000000,867.61000000,9757.70000000
2021-12-08,862.92000000,870.48000000,802.23000000,848.87000000,3979.37000000
2021-12-09,848.80000000,881.11000000,790.26000000,791.66000000,5299.47000000
2021-12-10,791.01000000,821.24000000,761.03000000,776.19000000,2378.32000000
2021-12-11,776.06000000,813.80000000,761.14000000,803.06000000,2767.33000000
2021-12-12,802.23000000,802.63000000,687.68000000,732.86000000,9745.80000000
2021-12-13,732.00000000,732.16000000,597.27000000,608.99000000,7474.22000000
2021-12-14,608.99000000,625.99000000,575.07000000,598.16000000,6524.92000000
2021-12-15,598.95000000,820.00000000,547.25000000,707.00000000,25063.35000000
2021-12-16,706.05000000,815.00000000,685.33000000,709.06000000,37988.50000000
2021-12-17,707.46000000,715.00000000,630.42000000,653.39000000,8414.73000000
2021-12-18,654.62000000,858.31000000,639.03000000,791.81000000,28830.66000000
2021-12-19,787.44000000,873.28000000,755.00000000,762.71000000,19854.93000000
2021-12-20,764.49000000,798.03000000,712.16000000,772.36000000,7930.72000000
2021-12-21,772.36000000,893.69000000,762.01000000,883.00000000,11495.15000000
2021-12-22,887.91000000,986.40000000,867.32000000,869.64000000,10051.66000000
2021-12-23,868.48000000,979.00000000,849.31000000,959.98000000,8157.96000000
2021-12-24,959.91000000,964.29000000,867.38000000,878.44000000,5650.11000000
2021-12-25,878.45000000,899.99000000,868.69000000,881.00000000,3007.45000000
2021-12-26,881.00000000,894.16000000,843.57000000,860.50000000,3392.65000000
2021-12-27,862.42000000,890.00000000,797.04000000,813.05000000,7345.88000000
2021-12-28,813.07000000,828.00000000,715.00000000,746.54000000,7061.36000000
2021-12-29,746.58000000,763.38000000,717.00000000,722.11000000,3785.03000000
2021-12-30,722.86000000,740.19000000,705.09000000,722.97000000,3559.58000000
2021-12-31,724.96000000,1040.00000000,722.54000000,892.75000000,52569.83000000
2022-01-01,893.21000000,1289.98000000,868.54000000,1204.65000000,81073.50000000
2022-01-02,1204.64000000,1385.00000000,1144.00000000,1181.12000000,38972.92000000
2022-01-03,1180.36000000,1347.76000000,1154.97000000,1293.90000000,21925.46000000
2022-01-04,1292.53000000,1330.00000000,1165.44000000,1167.08000000,14985.61000000
2022-01-05,1166.50000000,1230.00000000,980.93000000,1057.74000000,11726.64000000
2022-01-06,1055.96000000,1374.64000000,1000.00000000,1298.00000000,40206.36000000
2022-01-07,1295.67000000,1371.00000000,1160.16000000,1203.86000000,23212.00000000
2022-01-08,1206.59000000,1217.99000000,1032.62000000,1090.98000000,10968.39000000
2022-01-09,1090.21000000,1149.99000000,1050.00000000,1062.65000000,6030.25000000
2022-01-10,1061.01000000,1080.00000000,941.10000000,1064.46000000,9232.87000000
2022-01-11,1064.59000000,1368.00000000,1054.39000000,1365.98000000,27151.81000000
2022-01-12,1365.94000000,1690.11000000,1253.99000000,1491.98000000,39786.09000000
2022-01-13,1492.00000000,1650.03000000,1457.20000000,1560.38000000,17774.48000000
2022-01-14,1560.00000000,1745.12000000,1475.00000000,1685.86000000,14803.48000000
2022-01-15,1685.00000000,1768.18000000,1652.71000000,1677.08000000,9593.60000000
2022-01-16,1677.08000000,1895.71000000,1668.00000000,1865.06000000,10288.46000000
2022-01-17,1869.88000000,1935.00000000,1523.90000000,1596.52000000,18116.06000000
2022-01-18,1599.27000000,1621.77000000,1334.00000000,1419.34000000,15134.89000000
2022-01-19,1418.20000000,1668.99000000,1335.71000000,1539.56000000,20598.86000000
2022-01-20,1539.56000000,1547.26000000,1343.19000000,1347.88000000,12079.06000000
2022-01-21,1349.14000000,1411.67000000,1020.00000000,1060.26000000,17888.60000000
2022-01-22,1060.28000000,1176.83000000,760.00000000,1038.07000000,30583.44000000
2022-01-23,1038.14000000,1350.00000000,1033.13000000,1247.00000000,36904.99000000
2022-01-24,1247.47000000,1249.94000000,1008.56000000,1182.22000000,31783.21000000
2022-01-25,1186.21000000,1217.37000000,1114.00000000,1138.05000000,11836.93000000
2022-01-26,1139.72000000,1210.00000000,1060.00000000,1092.97000000,15048.55000000
2022-01-27,1091.10000000,1093.00000000,931.16000000,983.87000000,15500.55000000
2022-01-28,986.22000000,1037.68000000,935.73000000,1001.03000000,11904.00000000
2022-01-29,998.93000000,1065.00000000,943.56000000,958.60000000,10652.42000000
2022-01-30,960.00000000,973.94000000,874.69000000,900.20000000,10344.06000000
2022-01-31,902.31000000,968.12000000,854.99000000,908.88000000,11849.71000000
2022-02-01,908.64000000,948.55000000,899.08000000,908.76000000,9517.31000000
2022-02-02,908.76000000,916.95000000,830.58000000,852.59000000,9066.22000000
2022-02-03,852.59000000,922.00000000,810.10000000,894.50000000,14569.16000000
2022-02-04,897.47000000,1013.32000000,866.00000000,947.29000000,31576.72000000
2022-02-05,947.29000000,980.00000000,901.00000000,918.18000000,14538.47000000
2022-02-06,918.39000000,930.00000000,882.99000000,909.00000000,10855.24000000
2022-02-07,909.04000000,975.00000000,890.12000000,928.09000000,17973.08000000
2022-02-08,929.25000000,940.00000000,850.00000000,871.33000000,13703.07000000
2022-02-09,872.90000000,920.00000000,863.93000000,901.05000000,10877.06000000
2022-02-10,901.07000000,907.19000000,832.94000000,845.14000000,11277.71000000
2022-02-11,845.86000000,876.22000000,783.40000000,794.95000000,11303.25000000
2022-02-12,794.50000000,814.99000000,758.78000000,785.18000000,7196.59000000
2022-02-13,787.74000000,809.99000000,751.62000000,754.00000000,7255.85000000
2022-02-14,755.51000000,800.00000000,732.38000000,770.25000000,7845.57000000
