Date,Open,High,Low,Close,Volume
2021-10-21,1.00000000,100.00000000,1.00000000,23.25000000,31093710.88000000
2021-10-22,23.24020000,23.60000000,16.42100000,16.94950000,11255495.14000000
2021-10-23,16.94950000,17.80000000,13.11720000,13.36230000,4303079.66000000
2021-10-24,13.36270000,14.32080000,11.70120000,12.25730000,4539599.35000000
2021-10-25,12.26500000,19.55260000,12.00040000,15.81890000,15595515.76000000
2021-10-26,15.81510000,16.50000000,14.03040000,14.38600000,4458122.90000000
2021-10-27,14.36040000,14.80000000,12.10000000,12.16000000,2519322.81000000
2021-10-28,12.15990000,12.69090000,11.17500000,11.56430000,2125312.36000000
2021-10-29,11.55240000,14.80000000,11.51220000,12.56990000,4235492.32000000
2021-10-30,12.57010000,13.06490000,11.52220000,11.67910000,1341486.06000000
2021-10-31,11.68320000,11.94640000,11.22220000,11.48810000,741997.78000000
2021-11-01,11.51720000,13.50000000,11.35090000,12.01020000,1784407.76000000
2021-11-02,12.01360000,12.20000000,11.63000000,11.75750000,745096.79000000
2021-11-03,11.75140000,12.29990000,11.47010000,11.51500000,1263818.77000000
2021-11-04,11.51500000,11.60000000,10.36880000,10.75000000,985591.56000000
2021-11-05,10.75000000,11.25490000,10.22750000,10.42550000,945427.14000000
2021-11-06,10.42550000,10.63000000,9.63640000,10.07950000,685850.68000000
2021-11-07,10.09350000,11.90000000,9.73380000,10.26230000,2642252.54000000
2021-11-08,10.26140000,10.90000000,9.91000000,9.97240000,712672.16000000
2021-11-09,10.00000000,10.14340000,9.60230000,9.71000000,552119.27000000
2021-11-10,9.69480000,9.81170000,8.33910000,8.77730000,751499.16000000
2021-11-11,8.79520000,9.22760000,8.60110000,8.93540000,528575.14000000
2021-11-12,8.94550000,9.10000000,8.22330000,8.63230000,523265.41000000
2021-11-13,8.61040000,9.44290000,8.40000000,8.97970000,959975.70000000
2021-11-14,8.97660000,9.08870000,8.42140000,8.67240000,567572.44000000
2021-11-15,8.69420000,8.79500000,8.50000000,8.57240000,411807.59000000
2021-11-16,8.57330000,8.60400000,7.17010000,7.30000000,852025.93000000
2021-11-17,7.30350000,7.31890000,6.85550000,7.05980000,575241.32000000
2021-11-18,7.04110000,7.07470000,5.75010000,5.85060000,767639.12000000
