Date,Open,High,Low,Close,Volume
2021-03-18,0.08500000,1.00000000,0.08500000,0.20540000,1674520233.32000000
2021-03-19,0.20540000,0.20570000,0.16650000,0.16850000,416178135.87000000
2021-03-20,0.16840000,0.17770000,0.15260000,0.15590000,316952217.90000000
2021-03-21,0.15600000,0.18000000,0.15460000,0.16920000,311298527.48000000
2021-03-22,0.16950000,0.16980000,0.13130000,0.14090000,233826219.01000000
2021-03-23,0.14070000,0.14800000,0.12600000,0.13040000,199447651.56000000
2021-03-24,0.13040000,0.14900000,0.11500000,0.12130000,218731454.43000000
2021-03-25,0.12120000,0.12690000,0.11180000,0.11500000,140023977.23000000
2021-03-26,0.11490000,0.13630000,0.11490000,0.13060000,173370755.41000000
2021-03-27,0.13070000,0.14500000,0.12510000,0.13830000,189043947.52000000
2021-03-28,0.13840000,0.15900000,0.13550000,0.14540000,291046070.56000000
2021-03-29,0.14540000,0.15300000,0.14010000,0.14340000,162934302.75000000
2021-03-30,0.14350000,0.15450000,0.14000000,0.14520000,184175407.75000000
2021-03-31,0.14520000,0.14890000,0.13050000,0.13830000,177122673.64000000
2021-04-01,0.13840000,0.14500000,0.13200000,0.13540000,122502872.79000000
2021-04-02,0.13530000,0.14930000,0.13290000,0.13970000,186936525.37000000
2021-04-03,0.13970000,0.14200000,0.12130000,0.12420000,153352369.03000000
2021-04-04,0.12390000,0.13500000,0.12210000,0.13140000,113664407.89000000
2021-04-05,0.13160000,0.13960000,0.12400000,0.13020000,156844878.33000000
2021-04-06,0.13020000,0.13710000,0.12450000,0.12830000,128527442.81000000
2021-04-07,0.12830000,0.12900000,0.09870000,0.11000000,268990449.79000000
2021-04-08,0.11000000,0.12180000,0.10910000,0.11930000,169267473.06000000
2021-04-09,0.11930000,0.13450000,0.11870000,0.13270000,248974083.05000000
2021-04-10,0.13270000,0.17400000,0.12910000,0.14330000,977913938.82000000
2021-04-11,0.14320000,0.16600000,0.13750000,0.14890000,629693632.66000000
2021-04-12,0.14880000,0.16100000,0.13750000,0.14150000,300025762.48000000
2021-04-13,0.14150000,0.14550000,0.13110000,0.13600000,186250386.62000000
2021-04-14,0.13600000,0.13740000,0.12310000,0.13070000,204330865.12000000
2021-04-15,0.13090000,0.14020000,0.13060000,0.13420000,170714543.33000000
2021-04-16,0.13420000,0.13850000,0.11560000,0.12410000,222935061.77000000
