Date,Open,High,Low,Close,Volume
2021-05-25,8.11800000,11.00000000,7.59200000,8.01300000,1981446.44000000
2021-05-26,8.04300000,8.93800000,7.65000000,8.03000000,657847.47000000
2021-05-27,8.02300000,8.50000000,7.36400000,7.76800000,400848.21000000
2021-05-28,7.73600000,8.05600000,6.75000000,7.20200000,371373.60000000
2021-05-29,7.20200000,7.65500000,6.85000000,6.97300000,174801.67000000
2021-05-30,6.94000000,7.21300000,6.75000000,6.99200000,134646.42000000
2021-05-31,6.99500000,7.12200000,6.58200000,7.00000000,256399.48000000
2021-06-01,6.96900000,7.27800000,6.49300000,6.69200000,417297.23000000
2021-06-02,6.69000000,6.73400000,6.20000000,6.26700000,846191.37000000
2021-06-03,6.26700000,7.21300000,6.22100000,6.88900000,589972.41000000
2021-06-04,6.90600000,7.00900000,6.12300000,6.50800000,631606.46000000
2021-06-05,6.52300000,6.69900000,6.15300000,6.26200000,287145.13000000
2021-06-06,6.24400000,6.40000000,6.06300000,6.17900000,278918.28000000
2021-06-07,6.17600000,6.32900000,5.36100000,5.53200000,344530.84000000
2021-06-08,5.51600000,5.53400000,4.61400000,4.91500000,545972.47000000
2021-06-09,4.91500000,5.20700000,4.62000000,5.05800000,379428.48000000
2021-06-10,5.06800000,5.35000000,4.79300000,5.01900000,297570.98000000
2021-06-11,5.03800000,5.49000000,4.75000000,4.91400000,409975.38000000
2021-06-12,4.92000000,4.97000000,4.27700000,4.43700000,308530.35000000
2021-06-13,4.44600000,4.62800000,4.23300000,4.62400000,247103.83000000
2021-06-14,4.62500000,4.98300000,4.48900000,4.81800000,245251.27000000
2021-06-15,4.83300000,5.09000000,4.58100000,4.67500000,242769.01000000
2021-06-16,4.66000000,5.37000000,4.37600000,4.85400000,1154227.54000000
2021-06-17,4.84700000,5.68000000,4.68500000,4.87100000,1514786.13000000
2021-06-18,4.87200000,5.00000000,4.19600000,4.26800000,423235.46000000
2021-06-19,4.28500000,8.60000000,4.00000000,6.24000000,11617500.68000000
2021-06-20,6.24100000,6.26000000,5.06000000,5.25800000,5541582.20000000
2021-06-21,5.26500000,5.33800000,4.00000000,4.05100000,2625684.61000000
2021-06-22,4.06600000,4.16700000,3.33000000,3.63400000,1293401.78000000
2021-06-23,3.62700000,4.16400000,3.57700000,3.81900000,1119960.21000000
2021-06-24,3.81800000,3.89700000,3.59600000,3.66400000,476982.00000000
2021-06-25,3.66400000,3.91300000,3.40000000,3.63400000,1207690.89000000
2021-06-26,3.63400000,4.14000000,3.32100000,3.58200000,2154254.74000000
2021-06-27,3.58900000,3.97000000,3.50000000,3.81600000,924895.91000000
2021-06-28,3.82000000,3.89000000,3.68200000,3.72800000,497133.11000000
2021-06-29,3.73900000,4.03600000,3.62900000,3.81800000,802643.78000000
2021-06-30,3.81900000,3.83000000,3.52900000,3.68300000,413459.56000000
2021-07-01,3.69300000,3.69500000,3.40000000,3.47300000,329406.71000000
2021-07-02,3.47300000,4.14000000,3.38400000,3.53100000,2302622.49000000
2021-07-03,3.53700000,3.68000000,3.49300000,3.58700000,472386.44000000
2021-07-04,3.58700000,3.74900000,3.49300000,3.55900000,674262.91000000
2021-07-05,3.56200000,3.60600000,3.40800000,3.48200000,313298.04000000
2021-07-06,3.48100000,3.70800000,3.47100000,3.63100000,533977.61000000
2021-07-07,3.63300000,3.93900000,3.62100000,3.64900000,824679.48000000
2021-07-08,3.64400000,3.66600000,3.39500000,3.51400000,427300.38000000
2021-07-09,3.51800000,3.65000000,3.35500000,3.57100000,279539.48000000
2021-07-10,3.57800000,3.65000000,3.48800000,3.52200000,228943.98000000
2021-07-11,3.52700000,3.70000000,3.49100000,3.59200000,175913.82000000
2021-07-12,3.59800000,3.73000000,3.48000000,3.51600000,288311.02000000
2021-07-13,3.51300000,5.49900000,3.48000000,5.43800000,6656491.82000000
2021-07-14,5.43000000,5.90000000,4.55000000,5.24200000,8829611.65000000
2021-07-15,5.24600000,5.71500000,4.52100000,4.82800000,4152697.91000000
2021-07-16,4.83500000,4.88800000,3.90100000,3.90200000,1515499.41000000
2021-07-17,3.90500000,4.18000000,3.78000000,3.92500000,968899.95000000
2021-07-18,3.92600000,4.15100000,3.76900000,3.84700000,483584.78000000
2021-07-19,3.84600000,3.87900000,3.41000000,3.46100000,519876.55000000
2021-07-20,3.46700000,3.59100000,2.99500000,3.06000000,687711.26000000
2021-07-21,3.07000000,3.49700000,3.05400000,3.27500000,1042831.39000000
2021-07-22,3.27800000,3.33300000,3.15600000,3.24000000,556007.95000000
2021-07-23,3.24000000,4.19000000,3.22000000,3.86800000,2576146.76000000
2021-07-24,3.87400000,4.16900000,3.63000000,3.64700000,1132494.80000000
