Date,Open,High,Low,Close,Volume
2021-08-19,1.96900000,5.87000000,1.96900000,4.67400000,99140974.80000000
2021-08-20,4.67500000,5.33000000,4.24000000,4.34500000,24753075.30000000
2021-08-21,4.34500000,4.37900000,3.75400000,3.85200000,9066633.80000000
2021-08-22,3.85200000,4.80000000,3.77800000,4.35000000,14013196.70000000
2021-08-23,4.36200000,4.75800000,4.25700000,4.46900000,9694516.40000000
2021-08-24,4.46900000,4.52800000,3.95000000,4.04200000,5003897.10000000
2021-08-25,4.04100000,7.80800000,4.03200000,7.37100000,57115190.10000000
2021-08-26,7.36700000,10.55800000,7.16700000,9.58200000,58348281.90000000
2021-08-27,9.57500000,10.90000000,8.78600000,9.78000000,38897781.60000000
2021-08-28,9.78000000,9.88300000,8.50800000,8.63800000,11404435.10000000
2021-08-29,8.63900000,9.39000000,8.40200000,8.95700000,8725071.50000000
2021-08-30,8.96500000,10.33000000,8.65000000,8.77100000,12699180.70000000
2021-08-31,8.76200000,9.31000000,7.33600000,7.54000000,8892807.00000000
2021-09-01,7.53900000,8.09300000,7.05000000,7.55000000,7522061.90000000
2021-09-02,7.55400000,8.61000000,7.46500000,7.51200000,9472082.70000000
2021-09-03,7.51000000,7.55900000,7.06100000,7.09800000,4861212.40000000
2021-09-04,7.09500000,7.46000000,6.67300000,6.91100000,7892158.40000000
2021-09-05,6.90600000,7.29700000,6.72000000,6.80700000,4674439.30000000
2021-09-06,6.80400000,7.14500000,6.36400000,6.41000000,4988842.20000000
2021-09-07,6.41500000,6.67000000,4.20000000,4.98100000,10274764.50000000
2021-09-08,4.98800000,5.56800000,4.46100000,5.49400000,7076609.10000000
2021-09-09,5.47900000,6.63200000,5.03600000,5.93100000,10499014.90000000
2021-09-10,5.93000000,6.62000000,5.25300000,5.38900000,6461332.30000000
2021-09-11,5.37900000,5.60000000,5.23300000,5.30000000,2699813.00000000
2021-09-12,5.30000000,5.49700000,4.95300000,5.29400000,2697732.70000000
2021-09-13,5.29400000,5.31800000,4.50000000,4.82700000,3412574.50000000
2021-09-14,4.82700000,5.15300000,4.73200000,5.05100000,3170490.80000000
2021-09-15,5.05600000,5.80000000,5.01800000,5.35400000,5574115.40000000
2021-09-16,5.35400000,7.45300000,5.13800000,6.40000000,19020768.70000000
2021-09-17,6.40000000,7.33000000,5.69000000,5.74000000,12319008.70000000
2021-09-18,5.74000000,6.87000000,5.70100000,6.11000000,9106836.50000000
2021-09-19,6.12100000,6.34500000,5.38600000,5.41300000,5389341.50000000
2021-09-20,5.41000000,5.57300000,4.51000000,4.64000000,5754611.90000000
2021-09-21,4.64000000,5.12000000,4.31200000,4.38500000,4987509.00000000
2021-09-22,4.39300000,5.20000000,4.35400000,5.10800000,3689054.50000000
2021-09-23,5.11500000,5.50000000,4.74500000,5.02400000,4298194.00000000
2021-09-24,5.03200000,5.07900000,4.07000000,4.36300000,4938698.70000000
2021-09-25,4.36300000,4.44700000,4.06700000,4.12700000,2296166.70000000
2021-09-26,4.12700000,4.15600000,3.47100000,3.92000000,5623237.80000000
2021-09-27,3.91900000,4.57300000,3.83600000,3.92700000,5322034.20000000
