Date,Open,High,Low,Close,Volume
2021-12-02,10.36000000,12.70000000,8.11000000,9.33000000,5698845.64000000
2021-12-03,9.36000000,10.22000000,8.18000000,8.58000000,3962431.73000000
2021-12-04,8.59000000,8.64000000,5.90000000,7.39000000,2922870.37000000
2021-12-05,7.40000000,7.65000000,6.07000000,6.23000000,2129408.43000000
2021-12-06,6.23000000,6.24000000,4.95000000,6.08000000,3280166.41000000
2021-12-07,6.09000000,6.22000000,5.33000000,5.49000000,2273869.57000000
2021-12-08,5.49000000,5.77000000,5.01000000,5.59000000,2274358.41000000
2021-12-09,5.59000000,5.71000000,4.97000000,5.24000000,1447287.83000000
2021-12-10,5.24000000,5.31000000,4.47000000,4.50000000,1689747.93000000
2021-12-11,4.51000000,5.09000000,4.32000000,4.88000000,1449843.72000000
2021-12-12,4.90000000,5.58000000,4.66000000,5.12000000,3797412.22000000
2021-12-13,5.12000000,5.15000000,4.09000000,4.21000000,1674876.37000000
2021-12-14,4.23000000,4.61000000,4.06000000,4.49000000,1464409.61000000
2021-12-15,4.49000000,5.45000000,4.15000000,5.10000000,4309721.27000000
2021-12-16,5.10000000,5.50000000,4.98000000,5.03000000,1814695.79000000
2021-12-17,5.04000000,5.15000000,4.42000000,4.78000000,1136528.67000000
2021-12-18,4.78000000,5.45000000,4.58000000,5.26000000,1576217.00000000
2021-12-19,5.25000000,6.40000000,5.17000000,5.86000000,4685611.46000000
2021-12-20,5.85000000,5.99000000,5.08000000,5.79000000,2833587.48000000
2021-12-21,5.79000000,7.52000000,5.71000000,6.78000000,5353031.07000000
2021-12-22,6.77000000,6.92000000,6.33000000,6.57000000,1827619.18000000
2021-12-23,6.58000000,7.21000000,6.32000000,6.94000000,1807187.07000000
2021-12-24,6.95000000,7.24000000,6.78000000,6.91000000,1232745.57000000
2021-12-25,6.91000000,6.92000000,6.53000000,6.66000000,820789.95000000
2021-12-26,6.66000000,6.77000000,6.17000000,6.31000000,1014758.66000000
2021-12-27,6.30000000,6.32000000,5.84000000,5.85000000,1425126.66000000
2021-12-28,5.85000000,5.86000000,5.15000000,5.20000000,1443267.85000000
2021-12-29,5.21000000,5.44000000,4.68000000,4.81000000,1278007.08000000
2021-12-30,4.81000000,5.21000000,4.70000000,5.09000000,791335.02000000
2021-12-31,5.08000000,5.20000000,4.76000000,4.83000000,797428.37000000
2022-01-01,4.83000000,5.04000000,4.82000000,4.96000000,489231.38000000
2022-01-02,4.96000000,5.28000000,4.90000000,5.25000000,1082788.10000000
2022-01-03,5.25000000,5.58000000,4.99000000,5.45000000,2091625.79000000
2022-01-04,5.45000000,5.48000000,5.04000000,5.04000000,1585309.30000000
2022-01-05,5.06000000,5.15000000,4.30000000,4.47000000,2072962.26000000
2022-01-06,4.46000000,4.62000000,4.16000000,4.58000000,1161303.04000000
2022-01-07,4.56000000,4.56000000,3.84000000,3.96000000,1547403.37000000
2022-01-08,3.96000000,4.12000000,3.60000000,3.81000000,1091055.33000000
2022-01-09,3.81000000,3.99000000,3.70000000,3.83000000,616321.04000000
2022-01-10,3.83000000,3.90000000,3.41000000,3.55000000,955452.59000000
2022-01-11,3.56000000,3.91000000,3.51000000,3.76000000,939746.52000000
2022-01-12,3.76000000,4.43000000,3.66000000,4.29000000,1690583.77000000
2022-01-13,4.29000000,4.43000000,4.00000000,4.08000000,1496402.37000000
2022-01-14,4.09000000,4.19000000,3.87000000,3.95000000,1225170.86000000
2022-01-15,3.95000000,4.08000000,3.90000000,3.99000000,473868.03000000
2022-01-16,3.99000000,4.06000000,3.84000000,3.90000000,576676.18000000
2022-01-17,3.89000000,3.91000000,3.50000000,3.58000000,708000.77000000
2022-01-18,3.57000000,3.61000000,3.33000000,3.49000000,545760.01000000
2022-01-19,3.49000000,3.49000000,3.20000000,3.20000000,669596.88000000
2022-01-20,3.21000000,3.43000000,3.06000000,3.08000000,1254564.33000000
2022-01-21,3.08000000,3.16000000,2.32000000,2.41000000,1947322.71000000
2022-01-22,2.41000000,2.47000000,2.00000000,2.16000000,1640503.49000000
2022-01-23,2.16000000,2.33000000,2.08000000,2.26000000,1010375.79000000
2022-01-24,2.25000000,2.27000000,1.85000000,2.15000000,1739691.01000000
2022-01-25,2.14000000,2.31000000,2.06000000,2.22000000,765047.82000000
2022-01-26,2.21000000,2.52000000,2.02000000,2.14000000,1676575.62000000
2022-01-27,2.14000000,2.24000000,1.99000000,2.12000000,1116334.62000000
2022-01-28,2.12000000,2.50000000,2.03000000,2.50000000,1891489.17000000
2022-01-29,2.50000000,2.57000000,2.34000000,2.51000000,1205333.25000000
2022-01-30,2.50000000,2.58000000,2.40000000,2.41000000,913434.08000000
2022-01-31,2.41000000,2.58000000,2.29000000,2.52000000,931944.32000000
2022-02-01,2.52000000,2.56000000,2.33000000,2.42000000,1831476.33000000
2022-02-02,2.42000000,2.42000000,2.11000000,2.15000000,1437330.04000000
2022-02-03,2.14000000,2.23000000,2.06000000,2.23000000,986925.01000000
2022-02-04,2.23000000,2.50000000,2.20000000,2.42000000,1250304.25000000
2022-02-05,2.42000000,2.56000000,2.40000000,2.46000000,831890.00000000
2022-02-06,2.46000000,2.95000000,2.41000000,2.86000000,2799581.23000000
2022-02-07,2.87000000,3.19000000,2.77000000,2.98000000,2130123.98000000
2022-02-08,2.99000000,3.07000000,2.78000000,2.93000000,1578426.88000000
2022-02-09,2.93000000,3.27000000,2.84000000,3.18000000,1440487.62000000
2022-02-10,3.18000000,3.33000000,2.89000000,2.93000000,2653731.97000000
2022-02-11,2.92000000,3.03000000,2.61000000,2.68000000,1566015.11000000
2022-02-12,2.67000000,2.73000000,2.56000000,2.65000000,803798.32000000
2022-02-13,2.64000000,2.69000000,2.54000000,2.64000000,474619.31000000
2022-02-14,2.63000000,2.78000000,2.54000000,2.71000000,669556.10000000
