Date,Open,High,Low,Close,Volume
2020-10-14,1.30000000,1.88000000,1.05000000,1.16850000,33930218.86000000
2020-10-15,1.16850000,1.25220000,1.07920000,1.12090000,11332956.19000000
2020-10-16,1.12220000,1.15240000,0.81200000,0.81710000,18486274.59000000
2020-10-17,0.81710000,0.86490000,0.72000000,0.80730000,11674014.53000000
2020-10-18,0.80740000,0.87530000,0.80070000,0.86920000,5960006.25000000
2020-10-19,0.87030000,0.87100000,0.76500000,0.79930000,5584352.53000000
2020-10-20,0.79930000,0.81000000,0.67000000,0.67570000,7513041.18000000
2020-10-21,0.67740000,0.74750000,0.67310000,0.70440000,7268329.25000000
2020-10-22,0.70450000,0.78810000,0.70420000,0.74840000,5704822.90000000
2020-10-23,0.74790000,0.75350000,0.68620000,0.72710000,3774042.75000000
2020-10-24,0.72630000,0.75850000,0.70520000,0.73910000,3236181.66000000
2020-10-25,0.73890000,0.85810000,0.72900000,0.84440000,11721841.25000000
2020-10-26,0.84560000,0.85670000,0.73960000,0.77840000,7675162.26000000
2020-10-27,0.78030000,0.80680000,0.74470000,0.75980000,4825820.98000000
2020-10-28,0.76090000,0.77850000,0.68100000,0.70000000,5748696.55000000
2020-10-29,0.70060000,0.72460000,0.67020000,0.68950000,5560173.67000000
2020-10-30,0.69000000,0.70420000,0.61270000,0.63060000,7402852.45000000
2020-10-31,0.63040000,0.65640000,0.61840000,0.63850000,4194888.74000000
2020-11-01,0.63860000,0.65680000,0.60000000,0.63500000,8584893.91000000
2020-11-02,0.63610000,0.65170000,0.59760000,0.60640000,16305764.58000000
2020-11-03,0.60590000,0.61230000,0.55730000,0.56210000,5823630.76000000
2020-11-04,0.56290000,0.56440000,0.52460000,0.53380000,6931955.77000000
2020-11-05,0.53420000,0.71790000,0.53360000,0.69120000,14869185.28000000
2020-11-06,0.69140000,0.76500000,0.68810000,0.71930000,12581256.17000000
2020-11-07,0.71980000,0.79320000,0.66970000,0.69610000,14821653.13000000
2020-11-08,0.69570000,0.82970000,0.68200000,0.81690000,7575217.10000000
2020-11-09,0.81650000,0.92890000,0.79720000,0.92890000,10185871.67000000
2020-11-10,0.92950000,0.97440000,0.88200000,0.94560000,13205405.01000000
2020-11-11,0.94560000,0.99230000,0.85710000,0.86040000,11130743.46000000
2020-11-12,0.85990000,0.87960000,0.76030000,0.78930000,10143967.50000000
2020-11-13,0.78960000,0.91800000,0.77900000,0.89810000,13561690.91000000
2020-11-14,0.89920000,0.90390000,0.82130000,0.86810000,12151278.59000000
2020-11-15,0.86850000,0.88670000,0.79780000,0.82960000,13102922.31000000
2020-11-16,0.82930000,0.89940000,0.81670000,0.86600000,11032347.85000000
2020-11-17,0.86570000,0.98450000,0.86430000,0.93130000,14355276.12000000
2020-11-18,0.93190000,0.94550000,0.80060000,0.83240000,12874991.28000000
2020-11-19,0.83320000,0.87690000,0.80880000,0.84540000,7734588.68000000
2020-11-20,0.84620000,0.95000000,0.83610000,0.94710000,9790299.47000000
2020-11-21,0.94850000,1.21730000,0.94330000,1.18530000,28382281.81000000
2020-11-22,1.18650000,1.18900000,0.99700000,1.07710000,14640406.97000000
2020-11-23,1.07790000,1.22180000,1.05730000,1.17060000,9126478.63000000
2020-11-24,1.17030000,1.29140000,1.14100000,1.24340000,11175741.71000000
2020-11-25,1.24280000,1.30000000,1.07660000,1.10510000,12384099.77000000
2020-11-26,1.10420000,1.13030000,0.89720000,1.01010000,21683145.88000000
2020-11-27,1.01030000,1.05100000,0.94040000,0.99590000,7154563.85000000
