Date,Open,High,Low,Close,Volume
2019-02-16,1.20000000,4.00000000,0.86100000,0.86910000,11683898.26000000
2019-02-17,0.86470000,0.92000000,0.75300000,0.77660000,10794099.05000000
2019-02-18,0.77660000,0.77660000,0.65980000,0.71000000,7156154.38000000
2019-02-19,0.70980000,0.88890000,0.67000000,0.77590000,13980845.14000000
2019-02-20,0.77860000,0.81000000,0.73820000,0.78260000,5000897.59000000
2019-02-21,0.78260000,0.78260000,0.70730000,0.72780000,2875327.47000000
2019-02-22,0.72780000,0.75750000,0.71510000,0.73580000,1870907.42000000
2019-02-23,0.73580000,0.79990000,0.72810000,0.75420000,3629652.83000000
2019-02-24,0.75420000,0.79400000,0.61260000,0.63980000,5131174.11000000
2019-02-25,0.64460000,0.68990000,0.63350000,0.64500000,2222770.41000000
2019-02-26,0.64500000,0.67000000,0.61500000,0.63050000,912785.96000000
2019-02-27,0.63060000,0.64030000,0.57740000,0.59480000,1300415.06000000
2019-02-28,0.59470000,0.59860000,0.55250000,0.57680000,1901742.12000000
2019-03-01,0.57690000,0.59290000,0.55110000,0.57460000,1460520.55000000
2019-03-02,0.57500000,0.61900000,0.55460000,0.57080000,1892712.96000000
2019-03-03,0.57060000,0.58440000,0.53800000,0.55220000,860647.54000000
2019-03-04,0.55070000,0.55620000,0.48000000,0.50710000,1047321.87000000
2019-03-05,0.50710000,0.54440000,0.49930000,0.53670000,777854.42000000
2019-03-06,0.53660000,0.54300000,0.50700000,0.52120000,693603.63000000
2019-03-07,0.52160000,0.54940000,0.51500000,0.53400000,773791.42000000
2019-03-08,0.53380000,0.60760000,0.51810000,0.52400000,2724291.46000000
2019-03-09,0.52950000,0.56000000,0.51610000,0.54000000,991144.04000000
2019-03-10,0.53870000,0.54000000,0.49000000,0.51510000,1095067.84000000
2019-03-11,0.51500000,0.55170000,0.47010000,0.48990000,1594759.75000000
2019-03-12,0.48990000,0.56160000,0.47880000,0.51100000,1811584.37000000
2019-03-13,0.51100000,0.88000000,0.51050000,0.73900000,21698353.51000000
2019-03-14,0.74110000,0.76580000,0.60000000,0.62340000,12290758.11000000
2019-03-15,0.62300000,0.64170000,0.58980000,0.64000000,6334297.44000000
2019-03-16,0.64000000,0.64200000,0.61350000,0.62950000,4039435.77000000
2019-03-17,0.62950000,0.65500000,0.61510000,0.64480000,10264349.23000000
2019-03-18,0.64480000,0.64480000,0.61000000,0.62450000,10278355.63000000
2019-03-19,0.62450000,0.62450000,0.59690000,0.61140000,10846968.48000000
2019-03-20,0.61080000,0.66170000,0.60000000,0.65800000,25717847.18000000
2019-03-21,0.65750000,0.68420000,0.58000000,0.62550000,4865155.26000000
2019-03-22,0.62630000,0.64990000,0.62320000,0.64520000,1610625.05000000
2019-03-23,0.64450000,0.64450000,0.62360000,0.63470000,591664.75000000
2019-03-24,0.63480000,0.63800000,0.61110000,0.62610000,658208.71000000
2019-03-25,0.62600000,0.62640000,0.58000000,0.59600000,738350.15000000
2019-03-26,0.59650000,0.59950000,0.55250000,0.58630000,731879.74000000
2019-03-27,0.58530000,0.61960000,0.57720000,0.60880000,687179.95000000
2019-03-28,0.60790000,0.62800000,0.59110000,0.60640000,738495.80000000
2019-03-29,0.60540000,0.60650000,0.59220000,0.60010000,391664.32000000
2019-03-30,0.60050000,0.60760000,0.57880000,0.59250000,559477.49000000
2019-03-31,0.59210000,0.60230000,0.58280000,0.59980000,583199.50000000
