Date,Open,High,Low,Close,Volume
2020-09-21,0.30150000,0.77100000,0.30150000,0.36210000,92157123.61000000
2020-09-22,0.36210000,0.37560000,0.27920000,0.29600000,22729502.79000000
2020-09-23,0.29680000,0.30950000,0.25810000,0.26240000,6450314.01000000
2020-09-24,0.26210000,0.30990000,0.25960000,0.30130000,4879778.12000000
2020-09-25,0.30240000,0.33080000,0.28460000,0.29920000,6544071.44000000
2020-09-26,0.29920000,0.30760000,0.29220000,0.30680000,1670100.20000000
2020-09-27,0.30650000,0.30790000,0.28850000,0.29460000,1850226.16000000
2020-09-28,0.29460000,0.34030000,0.29330000,0.31410000,5723051.11000000
2020-09-29,0.31460000,0.32100000,0.28070000,0.29940000,2961965.39000000
2020-09-30,0.29950000,0.30870000,0.28000000,0.29070000,2503323.19000000
2020-10-01,0.29060000,0.30280000,0.27770000,0.28270000,3043855.86000000
2020-10-02,0.28230000,0.28250000,0.25920000,0.27150000,3271094.50000000
2020-10-03,0.27140000,0.27880000,0.26610000,0.27000000,1205674.76000000
2020-10-04,0.27020000,0.27190000,0.25880000,0.26260000,1660566.86000000
2020-10-05,0.26290000,0.28560000,0.26120000,0.26660000,2753989.21000000
2020-10-06,0.26920000,0.27700000,0.24100000,0.24560000,2518726.67000000
2020-10-07,0.24570000,0.25570000,0.23580000,0.25080000,1840826.54000000
2020-10-08,0.25070000,0.26000000,0.24090000,0.25070000,2057690.87000000
2020-10-09,0.25140000,0.28000000,0.24830000,0.27300000,4626946.47000000
2020-10-10,0.27250000,0.28750000,0.26580000,0.26830000,3180322.38000000
2020-10-11,0.26760000,0.27300000,0.25920000,0.26670000,994811.86000000
2020-10-12,0.26710000,0.27980000,0.26350000,0.27040000,1346503.68000000
2020-10-13,0.26890000,0.27450000,0.25960000,0.26320000,1131082.57000000
2020-10-14,0.26360000,0.26940000,0.25040000,0.25640000,1307760.29000000
2020-10-15,0.25560000,0.25700000,0.24020000,0.24720000,3785807.43000000
2020-10-16,0.24720000,0.25980000,0.23920000,0.24890000,926900.97000000
2020-10-17,0.24870000,0.25410000,0.24080000,0.24680000,593821.63000000
2020-10-18,0.24690000,0.25090000,0.24350000,0.24770000,178429.84000000
2020-10-19,0.24850000,0.25000000,0.24080000,0.24230000,658698.64000000
2020-10-20,0.24140000,0.24450000,0.22300000,0.22600000,1265767.63000000
2020-10-21,0.22700000,0.25810000,0.22700000,0.23450000,1519245.48000000
2020-10-22,0.23450000,0.25520000,0.23330000,0.24090000,2063226.80000000
2020-10-23,0.24090000,0.25200000,0.24070000,0.24300000,1221523.15000000
2020-10-24,0.24250000,0.25010000,0.24100000,0.24420000,1164682.77000000
