Date,Open,High,Low,Close,Volume
2021-06-25,0.61990000,0.74000000,0.61990000,0.64600000,3720369.00000000
2021-06-26,0.64410000,0.66610000,0.61400000,0.64780000,1699474.00000000
2021-06-27,0.64700000,0.66330000,0.63500000,0.66330000,5064115.00000000
2021-06-28,0.66390000,0.69290000,0.64710000,0.68230000,3191609.00000000
2021-06-29,0.68350000,0.77760000,0.68050000,0.75470000,2677467.00000000
2021-06-30,0.75700000,0.90220000,0.75110000,0.89420000,9954113.00000000
2021-07-01,0.89350000,0.89900000,0.80600000,0.87550000,6884109.00000000
2021-07-02,0.87430000,0.88680000,0.79250000,0.86670000,5915084.00000000
2021-07-03,0.86530000,0.88640000,0.84820000,0.86910000,5527351.00000000
2021-07-04,0.86750000,0.87980000,0.84000000,0.84630000,4869737.00000000
2021-07-05,0.84440000,0.84640000,0.80000000,0.81610000,5367437.00000000
2021-07-06,0.81630000,0.84000000,0.78830000,0.80730000,2783866.00000000
2021-07-07,0.80790000,0.81620000,0.78130000,0.78450000,3607000.00000000
2021-07-08,0.78610000,0.85470000,0.72810000,0.76410000,4674703.00000000
2021-07-09,0.76410000,0.80110000,0.73550000,0.79040000,1732555.00000000
2021-07-10,0.79020000,0.80360000,0.75010000,0.76630000,2190753.00000000
2021-07-11,0.76480000,0.80000000,0.75130000,0.78090000,2822960.00000000
2021-07-12,0.78140000,0.85000000,0.77600000,0.82630000,3149088.00000000
2021-07-13,0.82650000,0.97500000,0.80230000,0.92330000,15107459.00000000
2021-07-14,0.92480000,0.92950000,0.83000000,0.85250000,9225569.00000000
2021-07-15,0.85250000,0.85380000,0.75690000,0.76770000,4713934.00000000
2021-07-16,0.77150000,0.79280000,0.74240000,0.74820000,4453218.00000000
2021-07-17,0.74820000,0.75790000,0.73040000,0.74500000,1851994.00000000
2021-07-18,0.74490000,0.77620000,0.74210000,0.75000000,2720162.00000000
2021-07-19,0.74810000,0.75560000,0.70000000,0.70120000,1973058.00000000
2021-07-20,0.70130000,0.70640000,0.61890000,0.62520000,3533599.00000000
2021-07-21,0.62380000,0.71890000,0.61390000,0.68300000,3262319.00000000
2021-07-22,0.68230000,0.69990000,0.64000000,0.64190000,2834690.00000000
2021-07-23,0.64140000,0.67750000,0.63420000,0.67000000,4319599.00000000
2021-07-24,0.67040000,0.69000000,0.65690000,0.67400000,2738430.00000000
2021-07-25,0.67360000,0.67990000,0.65000000,0.66950000,1955167.00000000
2021-07-26,0.66950000,0.73000000,0.66570000,0.68460000,3719178.00000000
2021-07-27,0.68400000,0.78700000,0.67940000,0.75710000,7415512.00000000
2021-07-28,0.75310000,0.75800000,0.70000000,0.74290000,1805742.00000000
2021-07-29,0.73950000,0.76000000,0.71900000,0.74570000,1913726.00000000
2021-07-30,0.74580000,0.76000000,0.71830000,0.75570000,1828805.00000000
2021-07-31,0.75480000,0.78000000,0.74080000,0.76020000,2531187.00000000
2021-08-01,0.76440000,0.82600000,0.75380000,0.76970000,3041920.00000000
2021-08-02,0.77010000,0.82000000,0.75710000,0.78860000,3044003.00000000
2021-08-03,0.78830000,0.80840000,0.75000000,0.77930000,2147551.00000000
2021-08-04,0.77830000,0.78340000,0.75840000,0.76210000,1810468.00000000
2021-08-05,0.76400000,0.77780000,0.73960000,0.76030000,2642096.00000000
2021-08-06,0.76250000,0.79020000,0.75460000,0.77800000,2637899.00000000
2021-08-07,0.77720000,0.82590000,0.77000000,0.79220000,3712290.00000000
2021-08-08,0.79300000,0.80190000,0.76960000,0.77490000,2193893.00000000
2021-08-09,0.77500000,0.84310000,0.76690000,0.82440000,4148839.00000000
2021-08-10,0.82250000,0.86750000,0.81200000,0.83280000,3460606.00000000
2021-08-11,0.83180000,0.86740000,0.83150000,0.85670000,4005444.00000000
2021-08-12,0.85580000,0.86500000,0.81560000,0.83560000,3016936.00000000
2021-08-13,0.83510000,0.88020000,0.83460000,0.87760000,3426028.00000000
2021-08-14,0.87750000,0.92860000,0.85320000,0.89160000,4585324.00000000
2021-08-15,0.88900000,0.90110000,0.84630000,0.87710000,2622723.00000000
2021-08-16,0.87840000,0.88450000,0.82800000,0.83450000,4200606.00000000
2021-08-17,0.83180000,0.84980000,0.77930000,0.78250000,3693025.00000000
2021-08-18,0.78280000,0.79770000,0.75770000,0.77310000,2981982.00000000
2021-08-19,0.77100000,0.84440000,0.75110000,0.79260000,2972419.00000000
2021-08-20,0.79410000,0.81410000,0.79220000,0.80050000,2800527.00000000
2021-08-21,0.80060000,0.85000000,0.77780000,0.85000000,4268074.00000000
2021-08-22,0.84850000,0.88200000,0.80260000,0.83070000,4391812.00000000
2021-08-23,0.83070000,0.87200000,0.82190000,0.84340000,5477234.00000000
2021-08-24,0.84400000,0.85800000,0.81360000,0.82620000,3963384.00000000
2021-08-25,0.82680000,0.83940000,0.80390000,0.83930000,2751909.00000000
2021-08-26,0.83920000,0.87650000,0.80810000,0.81480000,5188860.00000000
2021-08-27,0.81520000,0.82560000,0.79880000,0.82000000,2807328.00000000
2021-08-28,0.81960000,0.82930000,0.79690000,0.80000000,2492424.00000000
2021-08-29,0.79990000,0.80850000,0.78300000,0.79040000,2138653.00000000
2021-08-30,0.79040000,0.84500000,0.76880000,0.80050000,8124863.00000000
2021-08-31,0.80040000,0.87600000,0.79220000,0.83880000,9723608.00000000
2021-09-01,0.83900000,0.87990000,0.81870000,0.83200000,7253927.00000000
2021-09-02,0.83260000,0.84540000,0.81720000,0.81860000,4435142.00000000
2021-09-03,0.81900000,0.84000000,0.80470000,0.82930000,5086186.00000000
2021-09-04,0.82980000,0.83620000,0.80610000,0.82110000,3660216.00000000
2021-09-05,0.82030000,0.82680000,0.80710000,0.82280000,3807592.00000000
2021-09-06,0.82240000,0.85200000,0.81790000,0.84450000,6653327.00000000
2021-09-07,0.84430000,1.06860000,0.81000000,0.91640000,53757263.00000000
2021-09-08,0.91590000,1.03000000,0.83600000,0.86880000,25780958.00000000
2021-09-09,0.86870000,0.94500000,0.84300000,0.87950000,13959771.00000000
2021-09-10,0.87910000,0.91340000,0.85000000,0.85980000,9037938.00000000
2021-09-11,0.85970000,0.86900000,0.82300000,0.84130000,5169476.00000000
2021-09-12,0.84130000,0.89020000,0.82830000,0.86350000,6714433.00000000
2021-09-13,0.86410000,0.90000000,0.80150000,0.83130000,7039426.00000000
2021-09-14,0.83120000,0.89000000,0.82620000,0.86600000,6680415.00000000
