Date,Open,High,Low,Close,Volume
2021-05-19,3.21800000,3.99000000,1.34300000,2.17200000,9381448.32000000
2021-05-20,2.17300000,2.93000000,1.90000000,2.48100000,3060369.11000000
2021-05-21,2.48000000,2.70000000,1.85100000,2.17600000,2365456.24000000
2021-05-22,2.17600000,2.20600000,1.85000000,1.88800000,1230667.92000000
2021-05-23,1.89800000,1.96700000,1.30000000,1.58200000,2139259.05000000
2021-05-24,1.57100000,2.10000000,1.57000000,2.04000000,2438980.91000000
2021-05-25,2.04700000,2.20000000,1.69100000,1.92700000,1507545.86000000
2021-05-26,1.92300000,2.17200000,1.88000000,2.06200000,1108396.37000000
2021-05-27,2.06200000,2.64700000,1.83200000,2.05800000,4982439.53000000
2021-05-28,2.05600000,2.10500000,1.67200000,1.73700000,1777953.95000000
2021-05-29,1.73800000,1.87700000,1.56000000,1.63200000,1068478.49000000
2021-05-30,1.63300000,1.77100000,1.52900000,1.69800000,1153065.14000000
2021-05-31,1.69800000,1.85000000,1.57600000,1.84300000,1214825.24000000
2021-06-01,1.83900000,1.95900000,1.74700000,1.88800000,1410103.11000000
2021-06-02,1.88800000,1.98000000,1.77300000,1.87400000,1264145.40000000
2021-06-03,1.87500000,2.06000000,1.80000000,2.03100000,1284313.06000000
2021-06-04,2.03200000,2.04000000,1.70300000,1.78500000,1234789.55000000
2021-06-05,1.78600000,1.88000000,1.66200000,1.71900000,750368.44000000
2021-06-06,1.72200000,1.76700000,1.70000000,1.74200000,415021.46000000
2021-06-07,1.74200000,1.85000000,1.60000000,1.60600000,984614.20000000
2021-06-08,1.61200000,1.65200000,1.40000000,1.53300000,1026711.79000000
2021-06-09,1.54700000,1.61400000,1.48000000,1.59500000,998953.99000000
2021-06-10,1.59300000,1.62800000,1.45000000,1.48500000,690225.82000000
2021-06-11,1.47600000,1.50300000,1.36800000,1.38500000,816546.47000000
2021-06-12,1.38400000,1.38600000,1.25000000,1.27100000,670840.24000000
2021-06-13,1.26800000,1.43600000,1.25400000,1.38900000,1040594.55000000
2021-06-14,1.38500000,1.45500000,1.36300000,1.44600000,1097691.13000000
2021-06-15,1.44500000,1.48900000,1.37100000,1.39000000,752063.25000000
2021-06-16,1.38800000,1.41600000,1.29900000,1.30300000,673839.19000000
2021-06-17,1.30100000,1.38200000,1.30000000,1.33400000,709724.81000000
2021-06-18,1.33300000,1.34500000,1.17900000,1.22500000,632628.41000000
2021-06-19,1.22500000,1.70300000,1.20000000,1.37400000,10122899.70000000
2021-06-20,1.37300000,1.64500000,1.32600000,1.57100000,14361034.79000000
2021-06-21,1.57100000,1.61300000,1.11900000,1.12500000,4013831.87000000
2021-06-22,1.12500000,1.20100000,0.88200000,0.98600000,2641218.27000000
2021-06-23,0.98400000,1.25000000,0.95400000,1.02600000,2709072.79000000
2021-06-24,1.02600000,1.13900000,0.98500000,1.05600000,1293601.64000000
2021-06-25,1.05600000,1.08600000,0.92500000,0.93600000,1010678.98000000
2021-06-26,0.93300000,0.97200000,0.88000000,0.93300000,689150.71000000
2021-06-27,0.93400000,1.04200000,0.90800000,1.00300000,1291022.02000000
