Date,Open,High,Low,Close,Volume
2021-10-07,9.70100000,30.50000000,9.70100000,17.98200000,15681729.30000000
2021-10-08,17.96500000,21.17500000,15.11000000,15.72200000,4745139.70000000
2021-10-09,15.70900000,16.94600000,13.89900000,14.65700000,1591970.00000000
2021-10-10,14.66800000,21.31900000,13.75200000,17.17500000,5777846.00000000
2021-10-11,17.18100000,17.79900000,14.58000000,15.45500000,2314732.50000000
2021-10-12,15.45100000,15.79400000,13.90000000,14.25200000,839407.90000000
2021-10-13,14.25200000,14.83100000,13.50900000,13.69000000,585253.00000000
2021-10-14,13.70200000,14.69500000,13.54300000,13.89500000,725393.20000000
2021-10-15,13.86500000,13.93000000,12.45300000,12.86100000,645861.50000000
2021-10-16,12.85700000,13.31500000,12.53700000,12.89900000,413369.60000000
2021-10-17,12.91100000,18.00000000,12.59600000,13.11700000,3447701.90000000
2021-10-18,13.09300000,13.80600000,12.60100000,12.96700000,736555.50000000
2021-10-19,12.96700000,14.34500000,12.72800000,12.96100000,651046.30000000
2021-10-20,12.93700000,13.76000000,12.88900000,13.30900000,468008.40000000
2021-10-21,13.33000000,13.39400000,12.57700000,12.63300000,380321.60000000
2021-10-22,12.65200000,13.19800000,12.10000000,12.45500000,248356.90000000
2021-10-23,12.44600000,12.47500000,11.92300000,12.15000000,208955.00000000
2021-10-24,12.15000000,12.21400000,11.31000000,11.40000000,193972.30000000
2021-10-25,11.40000000,12.61400000,11.33500000,11.70900000,727802.20000000
2021-10-26,11.70900000,11.94300000,11.30400000,11.30400000,285632.20000000
2021-10-27,11.32600000,11.56600000,9.85000000,9.87700000,339785.60000000
2021-10-28,9.87700000,10.89100000,9.84000000,10.48000000,545181.50000000
2021-10-29,10.49400000,10.81300000,10.19800000,10.62700000,284645.20000000
2021-10-30,10.62700000,11.40000000,10.25200000,10.35400000,389198.90000000
2021-10-31,10.35500000,10.63400000,10.16900000,10.44000000,163321.40000000
2021-11-01,10.43900000,11.99900000,10.07000000,11.87900000,705110.50000000
2021-11-02,11.88500000,12.55600000,10.91500000,11.44300000,510069.80000000
2021-11-03,11.44300000,12.41700000,10.93500000,11.78100000,890933.70000000
2021-11-04,11.78100000,12.48900000,10.95100000,11.08500000,383216.30000000
2021-11-05,11.08500000,11.22600000,10.64300000,10.71000000,125501.00000000
2021-11-06,10.71000000,11.44200000,10.59100000,11.08600000,290642.70000000
2021-11-07,11.09700000,11.59800000,10.99800000,11.26900000,152987.50000000
2021-11-08,11.28700000,11.41300000,11.11200000,11.20000000,97704.20000000
2021-11-09,11.20100000,17.04700000,11.16700000,13.95800000,5025500.50000000
2021-11-10,13.98000000,16.34900000,11.94300000,12.39600000,3019197.20000000
2021-11-11,12.35000000,16.78000000,11.99400000,13.91500000,2811914.50000000
2021-11-12,13.91600000,14.59900000,12.50000000,12.82500000,1216694.10000000
2021-11-13,12.82700000,14.18800000,12.66600000,13.19400000,508654.80000000
2021-11-14,13.19700000,13.49900000,12.53500000,12.82200000,378224.50000000
2021-11-15,12.82200000,16.61100000,12.55000000,14.21400000,2009356.80000000
2021-11-16,14.20900000,15.38700000,13.16000000,13.37500000,1310927.40000000
2021-11-17,13.38400000,16.30000000,13.16500000,14.83900000,1112110.10000000
2021-11-18,14.81200000,14.86000000,12.60300000,12.60900000,590526.00000000
2021-11-19,12.69800000,13.69500000,12.60000000,13.03200000,327603.50000000
2021-11-20,13.04300000,13.26700000,12.59600000,13.02300000,320065.30000000
2021-11-21,13.02300000,14.36000000,12.66000000,13.20700000,776716.70000000
2021-11-22,13.20700000,13.41700000,12.39500000,12.39600000,348217.20000000
2021-11-23,12.40100000,12.94000000,12.14100000,12.29500000,463320.20000000
2021-11-24,12.29500000,12.33400000,11.51000000,11.61300000,299662.60000000
2021-11-25,11.57300000,12.15900000,11.55600000,11.87000000,164840.70000000
2021-11-26,11.87600000,13.22900000,11.24400000,11.42200000,753798.00000000
2021-11-27,11.43400000,24.07000000,11.41400000,17.04500000,13096351.10000000
2021-11-28,17.08600000,17.75600000,14.00000000,14.73200000,2183374.50000000
2021-11-29,14.69900000,15.48900000,14.00700000,14.45800000,1093747.90000000
2021-11-30,14.43000000,15.95900000,13.46400000,13.96800000,766441.60000000
2021-12-01,13.96800000,15.34000000,13.44000000,13.81800000,1663683.40000000
2021-12-02,13.81900000,14.06800000,12.68300000,12.90100000,914371.50000000
2021-12-03,12.90400000,13.37600000,11.54600000,11.91600000,991640.80000000
2021-12-04,11.91700000,11.93100000,10.02800000,10.96300000,442665.70000000
2021-12-05,10.99800000,11.59000000,10.27400000,10.66600000,431539.50000000
2021-12-06,10.70500000,14.15000000,10.25500000,11.39900000,2776175.10000000
2021-12-07,11.38200000,12.63000000,11.05000000,11.42300000,669651.30000000
2021-12-08,11.45600000,11.94900000,11.07400000,11.68200000,310292.60000000
2021-12-09,11.65900000,11.73500000,10.48500000,10.58000000,247236.30000000
2021-12-10,10.57800000,11.23800000,10.17300000,10.17500000,245583.90000000
2021-12-11,10.16900000,11.90000000,10.12700000,10.76400000,318220.30000000
2021-12-12,10.75600000,12.00000000,10.27600000,10.79600000,594923.00000000
2021-12-13,10.78000000,10.83200000,9.43000000,9.45000000,292133.20000000
2021-12-14,9.45000000,9.52300000,9.19800000,9.34500000,136320.70000000
2021-12-15,9.33900000,9.81800000,9.00000000,9.58300000,212494.50000000
2021-12-16,9.55000000,10.01800000,9.55000000,9.64400000,144130.00000000
2021-12-17,9.66400000,10.50000000,9.20100000,9.45000000,287756.40000000
2021-12-18,9.46700000,10.20900000,9.33800000,9.82300000,257819.10000000
2021-12-19,9.82500000,10.37900000,9.52200000,9.90000000,331293.80000000
2021-12-20,9.90000000,10.97900000,9.32800000,9.56000000,808973.60000000
2021-12-21,9.55200000,9.97600000,9.43600000,9.81600000,187279.90000000
2021-12-22,9.81300000,10.65000000,9.74800000,10.03000000,482286.50000000
2021-12-23,10.03000000,10.56500000,9.95000000,10.54300000,179226.80000000
2021-12-24,10.54700000,10.86500000,10.36400000,10.86500000,189261.20000000
2021-12-25,10.86500000,12.23600000,10.40000000,11.08400000,1051840.70000000
2021-12-26,11.06000000,11.12200000,10.27900000,10.59900000,328792.70000000
2021-12-27,10.59900000,11.61300000,10.51700000,11.07500000,415853.50000000
2021-12-28,11.10000000,12.30000000,10.30000000,11.64900000,1344628.80000000
2021-12-29,11.67100000,12.30000000,10.70000000,10.95800000,994732.50000000
2021-12-30,10.93200000,11.35200000,10.76100000,10.86800000,295037.60000000
2021-12-31,10.86800000,11.32000000,10.71000000,10.84800000,179048.00000000
2022-01-01,10.85200000,11.19500000,10.53600000,11.00500000,146269.40000000
2022-01-02,11.01500000,11.53000000,10.95200000,11.15900000,439658.10000000
2022-01-03,11.15900000,11.53800000,10.92100000,11.26800000,300218.80000000
2022-01-04,11.29300000,11.68900000,10.98600000,11.22700000,368320.60000000
2022-01-05,11.22600000,11.42000000,9.81400000,10.04500000,612754.20000000
2022-01-06,10.04600000,10.11800000,9.44600000,9.57800000,473563.00000000
2022-01-07,9.58900000,9.70100000,8.86000000,8.91000000,674288.30000000
2022-01-08,8.91000000,9.11500000,8.38900000,8.39600000,270958.60000000
2022-01-09,8.39400000,8.64300000,8.27200000,8.54200000,362520.60000000
2022-01-10,8.55100000,8.72900000,7.65000000,7.85100000,377312.20000000
2022-01-11,7.86700000,8.20000000,7.82100000,8.02500000,256316.50000000
2022-01-12,8.02800000,8.34900000,7.98900000,8.11000000,392667.60000000
2022-01-13,8.11300000,8.38900000,7.99300000,8.04600000,381597.20000000
2022-01-14,8.03300000,8.14600000,7.83300000,7.92800000,165277.60000000
2022-01-15,7.92900000,8.74400000,7.87000000,8.39600000,553861.30000000
2022-01-16,8.37400000,8.50900000,8.10600000,8.20300000,201702.40000000
2022-01-17,8.20400000,8.21500000,7.87300000,7.88100000,71999.90000000
2022-01-18,7.88800000,8.00000000,7.35200000,7.42700000,226751.90000000
2022-01-19,7.43800000,7.60000000,6.98700000,6.99700000,217895.20000000
2022-01-20,6.99700000,7.29800000,6.84500000,6.87800000,292099.50000000
2022-01-21,6.85500000,6.96400000,5.63000000,5.67500000,624376.30000000
2022-01-22,5.66400000,5.88500000,4.91800000,5.05400000,605918.00000000
2022-01-23,5.05700000,5.54800000,5.00800000,5.21800000,639779.70000000
2022-01-24,5.21800000,5.35400000,4.61600000,5.04800000,633220.90000000
2022-01-25,5.04800000,5.16800000,4.81400000,4.89100000,448230.60000000
2022-01-26,4.89100000,5.52000000,4.82900000,5.04400000,519396.00000000
2022-01-27,5.04100000,5.14500000,4.75400000,5.07800000,595512.60000000
2022-01-28,5.07800000,5.30400000,4.96700000,5.10400000,288306.80000000
2022-01-29,5.09000000,5.36000000,5.06500000,5.32100000,182409.40000000
2022-01-30,5.32200000,5.40400000,5.01800000,5.08500000,448572.00000000
2022-01-31,5.08400000,6.44300000,5.08400000,5.79600000,1926359.40000000
2022-02-01,5.79600000,5.94000000,5.50900000,5.60100000,431851.10000000
2022-02-02,5.58900000,5.71600000,5.19500000,5.24300000,363843.70000000
2022-02-03,5.23800000,5.46300000,4.97500000,5.12500000,177843.80000000
2022-02-04,5.12500000,5.51500000,5.07900000,5.44400000,295800.10000000
2022-02-05,5.44400000,5.82000000,5.33500000,5.50900000,375132.60000000
2022-02-06,5.48300000,5.79500000,5.36000000,5.79500000,305360.60000000
2022-02-07,5.79000000,6.04400000,5.70000000,5.97300000,458964.90000000
2022-02-08,5.97600000,6.55000000,5.61300000,6.11700000,851846.70000000
2022-02-09,6.10200000,6.23900000,5.88900000,6.05500000,246849.60000000
2022-02-10,6.05500000,6.16700000,5.66900000,5.69000000,217359.20000000
2022-02-11,5.69000000,5.73100000,5.39900000,5.41100000,162423.70000000
2022-02-12,5.40800000,5.53700000,5.31300000,5.33800000,93700.30000000
2022-02-13,5.34900000,6.87200000,5.33100000,5.44600000,814423.50000000
2022-02-14,5.43500000,5.56300000,5.25100000,5.38000000,197950.50000000
