Date,Open,High,Low,Close,Volume
2021-03-22,0.68000000,1.30000000,0.57500000,0.58770000,91544062.47000000
2021-03-23,0.58600000,0.58900000,0.52500000,0.54150000,18846820.52000000
2021-03-24,0.54100000,0.82990000,0.52000000,0.64210000,86114471.34000000
2021-03-25,0.64450000,0.71000000,0.52120000,0.55870000,45343543.75000000
2021-03-26,0.55860000,0.65900000,0.55510000,0.65340000,21866521.34000000
2021-03-27,0.65340000,0.76810000,0.61750000,0.67860000,32570743.83000000
2021-03-28,0.67860000,0.76000000,0.66120000,0.67690000,17171077.39000000
2021-03-29,0.67450000,0.75020000,0.63470000,0.72980000,19889139.51000000
2021-03-30,0.72980000,0.87680000,0.72840000,0.75300000,28064226.65000000
2021-03-31,0.75310000,0.84890000,0.74370000,0.82240000,19555388.03000000
2021-04-01,0.82460000,0.84460000,0.67350000,0.71630000,19513711.86000000
2021-04-02,0.71620000,0.73430000,0.68200000,0.69110000,11087307.23000000
2021-04-03,0.69120000,0.69390000,0.60140000,0.60290000,19740246.59000000
2021-04-04,0.60190000,0.65850000,0.58710000,0.63210000,13094403.39000000
2021-04-05,0.63210000,0.69990000,0.59300000,0.66870000,15475383.56000000
2021-04-06,0.66680000,0.73820000,0.61320000,0.63230000,14039631.78000000
2021-04-07,0.63160000,0.64800000,0.58700000,0.60010000,10359276.55000000
2021-04-08,0.60280000,0.71030000,0.59450000,0.68750000,16813438.58000000
2021-04-09,0.68860000,0.99000000,0.66000000,0.95100000,56558673.19000000
2021-04-10,0.95110000,0.98970000,0.76860000,0.80420000,68786466.55000000
2021-04-11,0.80500000,0.87620000,0.77830000,0.86520000,16910063.91000000
2021-04-12,0.86690000,0.93090000,0.76230000,0.81540000,23733675.09000000
2021-04-13,0.81510000,0.83000000,0.73020000,0.74580000,19226726.84000000
2021-04-14,0.74580000,0.83890000,0.68960000,0.81070000,17292154.89000000
2021-04-15,0.81100000,0.84000000,0.71650000,0.74230000,21667653.81000000
2021-04-16,0.74230000,0.74920000,0.67470000,0.68060000,12640576.29000000
2021-04-17,0.68000000,0.73600000,0.66200000,0.66380000,13980786.60000000
2021-04-18,0.66590000,0.67540000,0.53000000,0.64140000,16962116.45000000
2021-04-19,0.64040000,0.65160000,0.55320000,0.57740000,10121998.17000000
2021-04-20,0.57630000,0.62480000,0.48430000,0.60110000,31425526.89000000
2021-04-21,0.60130000,0.61750000,0.52750000,0.53320000,34079648.86000000
2021-04-22,0.53330000,0.55400000,0.45450000,0.47140000,30663760.69000000
2021-04-23,0.47130000,0.47880000,0.38410000,0.45060000,18109215.72000000
2021-04-24,0.45000000,0.45100000,0.39870000,0.41140000,38631093.93000000
2021-04-25,0.41140000,0.47640000,0.39770000,0.43860000,52598273.31000000
2021-04-26,0.43860000,0.53250000,0.43020000,0.50080000,62480956.29000000
2021-04-27,0.50070000,0.56480000,0.49500000,0.54900000,28254466.37000000
2021-04-28,0.55030000,0.58200000,0.47500000,0.54800000,22870310.69000000
2021-04-29,0.54820000,0.54940000,0.48110000,0.50560000,24051395.07000000
2021-04-30,0.50560000,0.52700000,0.49420000,0.50370000,16614381.91000000
2021-05-01,0.50360000,0.54000000,0.49600000,0.52600000,15570262.97000000
2021-05-02,0.52600000,0.61000000,0.49600000,0.60000000,48598468.71000000
2021-05-03,0.59990000,0.69000000,0.59010000,0.62810000,59697053.55000000
2021-05-04,0.62590000,0.68800000,0.56170000,0.61830000,41638777.29000000
2021-05-05,0.61790000,0.66000000,0.60000000,0.64780000,18045299.15000000
2021-05-06,0.64770000,0.70000000,0.60830000,0.62750000,22413149.92000000
2021-05-07,0.62690000,0.64150000,0.59000000,0.60330000,11453626.97000000
2021-05-08,0.60300000,0.62020000,0.59320000,0.61160000,8160960.01000000
2021-05-09,0.61170000,0.66090000,0.60100000,0.64070000,15608656.07000000
2021-05-10,0.63990000,0.64930000,0.50900000,0.55500000,13680924.73000000
2021-05-11,0.55290000,0.56310000,0.52280000,0.56000000,9543249.49000000
2021-05-12,0.56000000,0.58780000,0.44800000,0.44960000,18155432.45000000
2021-05-13,0.44900000,0.49980000,0.42980000,0.43790000,15713609.82000000
2021-05-14,0.43880000,0.48840000,0.43390000,0.48000000,13222465.49000000
2021-05-15,0.47970000,0.48290000,0.41470000,0.41940000,10206813.91000000
2021-05-16,0.41830000,0.50000000,0.40590000,0.41970000,19415244.27000000
2021-05-17,0.41980000,0.42050000,0.25650000,0.37400000,16945379.93000000
2021-05-18,0.37490000,0.39800000,0.36220000,0.37330000,13338245.79000000
2021-05-19,0.37450000,0.38570000,0.20000000,0.23550000,28714637.19000000
2021-05-20,0.23550000,0.28870000,0.22100000,0.26490000,17863858.45000000
2021-05-21,0.26500000,0.28060000,0.20600000,0.22480000,13886768.32000000
2021-05-22,0.22460000,0.23300000,0.18940000,0.19720000,15343997.08000000
2021-05-23,0.19720000,0.20340000,0.12300000,0.14850000,23342993.94000000
2021-05-24,0.14850000,0.21180000,0.14410000,0.20260000,22355530.61000000
2021-05-25,0.20260000,0.25010000,0.17840000,0.24040000,31481697.96000000
2021-05-26,0.24050000,0.46000000,0.22800000,0.33780000,226266786.28000000
2021-05-27,0.33780000,0.34100000,0.27750000,0.29100000,67675856.96000000
2021-05-28,0.29100000,0.29600000,0.23010000,0.24730000,29074107.06000000
2021-05-29,0.24730000,0.25150000,0.21040000,0.22510000,14850296.02000000
2021-05-30,0.22520000,0.25000000,0.21010000,0.23400000,16578995.37000000
2021-05-31,0.23400000,0.24980000,0.22270000,0.24800000,13546948.84000000
2021-06-01,0.24800000,0.26500000,0.22920000,0.23540000,14575223.85000000
2021-06-02,0.23540000,0.28000000,0.22920000,0.27170000,21620285.85000000
