Date,Open,High,Low,Close,Volume
2020-11-19,0.03000000,0.12000000,0.03000000,0.03777000,713299610.30000000
2020-11-20,0.03776000,0.04600000,0.03350000,0.03573000,320411540.00000000
2020-11-21,0.03571000,0.04000000,0.03260000,0.03791000,282877391.00000000
2020-11-22,0.03790000,0.04220000,0.03519000,0.04162000,172188146.10000000
2020-11-23,0.04168000,0.05450000,0.03860000,0.04704000,334746436.40000000
2020-11-24,0.04703000,0.05300000,0.04000000,0.04191000,277218006.90000000
2020-11-25,0.04186000,0.04415000,0.03700000,0.03908000,245666641.30000000
2020-11-26,0.03917000,0.03945000,0.03174000,0.03574000,177512868.50000000
2020-11-27,0.03572000,0.03898000,0.03300000,0.03660000,155352694.80000000
2020-11-28,0.03671000,0.04052000,0.03667000,0.03763000,127006717.70000000
2020-11-29,0.03770000,0.03970000,0.03661000,0.03725000,66792092.10000000
2020-11-30,0.03720000,0.03906000,0.03585000,0.03710000,86199449.60000000
2020-12-01,0.03709000,0.03835000,0.03412000,0.03524000,103278479.00000000
2020-12-02,0.03525000,0.03715000,0.03422000,0.03612000,81251577.00000000
2020-12-03,0.03615000,0.04073000,0.03613000,0.03850000,112221387.90000000
2020-12-04,0.03850000,0.04356000,0.03748000,0.03953000,213765596.60000000
2020-12-05,0.03938000,0.04580000,0.03768000,0.04493000,180539214.70000000
2020-12-06,0.04508000,0.04900000,0.04232000,0.04250000,228326421.70000000
2020-12-07,0.04250000,0.05500000,0.04203000,0.05212000,295173476.30000000
2020-12-08,0.05209000,0.06250000,0.05027000,0.05348000,577481882.90000000
2020-12-09,0.05348000,0.05960000,0.04429000,0.05582000,383841753.70000000
2020-12-10,0.05573000,0.05743000,0.04818000,0.04925000,212256121.70000000
2020-12-11,0.04925000,0.04925000,0.04240000,0.04566000,238894778.70000000
2020-12-12,0.04556000,0.05376000,0.04554000,0.05133000,187634172.60000000
2020-12-13,0.05125000,0.05512000,0.04860000,0.05156000,156599035.20000000
2020-12-14,0.05173000,0.05660000,0.05055000,0.05225000,177162044.60000000
2020-12-15,0.05232000,0.05336000,0.04846000,0.04925000,142152521.50000000
2020-12-16,0.04925000,0.05200000,0.04628000,0.05126000,165582265.40000000
2020-12-17,0.05123000,0.05187000,0.04457000,0.04608000,173492382.90000000
2020-12-18,0.04609000,0.05292000,0.04432000,0.04911000,218213632.70000000
2020-12-19,0.04910000,0.05797000,0.04797000,0.05621000,263999822.70000000
2020-12-20,0.05623000,0.06281000,0.05185000,0.05195000,337324898.70000000
2020-12-21,0.05193000,0.05800000,0.04810000,0.05067000,222368818.50000000
2020-12-22,0.05067000,0.05545000,0.04773000,0.05520000,156812679.10000000
2020-12-23,0.05519000,0.05520000,0.04250000,0.04689000,172548117.30000000
2020-12-24,0.04689000,0.05050000,0.04401000,0.04867000,86152156.10000000
2020-12-25,0.04874000,0.04920000,0.04385000,0.04583000,101794826.60000000
2020-12-26,0.04585000,0.04797000,0.04358000,0.04441000,87116276.90000000
2020-12-27,0.04441000,0.04555000,0.04100000,0.04313000,133466964.40000000
2020-12-28,0.04313000,0.04894000,0.04250000,0.04574000,124827719.80000000
2020-12-29,0.04575000,0.04693000,0.03888000,0.04082000,123336364.30000000
2020-12-30,0.04088000,0.04203000,0.03868000,0.04178000,88011021.00000000
2020-12-31,0.04181000,0.04374000,0.04122000,0.04159000,54874918.60000000
2021-01-01,0.04159000,0.04518000,0.04133000,0.04210000,56731322.70000000
2021-01-02,0.04204000,0.04310000,0.03951000,0.04095000,64594870.60000000
2021-01-03,0.04094000,0.04499000,0.03900000,0.04129000,100487681.30000000
2021-01-04,0.04130000,0.04590000,0.03750000,0.04135000,164913608.80000000
2021-01-05,0.04135000,0.04777000,0.03990000,0.04394000,163694198.30000000
2021-01-06,0.04394000,0.04994000,0.04382000,0.04743000,145649316.60000000
2021-01-07,0.04746000,0.05460000,0.04575000,0.05095000,155576047.30000000
2021-01-08,0.05095000,0.05105000,0.04068000,0.04536000,156039029.10000000
2021-01-09,0.04537000,0.04875000,0.04330000,0.04704000,107096545.80000000
2021-01-10,0.04704000,0.04995000,0.04285000,0.04476000,122060959.50000000
2021-01-11,0.04474000,0.04476000,0.03835000,0.04144000,149379703.30000000
2021-01-12,0.04135000,0.04420000,0.03938000,0.04138000,74574220.10000000
2021-01-13,0.04134000,0.04419000,0.03987000,0.04350000,69734693.10000000
2021-01-14,0.04350000,0.04781000,0.04274000,0.04506000,73705700.00000000
2021-01-15,0.04506000,0.04816000,0.04200000,0.04505000,83215906.30000000
2021-01-16,0.04507000,0.05500000,0.04507000,0.05377000,156236463.40000000
2021-01-17,0.05376000,0.07040000,0.04861000,0.06418000,286239246.80000000
2021-01-18,0.06410000,0.07560000,0.05969000,0.06298000,207155929.70000000
2021-01-19,0.06291000,0.07030000,0.05989000,0.06234000,111239865.70000000
2021-01-20,0.06234000,0.06388000,0.05300000,0.06059000,150241041.50000000
2021-01-21,0.06059000,0.06200000,0.05365000,0.05451000,124047211.90000000
2021-01-22,0.05446000,0.06690000,0.05102000,0.06037000,128211022.10000000
2021-01-23,0.06036000,0.06581000,0.05855000,0.06410000,89432637.50000000
2021-01-24,0.06416000,0.06650000,0.05975000,0.06647000,84444866.80000000
2021-01-25,0.06639000,0.06650000,0.05810000,0.05917000,67033477.70000000
2021-01-26,0.05915000,0.06290000,0.05580000,0.06169000,72676402.10000000
2021-01-27,0.06167000,0.06167000,0.05439000,0.05519000,86880110.60000000
2021-01-28,0.05520000,0.06164000,0.05482000,0.05805000,74933456.70000000
2021-01-29,0.05808000,0.06100000,0.05400000,0.05639000,116888940.00000000
2021-01-30,0.05639000,0.05989000,0.05430000,0.05618000,65666064.50000000
2021-01-31,0.05621000,0.06390000,0.05555000,0.05729000,105593115.40000000
2021-02-01,0.05728000,0.06231000,0.05556000,0.06216000,73583773.90000000
2021-02-02,0.06215000,0.06216000,0.05860000,0.06087000,56399555.00000000
2021-02-03,0.06086000,0.07244000,0.06023000,0.07106000,149765689.70000000
2021-02-04,0.07109000,0.07494000,0.06318000,0.06498000,123270003.30000000
2021-02-05,0.06496000,0.07500000,0.06493000,0.07200000,92335922.70000000
2021-02-06,0.07201000,0.08000000,0.06554000,0.07088000,124868265.80000000
2021-02-07,0.07088000,0.07700000,0.06650000,0.07277000,104943237.10000000
2021-02-08,0.07280000,0.08800000,0.07261000,0.08522000,186059940.00000000
2021-02-09,0.08522000,0.08759000,0.08042000,0.08639000,104307125.60000000
2021-02-10,0.08639000,0.11541000,0.08199000,0.10558000,236250715.10000000
2021-02-11,0.10558000,0.11806000,0.10169000,0.10789000,123937907.70000000
2021-02-12,0.10790000,0.12879000,0.10074000,0.12543000,110056104.40000000
2021-02-13,0.12565000,0.12654000,0.10536000,0.11507000,104052696.30000000
2021-02-14,0.11514000,0.11687000,0.08921000,0.10241000,104056479.50000000
2021-02-15,0.10242000,0.11362000,0.08675000,0.09898000,92168486.00000000
2021-02-16,0.09898000,0.14070000,0.09451000,0.12734000,290867918.30000000
2021-02-17,0.12756000,0.14771000,0.11368000,0.13328000,218017994.60000000
2021-02-18,0.13306000,0.14673000,0.12624000,0.12844000,106554533.80000000
2021-02-19,0.12845000,0.14000000,0.12268000,0.12976000,90592595.20000000
2021-02-20,0.12989000,0.13498000,0.11209000,0.11654000,93321376.00000000
2021-02-21,0.11676000,0.12748000,0.11556000,0.11979000,70019012.00000000
2021-02-22,0.11959000,0.13042000,0.09433000,0.11325000,161159503.20000000
2021-02-23,0.11312000,0.11337000,0.08500000,0.09696000,155390412.20000000
2021-02-24,0.09716000,0.11220000,0.09089000,0.09974000,112954331.40000000
2021-02-25,0.10004000,0.10570000,0.09000000,0.09135000,94021832.90000000
2021-02-26,0.09116000,0.09601000,0.08301000,0.09124000,92971790.90000000
2021-02-27,0.09110000,0.10040000,0.09000000,0.09427000,73517746.30000000
2021-02-28,0.09398000,0.09500000,0.08355000,0.09079000,84482711.20000000
2021-03-01,0.09088000,0.10488000,0.08990000,0.09694000,64753154.20000000
2021-03-02,0.09693000,0.10449000,0.09213000,0.09893000,86598402.00000000
2021-03-03,0.09893000,0.10772000,0.09675000,0.10384000,84706792.10000000
2021-03-04,0.10386000,0.11347000,0.09709000,0.10750000,113438448.60000000
2021-03-05,0.10747000,0.13450000,0.10135000,0.12871000,240383445.00000000
2021-03-06,0.12867000,0.13781000,0.11178000,0.12292000,121969920.20000000
2021-03-07,0.12295000,0.12698000,0.11704000,0.12107000,71074365.60000000
2021-03-08,0.12106000,0.14771000,0.11400000,0.14081000,157512882.60000000
2021-03-09,0.14075000,0.16549000,0.13529000,0.14437000,194034807.90000000
2021-03-10,0.14412000,0.16000000,0.13275000,0.14210000,154401735.90000000
2021-03-11,0.14231000,0.16988000,0.13443000,0.15750000,173649158.30000000
2021-03-12,0.15749000,0.18984000,0.15704000,0.17714000,202252497.60000000
2021-03-13,0.17714000,0.19800000,0.15840000,0.18504000,175576441.00000000
2021-03-14,0.18492000,0.25000000,0.18399000,0.22524000,298195050.40000000
2021-03-15,0.22507000,0.24900000,0.19118000,0.21459000,245166004.20000000
2021-03-16,0.21462000,0.22104000,0.19144000,0.19892000,162270802.10000000
2021-03-17,0.19880000,0.21000000,0.16896000,0.20700000,198934928.60000000
2021-03-18,0.20651000,0.21200000,0.17755000,0.18327000,129062541.30000000
2021-03-19,0.18335000,0.19000000,0.17000000,0.17645000,102006779.10000000
2021-03-20,0.17666000,0.19595000,0.17400000,0.17641000,89199982.10000000
2021-03-21,0.17641000,0.20994000,0.16735000,0.20486000,147511100.00000000
2021-03-22,0.20493000,0.21800000,0.17325000,0.17778000,126469159.30000000
2021-03-23,0.17777000,0.18477000,0.16309000,0.16637000,130064536.30000000
2021-03-24,0.16629000,0.18200000,0.14031000,0.14500000,135587827.60000000
2021-03-25,0.14508000,0.15199000,0.13500000,0.13907000,135757564.80000000
2021-03-26,0.13896000,0.16997000,0.13858000,0.16371000,127588493.30000000
2021-03-27,0.16363000,0.16818000,0.14600000,0.16469000,98353792.20000000
2021-03-28,0.16466000,0.18698000,0.15803000,0.17346000,124911364.80000000
2021-03-29,0.17357000,0.19700000,0.17211000,0.19112000,103559346.40000000
2021-03-30,0.19114000,0.20000000,0.18032000,0.18399000,78985552.20000000
2021-03-31,0.18398000,0.18605000,0.16800000,0.17878000,90871186.30000000
2021-04-01,0.17907000,0.20024000,0.17534000,0.19799000,146600561.90000000
2021-04-02,0.19824000,0.23450000,0.19300000,0.20184000,250852864.80000000
2021-04-03,0.20195000,0.20883000,0.17991000,0.18176000,98088828.60000000
2021-04-04,0.18188000,0.20999000,0.17901000,0.19960000,81503921.60000000
2021-04-05,0.19979000,0.21499000,0.18628000,0.21177000,106862361.00000000
2021-04-06,0.21150000,0.21313000,0.18213000,0.18925000,89694563.80000000
2021-04-07,0.18925000,0.18982000,0.15539000,0.17604000,139593912.50000000
2021-04-08,0.17630000,0.19728000,0.17363000,0.19234000,85087911.70000000
2021-04-09,0.19238000,0.20352000,0.18050000,0.19126000,89681671.70000000
2021-04-10,0.19104000,0.19936000,0.17941000,0.18507000,74213418.10000000
2021-04-11,0.18530000,0.19750000,0.17829000,0.18617000,59398380.90000000
2021-04-12,0.18599000,0.18826000,0.17750000,0.18078000,56353157.80000000
2021-04-13,0.18078000,0.18930000,0.17510000,0.18379000,58130868.70000000
2021-04-14,0.18392000,0.20560000,0.18046000,0.19471000,127387375.60000000
2021-04-15,0.19472000,0.20888000,0.18700000,0.19966000,104024220.20000000
2021-04-16,0.19965000,0.20750000,0.18363000,0.18771000,82595386.10000000
2021-04-17,0.18771000,0.22000000,0.18751000,0.19592000,162876697.00000000
2021-04-18,0.19566000,0.19898000,0.15853000,0.17343000,119242743.20000000
2021-04-19,0.17343000,0.18127000,0.15197000,0.15789000,92224144.40000000
2021-04-20,0.15784000,0.17000000,0.13798000,0.16089000,134981639.50000000
2021-04-21,0.16082000,0.16773000,0.14732000,0.14918000,78539482.30000000
2021-04-22,0.14918000,0.16256000,0.13790000,0.14150000,98173298.20000000
2021-04-23,0.14134000,0.15000000,0.12110000,0.14241000,113128494.60000000
2021-04-24,0.14241000,0.14269000,0.12663000,0.12882000,66846399.20000000
2021-04-25,0.12897000,0.14204000,0.11700000,0.12609000,63832015.90000000
2021-04-26,0.12613000,0.15000000,0.12518000,0.14654000,88226446.20000000
2021-04-27,0.14659000,0.16100000,0.14280000,0.15635000,79514946.30000000
2021-04-28,0.15633000,0.16308000,0.14255000,0.15398000,65813505.40000000
2021-04-29,0.15385000,0.15948000,0.14501000,0.14973000,57319575.60000000
2021-04-30,0.14990000,0.16759000,0.14659000,0.16075000,67724221.80000000
2021-05-01,0.16056000,0.17364000,0.15708000,0.16727000,72983309.10000000
2021-05-02,0.16732000,0.16800000,0.15453000,0.16066000,55774962.10000000
2021-05-03,0.16072000,0.17770000,0.15976000,0.17003000,91091723.10000000
2021-05-04,0.17016000,0.17016000,0.14777000,0.15513000,96619664.70000000
2021-05-05,0.15486000,0.17199000,0.15329000,0.16500000,73998913.20000000
2021-05-06,0.16495000,0.17048000,0.15633000,0.15835000,65560133.60000000
2021-05-07,0.15838000,0.16293000,0.15265000,0.15669000,61119338.60000000
2021-05-08,0.15669000,0.17127000,0.15474000,0.15801000,67271473.10000000
2021-05-09,0.15785000,0.15964000,0.15000000,0.15291000,39807671.90000000
2021-05-10,0.15291000,0.15633000,0.13348000,0.14046000,82782594.30000000
2021-05-11,0.14024000,0.14599000,0.13331000,0.14045000,57281965.70000000
2021-05-12,0.14066000,0.14765000,0.12400000,0.12420000,91102273.10000000
2021-05-13,0.12500000,0.13553000,0.11183000,0.12450000,139345756.30000000
2021-05-14,0.12449000,0.13379000,0.11908000,0.12632000,58355882.30000000
2021-05-15,0.12628000,0.12812000,0.11630000,0.11725000,60423592.10000000
2021-05-16,0.11739000,0.12800000,0.11120000,0.11950000,84175916.60000000
2021-05-17,0.11927000,0.11927000,0.10068000,0.10906000,85614839.50000000
2021-05-18,0.10900000,0.12430000,0.10785000,0.11274000,84138291.90000000
2021-05-19,0.11295000,0.11462000,0.06590000,0.07907000,178265741.80000000
2021-05-20,0.07925000,0.09155000,0.07001000,0.08808000,137045939.60000000
2021-05-21,0.08809000,0.09161000,0.06398000,0.07400000,107516905.90000000
2021-05-22,0.07392000,0.07451000,0.06433000,0.06831000,76226091.80000000
2021-05-23,0.06842000,0.07177000,0.04900000,0.05621000,171568937.10000000
2021-05-24,0.05621000,0.07065000,0.05454000,0.06885000,92867873.60000000
2021-05-25,0.06905000,0.07399000,0.06077000,0.07222000,86061496.90000000
2021-05-26,0.07224000,0.07999000,0.07080000,0.07479000,78705209.70000000
2021-05-27,0.07476000,0.09699000,0.07030000,0.08565000,199266908.00000000
2021-05-28,0.08564000,0.09082000,0.07227000,0.07619000,148510011.10000000
2021-05-29,0.07606000,0.07821000,0.06712000,0.06950000,91472189.10000000
2021-05-30,0.06953000,0.08885000,0.06766000,0.07606000,123043527.00000000
2021-05-31,0.07610000,0.08400000,0.07348000,0.08105000,77157900.70000000
2021-06-01,0.08109000,0.08400000,0.07704000,0.07817000,73450341.70000000
2021-06-02,0.07818000,0.08500000,0.07583000,0.08251000,54737710.30000000
2021-06-03,0.08242000,0.08559000,0.07960000,0.08281000,43168198.80000000
2021-06-04,0.08282000,0.08314000,0.07274000,0.07450000,50913630.80000000
2021-06-05,0.07449000,0.07873000,0.07081000,0.07239000,35509007.40000000
2021-06-06,0.07229000,0.07780000,0.07167000,0.07668000,45870462.40000000
2021-06-07,0.07659000,0.07866000,0.06678000,0.06747000,52728600.80000000
2021-06-08,0.06737000,0.06998000,0.06194000,0.06789000,59461559.70000000
2021-06-09,0.06800000,0.07795000,0.06459000,0.07225000,66643737.00000000
2021-06-10,0.07227000,0.07517000,0.06825000,0.06940000,40792862.50000000
2021-06-11,0.06941000,0.07298000,0.06786000,0.07095000,32666233.80000000
2021-06-12,0.07107000,0.07107000,0.06500000,0.06636000,35707562.00000000
2021-06-13,0.06640000,0.07159000,0.06515000,0.07040000,34054407.00000000
2021-06-14,0.07040000,0.07898000,0.06987000,0.07255000,45502715.00000000
2021-06-15,0.07268000,0.08195000,0.07200000,0.07780000,84407295.20000000
2021-06-16,0.07781000,0.08312000,0.07148000,0.07248000,111293761.10000000
2021-06-17,0.07242000,0.07850000,0.06952000,0.07160000,112136305.10000000
2021-06-18,0.07182000,0.07227000,0.06500000,0.06651000,37194983.80000000
2021-06-19,0.06644000,0.06865000,0.06460000,0.06473000,24138037.70000000
2021-06-20,0.06471000,0.06574000,0.05903000,0.06377000,57627334.70000000
2021-06-21,0.06382000,0.06418000,0.05039000,0.05087000,78497050.20000000
2021-06-22,0.05083000,0.05987000,0.04498000,0.05517000,103142657.70000000
2021-06-23,0.05516000,0.05801000,0.05251000,0.05469000,58803412.00000000
2021-06-24,0.05467000,0.05550000,0.05214000,0.05454000,47408795.00000000
2021-06-25,0.05451000,0.05538000,0.04800000,0.04807000,51379900.90000000
2021-06-26,0.04804000,0.04987000,0.04632000,0.04847000,38080543.90000000
2021-06-27,0.04853000,0.05672000,0.04828000,0.05250000,52269972.80000000
2021-06-28,0.05240000,0.05589000,0.05097000,0.05467000,32703988.10000000
2021-06-29,0.05472000,0.06139000,0.05467000,0.05858000,59712683.40000000
2021-06-30,0.05858000,0.05899000,0.05268000,0.05602000,37761227.40000000
2021-07-01,0.05600000,0.05661000,0.05321000,0.05465000,22310488.00000000
2021-07-02,0.05469000,0.07250000,0.05347000,0.06840000,199098398.10000000
2021-07-03,0.06842000,0.07099000,0.06344000,0.06810000,154929729.50000000
2021-07-04,0.06781000,0.06834000,0.06336000,0.06655000,81841176.10000000
2021-07-05,0.06652000,0.06669000,0.06106000,0.06222000,36680937.90000000
2021-07-06,0.06215000,0.06687000,0.06211000,0.06508000,41400188.00000000
2021-07-07,0.06509000,0.07400000,0.06352000,0.06886000,87293629.20000000
2021-07-08,0.06889000,0.07233000,0.06296000,0.06677000,97947582.00000000
2021-07-09,0.06677000,0.07232000,0.06536000,0.06835000,71752833.10000000
2021-07-10,0.06843000,0.06935000,0.06539000,0.06591000,27211962.90000000
2021-07-11,0.06590000,0.06801000,0.06410000,0.06697000,37386971.00000000
2021-07-12,0.06697000,0.06855000,0.06189000,0.06356000,21733095.40000000
2021-07-13,0.06359000,0.06448000,0.05865000,0.06187000,32689559.20000000
2021-07-14,0.06188000,0.06530000,0.05978000,0.06249000,29635832.00000000
2021-07-15,0.06243000,0.06433000,0.05900000,0.06013000,30650024.60000000
2021-07-16,0.06014000,0.06281000,0.05866000,0.05913000,33620459.50000000
2021-07-17,0.05915000,0.06173000,0.05812000,0.05907000,44476290.00000000
2021-07-18,0.05916000,0.06199000,0.05897000,0.06022000,31306067.50000000
2021-07-19,0.06020000,0.06150000,0.05689000,0.05701000,21670400.10000000
2021-07-20,0.05701000,0.05758000,0.05206000,0.05340000,24735895.90000000
2021-07-21,0.05340000,0.05867000,0.05290000,0.05810000,22521492.40000000
2021-07-22,0.05803000,0.06200000,0.05707000,0.05984000,19096604.00000000
2021-07-23,0.05987000,0.06386000,0.05940000,0.06359000,15457711.10000000
2021-07-24,0.06359000,0.06565000,0.06262000,0.06461000,23623559.60000000
2021-07-25,0.06463000,0.06579000,0.06179000,0.06484000,15063218.80000000
2021-07-26,0.06487000,0.07199000,0.06460000,0.06510000,52613084.90000000
2021-07-27,0.06517000,0.06700000,0.06390000,0.06502000,51457321.30000000
2021-07-28,0.06504000,0.06584000,0.06396000,0.06458000,31673618.20000000
2021-07-29,0.06458000,0.08200000,0.06418000,0.07286000,116291458.80000000
2021-07-30,0.07299000,0.07986000,0.06958000,0.07748000,120632447.20000000
2021-07-31,0.07748000,0.07969000,0.07500000,0.07754000,34847911.70000000
2021-08-01,0.07764000,0.08288000,0.07483000,0.07504000,39634761.70000000
2021-08-02,0.07504000,0.08000000,0.07341000,0.07543000,29000042.80000000
2021-08-03,0.07544000,0.07681000,0.07088000,0.07234000,47156393.80000000
2021-08-04,0.07237000,0.08300000,0.07111000,0.07914000,45479627.40000000
2021-08-05,0.07908000,0.08655000,0.07691000,0.08604000,42232651.60000000
2021-08-06,0.08620000,0.09180000,0.08391000,0.08895000,52125187.60000000
2021-08-07,0.08896000,0.09231000,0.08349000,0.09100000,67686175.60000000
2021-08-08,0.09084000,0.09274000,0.08116000,0.08126000,39821091.30000000
2021-08-09,0.08134000,0.09045000,0.07987000,0.08773000,47129136.30000000
2021-08-10,0.08781000,0.08900000,0.08600000,0.08860000,36907716.60000000
2021-08-11,0.08868000,0.09990000,0.08829000,0.09364000,211320355.10000000
2021-08-12,0.09381000,0.09822000,0.08787000,0.09132000,105594512.80000000
2021-08-13,0.09132000,0.09700000,0.09004000,0.09597000,50498147.50000000
2021-08-14,0.09611000,0.10500000,0.09423000,0.09715000,129111241.10000000
