Date,Open,High,Low,Close,Volume
2022-01-21,7.30400000,9.80000000,4.60000000,6.24900000,1143637.40000000
2022-01-22,6.23200000,6.80800000,4.84500000,5.60700000,1886930.30000000
2022-01-23,5.59300000,6.10000000,5.26100000,5.72000000,935155.10000000
2022-01-24,5.70000000,5.70100000,4.51800000,5.46400000,1098386.60000000
2022-01-25,5.46900000,6.36000000,5.13600000,6.24400000,1339129.70000000
2022-01-26,6.24700000,6.97000000,5.73400000,5.90900000,1534105.90000000
2022-01-27,5.91900000,6.14400000,5.40400000,5.77200000,1461145.40000000
2022-01-28,5.77900000,5.87400000,5.28000000,5.55500000,1246303.70000000
2022-01-29,5.53900000,5.83800000,5.50800000,5.61300000,590131.10000000
2022-01-30,5.61000000,5.70200000,5.02700000,5.28500000,526535.50000000
2022-01-31,5.29800000,5.48000000,4.92500000,5.23000000,665479.70000000
2022-02-01,5.23100000,5.52800000,5.02200000,5.35100000,721101.90000000
2022-02-02,5.35100000,5.47300000,4.76800000,4.89300000,558797.40000000
2022-02-03,4.88100000,5.15800000,4.60000000,5.13800000,744281.00000000
2022-02-04,5.15400000,5.69000000,5.03700000,5.66200000,707357.30000000
2022-02-05,5.66400000,5.76000000,5.50100000,5.62400000,427429.40000000
2022-02-06,5.64000000,5.90000000,5.64000000,5.84700000,410908.40000000
2022-02-07,5.85200000,6.85500000,5.73400000,6.77300000,1360166.80000000
2022-02-08,6.78200000,7.04200000,6.11100000,6.40300000,1247013.60000000
2022-02-09,6.41600000,6.78500000,6.16500000,6.60700000,1096498.50000000
2022-02-10,6.60700000,7.39500000,6.53200000,6.71100000,2005925.00000000
2022-02-11,6.70200000,7.03100000,6.28300000,6.36800000,875193.50000000
2022-02-12,6.36600000,6.40700000,5.98700000,6.13000000,699952.20000000
2022-02-13,6.12800000,6.27100000,5.83800000,5.86200000,460063.50000000
2022-02-14,5.86200000,6.01100000,5.70300000,5.94800000,601070.70000000
