Date,Open,High,Low,Close,Volume
2021-04-30,0.11280000,0.35700000,0.11280000,0.21660000,1718434562.00000000
2021-05-01,0.21660000,0.42480000,0.20200000,0.36380000,2633796126.00000000
2021-05-02,0.36370000,0.40610000,0.32720000,0.33050000,830244130.00000000
2021-05-03,0.33050000,0.34270000,0.28010000,0.29710000,405609506.00000000
2021-05-04,0.29710000,0.33430000,0.25000000,0.29050000,394601514.00000000
2021-05-05,0.29080000,0.32390000,0.26410000,0.27730000,316019699.00000000
2021-05-06,0.27740000,0.28800000,0.23760000,0.23910000,160526430.00000000
2021-05-07,0.23910000,0.26560000,0.22000000,0.22760000,174613628.00000000
2021-05-08,0.22760000,0.27500000,0.22510000,0.24820000,236600262.00000000
2021-05-09,0.24820000,0.25370000,0.21010000,0.23250000,109182122.00000000
2021-05-10,0.23230000,0.24680000,0.18500000,0.19050000,167494727.00000000
2021-05-11,0.19080000,0.20980000,0.17750000,0.19450000,115752862.00000000
2021-05-12,0.19380000,0.21300000,0.14570000,0.14900000,133142976.00000000
2021-05-13,0.14810000,0.17250000,0.13300000,0.16090000,116808000.00000000
2021-05-14,0.15900000,0.25000000,0.15700000,0.20210000,409587767.00000000
2021-05-15,0.20210000,0.22550000,0.16570000,0.17700000,133871181.00000000
2021-05-16,0.17700000,0.24690000,0.17640000,0.20990000,261087116.00000000
2021-05-17,0.20990000,0.34500000,0.19170000,0.26930000,594692508.00000000
2021-05-18,0.26930000,0.31500000,0.23280000,0.23570000,248762760.00000000
2021-05-19,0.23570000,0.25020000,0.12000000,0.14640000,216174054.00000000
2021-05-20,0.14640000,0.18890000,0.12150000,0.16800000,149165571.00000000
2021-05-21,0.16800000,0.18470000,0.11000000,0.13400000,159882988.00000000
2021-05-22,0.13260000,0.13820000,0.09500000,0.11550000,181507328.00000000
2021-05-23,0.11620000,0.11800000,0.06140000,0.08170000,152764541.00000000
2021-05-24,0.08240000,0.12340000,0.07630000,0.11490000,192507742.00000000
2021-05-25,0.11460000,0.14220000,0.10140000,0.12990000,218300166.00000000
2021-05-26,0.12960000,0.20000000,0.12070000,0.19980000,175934320.00000000
2021-05-27,0.19990000,0.24700000,0.15220000,0.21330000,434090226.00000000
2021-05-28,0.21310000,0.23000000,0.13430000,0.14910000,781380230.00000000
2021-05-29,0.14910000,0.17040000,0.12430000,0.13160000,389533076.00000000
2021-05-30,0.13130000,0.15750000,0.12650000,0.13700000,265419739.00000000
2021-05-31,0.13700000,0.14780000,0.12800000,0.14590000,181571127.00000000
2021-06-01,0.14570000,0.14900000,0.13260000,0.13480000,119352567.00000000
2021-06-02,0.13500000,0.14300000,0.13020000,0.13890000,120136848.00000000
2021-06-03,0.13890000,0.14950000,0.13670000,0.14510000,121406319.00000000
2021-06-04,0.14510000,0.14600000,0.12460000,0.13160000,108441168.00000000
2021-06-05,0.13160000,0.13800000,0.12540000,0.12930000,81284304.00000000
2021-06-06,0.12940000,0.13340000,0.12590000,0.13080000,48606984.00000000
2021-06-07,0.13080000,0.13790000,0.12000000,0.12150000,59588280.00000000
2021-06-08,0.12170000,0.12400000,0.09740000,0.11420000,121684773.00000000
2021-06-09,0.11420000,0.14300000,0.10500000,0.13480000,155633583.00000000
2021-06-10,0.13480000,0.13830000,0.11900000,0.12310000,96740355.00000000
2021-06-11,0.12330000,0.16680000,0.11900000,0.13860000,284566339.00000000
2021-06-12,0.13880000,0.14270000,0.12070000,0.12710000,125470670.00000000
2021-06-13,0.12730000,0.14740000,0.12500000,0.13840000,89718340.00000000
2021-06-14,0.13840000,0.14770000,0.13650000,0.14140000,71311009.00000000
2021-06-15,0.14120000,0.14620000,0.13660000,0.14000000,52883786.00000000
2021-06-16,0.13980000,0.14250000,0.12870000,0.13150000,43882645.00000000
2021-06-17,0.13150000,0.13780000,0.12700000,0.13380000,45321353.00000000
2021-06-18,0.13400000,0.13550000,0.12140000,0.12760000,38392523.00000000
2021-06-19,0.12770000,0.13340000,0.12350000,0.13010000,32338783.00000000
2021-06-20,0.13010000,0.13900000,0.12180000,0.13320000,60654327.00000000
2021-06-21,0.13330000,0.13470000,0.11000000,0.11310000,75598565.00000000
2021-06-22,0.11320000,0.13320000,0.10530000,0.12480000,146154147.00000000
2021-06-23,0.12470000,0.13650000,0.11930000,0.13350000,85832615.00000000
2021-06-24,0.13380000,0.13450000,0.12270000,0.12950000,47450598.00000000
2021-06-25,0.12970000,0.13180000,0.11920000,0.12330000,40611534.00000000
2021-06-26,0.12330000,0.13150000,0.11910000,0.13130000,37037211.00000000
2021-06-27,0.13130000,0.13500000,0.12470000,0.13460000,40408765.00000000
2021-06-28,0.13460000,0.13700000,0.12810000,0.13250000,45635458.00000000
2021-06-29,0.13280000,0.13820000,0.13220000,0.13290000,54588472.00000000
2021-06-30,0.13290000,0.13550000,0.12540000,0.13380000,55685668.00000000
2021-07-01,0.13380000,0.13380000,0.12730000,0.13170000,38799045.00000000
