Date,Open,High,Low,Close,Volume
2021-12-24,0.02357000,0.02810000,0.02142000,0.02179000,888642323.00000000
2021-12-25,0.02177000,0.02369000,0.02176000,0.02283000,420329298.00000000
2021-12-26,0.02283000,0.02311000,0.02117000,0.02201000,285129750.00000000
2021-12-27,0.02201000,0.02810000,0.02101000,0.02613000,1258326956.00000000
2021-12-28,0.02613000,0.02614000,0.02159000,0.02190000,750721837.00000000
2021-12-29,0.02190000,0.02308000,0.02000000,0.02116000,481307663.00000000
2021-12-30,0.02115000,0.02225000,0.02032000,0.02161000,300374312.00000000
2021-12-31,0.02161000,0.02451000,0.02140000,0.02344000,801333804.00000000
2022-01-01,0.02346000,0.02402000,0.02263000,0.02333000,221121345.00000000
2022-01-02,0.02332000,0.02600000,0.02222000,0.02403000,649363075.00000000
2022-01-03,0.02403000,0.02536000,0.02212000,0.02215000,741500666.00000000
2022-01-04,0.02215000,0.02314000,0.02091000,0.02099000,1038279944.00000000
2022-01-05,0.02098000,0.02155000,0.01661000,0.01823000,1323046949.00000000
2022-01-06,0.01827000,0.01853000,0.01596000,0.01709000,1060539814.00000000
2022-01-07,0.01709000,0.01718000,0.01408000,0.01510000,1606913206.00000000
2022-01-08,0.01512000,0.01635000,0.01373000,0.01470000,770785257.00000000
2022-01-09,0.01465000,0.01576000,0.01420000,0.01500000,334537025.00000000
2022-01-10,0.01501000,0.01555000,0.01321000,0.01396000,720930850.00000000
2022-01-11,0.01396000,0.01490000,0.01358000,0.01455000,524450880.00000000
2022-01-12,0.01459000,0.01636000,0.01436000,0.01575000,536982555.00000000
2022-01-13,0.01574000,0.01589000,0.01437000,0.01446000,495917100.00000000
2022-01-14,0.01444000,0.01470000,0.01388000,0.01432000,483393751.00000000
2022-01-15,0.01433000,0.01498000,0.01380000,0.01440000,441152434.00000000
2022-01-16,0.01439000,0.01630000,0.01439000,0.01588000,847500441.00000000
2022-01-17,0.01588000,0.01600000,0.01350000,0.01360000,852320475.00000000
2022-01-18,0.01359000,0.01387000,0.01231000,0.01275000,616449819.00000000
2022-01-19,0.01275000,0.01308000,0.01155000,0.01171000,495295239.00000000
2022-01-20,0.01171000,0.01421000,0.01166000,0.01206000,790239830.00000000
2022-01-21,0.01204000,0.01265000,0.00892000,0.00920000,1592050624.00000000
2022-01-22,0.00921000,0.00962000,0.00660000,0.00791000,1349179291.00000000
2022-01-23,0.00793000,0.00917000,0.00767000,0.00841000,731005282.00000000
2022-01-24,0.00841000,0.00841000,0.00663000,0.00795000,1259257151.00000000
2022-01-25,0.00793000,0.00973000,0.00760000,0.00829000,1411649612.00000000
2022-01-26,0.00830000,0.00862000,0.00742000,0.00778000,2597599479.00000000
2022-01-27,0.00778000,0.00783000,0.00483000,0.00533000,15336733234.00000000
2022-01-28,0.00533000,0.00578000,0.00501000,0.00546000,3655700582.00000000
2022-01-29,0.00546000,0.00732000,0.00540000,0.00722000,6436493408.00000000
2022-01-30,0.00722000,0.00860000,0.00659000,0.00740000,8281644680.00000000
2022-01-31,0.00740000,0.00777000,0.00641000,0.00726000,3527368747.00000000
2022-02-01,0.00726000,0.00789000,0.00675000,0.00682000,2407202171.00000000
2022-02-02,0.00682000,0.00707000,0.00604000,0.00609000,2949891698.00000000
2022-02-03,0.00610000,0.00630000,0.00580000,0.00613000,1506114536.00000000
2022-02-04,0.00612000,0.00688000,0.00601000,0.00663000,1832892919.00000000
2022-02-05,0.00663000,0.00724000,0.00648000,0.00674000,1918488126.00000000
2022-02-06,0.00674000,0.00703000,0.00647000,0.00699000,1571026752.00000000
2022-02-07,0.00699000,0.00720000,0.00667000,0.00700000,1965849083.00000000
2022-02-08,0.00700000,0.00815000,0.00682000,0.00724000,4301914094.00000000
2022-02-09,0.00724000,0.00768000,0.00702000,0.00743000,2356611524.00000000
2022-02-10,0.00744000,0.00752000,0.00680000,0.00695000,2669150428.00000000
2022-02-11,0.00696000,0.00721000,0.00604000,0.00620000,2518187574.00000000
2022-02-12,0.00620000,0.00636000,0.00588000,0.00615000,1821550626.00000000
2022-02-13,0.00616000,0.00628000,0.00553000,0.00579000,1673390827.00000000
2022-02-14,0.00579000,0.00579000,0.00507000,0.00564000,2642997818.00000000
