Date,Open,High,Low,Close,Volume
2021-09-10,1.00000000,2.00000000,0.99930000,1.00000000,24419760.26000000
2021-09-11,1.00000000,1.00010000,0.99980000,1.00010000,1380298.52000000
2021-09-12,1.00000000,1.00010000,0.99960000,0.99970000,1925037.10000000
2021-09-13,0.99970000,1.00030000,0.99950000,0.99950000,4129191.79000000
2021-09-14,0.99950000,0.99990000,0.99940000,0.99960000,2816500.65000000
2021-09-15,0.99960000,1.00010000,0.99960000,0.99990000,1903708.75000000
2021-09-16,0.99960000,1.00020000,0.99960000,0.99960000,3842144.03000000
2021-09-17,0.99960000,1.00000000,0.99960000,1.00000000,972616.85000000
2021-09-18,1.00000000,1.00000000,0.99970000,1.00000000,602975.51000000
2021-09-19,1.00000000,1.00000000,0.99960000,0.99960000,1104555.11000000
2021-09-20,0.99960000,1.00040000,0.99960000,1.00000000,2029826.40000000
2021-09-21,1.00000000,1.00060000,0.99990000,1.00060000,2035809.53000000
2021-09-22,1.00060000,1.00060000,0.99970000,0.99970000,1535320.62000000
2021-09-23,0.99970000,1.00000000,0.99940000,0.99960000,1573248.35000000
2021-09-24,0.99950000,0.99960000,0.99920000,0.99950000,1513970.62000000
2021-09-25,0.99920000,1.00000000,0.99910000,0.99910000,4407328.74000000
2021-09-26,0.99910000,1.00320000,0.99910000,0.99970000,3644546.11000000
2021-09-27,0.99970000,1.00000000,0.99930000,0.99950000,4539139.95000000
2021-09-28,0.99950000,1.00010000,0.99950000,0.99990000,1525189.42000000
2021-09-29,0.99990000,1.00020000,0.99930000,1.00020000,915663.73000000
2021-09-30,1.00020000,1.00020000,0.99980000,0.99990000,1731328.82000000
2021-10-01,0.99990000,1.00020000,0.99940000,0.99940000,2938790.38000000
2021-10-02,0.99960000,0.99970000,0.99930000,0.99930000,1172334.86000000
2021-10-03,0.99970000,0.99980000,0.99910000,0.99930000,2864254.13000000
2021-10-04,0.99910000,0.99990000,0.99910000,0.99940000,3319546.55000000
2021-10-05,1.00000000,1.00000000,0.99930000,0.99960000,996809.13000000
2021-10-06,0.99970000,1.00010000,0.99920000,0.99960000,5780699.89000000
2021-10-07,1.00000000,1.00110000,0.99960000,0.99960000,3966197.09000000
2021-10-08,1.00000000,1.09000000,0.99960000,1.00010000,4288220.04000000
2021-10-09,0.99980000,1.00060000,0.99950000,1.00020000,625151.68000000
2021-10-10,0.99950000,1.00050000,0.99950000,0.99980000,1503225.55000000
2021-10-11,0.99960000,1.00160000,0.99950000,0.99990000,1143664.32000000
2021-10-12,0.99990000,1.00000000,0.99960000,0.99990000,1025314.44000000
2021-10-13,0.99990000,1.00020000,0.99960000,0.99990000,2133208.10000000
2021-10-14,0.99990000,1.00020000,0.99960000,0.99970000,3168215.70000000
2021-10-15,0.99960000,1.00130000,0.99960000,1.00040000,12348675.60000000
