Date,Open,High,Low,Close,Volume
2021-12-14,0.20000000,6.95000000,0.20000000,2.83500000,155427553.60000000
2021-12-15,2.83400000,4.56780000,2.53470000,3.78310000,183895999.90000000
2021-12-16,3.77800000,4.77160000,3.12880000,3.26670000,79659126.30000000
2021-12-17,3.26670000,3.43970000,2.89560000,2.91100000,24536612.80000000
2021-12-18,2.91100000,2.97600000,2.44490000,2.83500000,22007773.40000000
2021-12-19,2.83490000,3.50000000,2.61120000,2.98540000,47377456.90000000
2021-12-20,2.98320000,3.38880000,2.79470000,2.89730000,27201187.10000000
2021-12-21,2.89780000,3.17960000,2.87000000,2.93500000,11492969.90000000
2021-12-22,2.93500000,3.17000000,2.89000000,2.97450000,10264305.40000000
2021-12-23,2.97220000,3.07270000,2.76160000,3.06070000,10691978.30000000
2021-12-24,3.06150000,3.16000000,2.85970000,2.88340000,9085055.20000000
2021-12-25,2.88180000,2.96750000,2.76680000,2.83620000,5390769.70000000
2021-12-26,2.84030000,2.94040000,2.76410000,2.79170000,4437979.90000000
2021-12-27,2.79170000,3.11000000,2.75000000,2.94120000,7748368.60000000
2021-12-28,2.93820000,3.03000000,2.60000000,2.97990000,7073807.50000000
2021-12-29,2.97610000,3.87400000,2.86500000,3.03910000,37955660.60000000
2021-12-30,3.03630000,3.35000000,2.94190000,3.26190000,10556713.30000000
2021-12-31,3.26190000,3.98880000,3.19990000,3.61010000,22411969.10000000
2022-01-01,3.61010000,3.87300000,3.41110000,3.57080000,7200383.90000000
2022-01-02,3.57660000,4.32120000,3.52140000,4.01870000,16173502.90000000
2022-01-03,4.01860000,4.12270000,3.44470000,3.50000000,9137346.00000000
2022-01-04,3.50230000,3.63880000,3.23980000,3.24020000,7723884.60000000
2022-01-05,3.24020000,3.40950000,2.80000000,2.92720000,6297110.90000000
2022-01-06,2.92960000,3.21480000,2.80000000,3.00070000,7023817.40000000
2022-01-07,3.00090000,3.00600000,2.63990000,2.64000000,4908219.60000000
2022-01-08,2.64470000,2.90090000,2.49390000,2.58400000,4167721.50000000
2022-01-09,2.57870000,2.68150000,2.49210000,2.58300000,2534644.60000000
2022-01-10,2.58340000,2.64950000,2.30010000,2.37280000,3963371.60000000
2022-01-11,2.37120000,2.53440000,2.28000000,2.41220000,4158451.60000000
2022-01-12,2.41220000,2.81130000,2.37140000,2.61320000,7189623.50000000
2022-01-13,2.61240000,2.65090000,2.40000000,2.43660000,3872721.30000000
2022-01-14,2.43360000,2.45640000,2.33130000,2.38710000,3408038.90000000
2022-01-15,2.38710000,2.52000000,2.36320000,2.46330000,2970756.30000000
2022-01-16,2.46330000,2.83000000,2.42110000,2.54680000,8591380.50000000
2022-01-17,2.54640000,2.54720000,2.36500000,2.41890000,2371067.70000000
2022-01-18,2.41510000,2.46300000,2.07330000,2.20530000,4148226.10000000
2022-01-19,2.20640000,2.20790000,2.01550000,2.11000000,3080205.80000000
2022-01-20,2.10990000,2.12730000,1.81820000,1.83340000,9817801.40000000
2022-01-21,1.83260000,1.86500000,1.51010000,1.55450000,7617934.00000000
2022-01-22,1.56210000,1.58390000,1.12800000,1.26210000,6649746.80000000
2022-01-23,1.26240000,1.65000000,1.24710000,1.50280000,10282657.40000000
2022-01-24,1.50180000,1.59840000,1.20000000,1.45770000,6452934.90000000
2022-01-25,1.46440000,1.62500000,1.41660000,1.52420000,5728989.60000000
2022-01-26,1.52420000,1.62050000,1.47340000,1.52940000,4063082.40000000
2022-01-27,1.52900000,1.54410000,1.38310000,1.46090000,2723740.00000000
2022-01-28,1.46440000,1.62490000,1.40750000,1.59000000,2796321.40000000
2022-01-29,1.59000000,1.71000000,1.55210000,1.58290000,4428986.10000000
2022-01-30,1.58290000,1.61220000,1.45070000,1.47700000,2658399.40000000
2022-01-31,1.47700000,1.54510000,1.42000000,1.51040000,2324211.80000000
2022-02-01,1.51270000,1.68000000,1.47310000,1.62230000,5713823.70000000
2022-02-02,1.62120000,2.26090000,1.61010000,1.80610000,37408117.30000000
2022-02-03,1.81070000,2.07590000,1.72670000,1.90930000,12289176.80000000
2022-02-04,1.91480000,2.02700000,1.81970000,1.98000000,6887463.70000000
2022-02-05,1.97620000,2.03670000,1.89160000,1.97850000,6591021.00000000
2022-02-06,1.98260000,2.23000000,1.95320000,2.07500000,11392895.90000000
2022-02-07,2.07500000,2.13600000,1.97680000,2.01000000,6629407.20000000
2022-02-08,2.00600000,2.01500000,1.72700000,1.74770000,6040872.70000000
2022-02-09,1.75080000,1.88110000,1.73810000,1.83590000,4925223.20000000
2022-02-10,1.83610000,1.90230000,1.67180000,1.70140000,4794589.90000000
2022-02-11,1.70430000,1.71540000,1.42640000,1.46350000,4705811.20000000
2022-02-12,1.46550000,1.52250000,1.41390000,1.47030000,2762921.90000000
2022-02-13,1.47180000,1.62000000,1.35260000,1.35460000,7432272.40000000
2022-02-14,1.35370000,1.42610000,1.33470000,1.40400000,2606458.30000000
