Date,Open,High,Low,Close,Volume
2020-08-07,10.00000000,10.05000000,7.50000000,8.45000000,36415.98000000
2020-08-08,8.41000000,11.21000000,8.18000000,10.47000000,53715.44000000
2020-08-09,10.46000000,13.42000000,9.72000000,12.63000000,132218.75000000
2020-08-10,12.64000000,17.39000000,10.09000000,16.86000000,308050.15000000
2020-08-11,17.10000000,18.41000000,13.18000000,14.91000000,122157.59000000
2020-08-12,14.80000000,17.95000000,12.47000000,17.15000000,147512.25000000
2020-08-13,17.12000000,17.87000000,14.02000000,15.31600000,80365.62000000
2020-08-14,15.24700000,15.87000000,14.36000000,15.06800000,19900.77000000
2020-08-15,15.13000000,16.12900000,13.72300000,14.51300000,39180.02000000
2020-08-16,14.64000000,16.61700000,14.10000000,15.65900000,40685.03000000
2020-08-17,15.62100000,15.75600000,14.23300000,14.32900000,30028.77000000
2020-08-18,14.40100000,15.13000000,12.06100000,12.88100000,29714.89000000
2020-08-19,13.08100000,13.56200000,10.10000000,11.16600000,98974.47000000
2020-08-20,11.33100000,12.59600000,10.32200000,12.16000000,100804.51000000
2020-08-21,12.17000000,12.35000000,9.29900000,9.65200000,53013.30000000
2020-08-22,9.50300000,10.57400000,8.98300000,10.49000000,44438.01000000
2020-08-23,10.48700000,10.62000000,9.36700000,10.18600000,29033.78000000
2020-08-24,10.18600000,11.57600000,9.73700000,10.84400000,40981.57000000
2020-08-25,10.85000000,11.00000000,8.83000000,9.62500000,42888.54000000
2020-08-26,9.55100000,9.89400000,8.82900000,9.12300000,25585.91000000
2020-08-27,9.25000000,9.35000000,7.85000000,8.39100000,24846.86000000
2020-08-28,8.40000000,8.82800000,8.02300000,8.53300000,27719.41000000
2020-08-29,8.43000000,9.28900000,8.37000000,8.94000000,91661.70000000
2020-08-30,9.02300000,9.30000000,8.87000000,9.05300000,25804.61000000
2020-08-31,9.11600000,9.48600000,8.45800000,8.62000000,22084.69000000
2020-09-01,8.48100000,9.65200000,8.27300000,9.30900000,47928.17000000
2020-09-02,9.21100000,9.39000000,6.81900000,7.65200000,90716.93000000
2020-09-03,7.71000000,7.78700000,4.86400000,5.30700000,185822.90000000
2020-09-04,5.37600000,6.54400000,4.86500000,5.99900000,196622.70000000
2020-09-05,5.97600000,6.45400000,3.77000000,4.45500000,148453.07000000
2020-09-06,4.44500000,5.21000000,3.82900000,4.87700000,105155.48000000
2020-09-07,4.95000000,5.05600000,3.92700000,4.81000000,65945.31000000
2020-09-08,4.92800000,5.30400000,4.10900000,4.61500000,69736.07000000
2020-09-09,4.61500000,5.08000000,4.17400000,4.73600000,101934.03000000
2020-09-10,4.76000000,5.34600000,4.74500000,4.93400000,210190.77000000
2020-09-11,4.96900000,5.19200000,4.42400000,4.90000000,65348.25000000
