Date,Open,High,Low,Close,Volume
2020-10-06,4.00000000,9.48200000,1.15900000,3.46000000,13988006.65000000
2020-10-07,3.46100000,3.52000000,2.44000000,2.73200000,3413753.27500000
2020-10-08,2.72000000,3.08200000,2.55000000,2.70300000,1695888.46900000
2020-10-09,2.70300000,2.93000000,2.60300000,2.76500000,1271917.05500000
2020-10-10,2.76500000,2.84800000,2.47500000,2.51600000,976146.28200000
2020-10-11,2.52400000,2.56800000,2.27200000,2.46500000,927452.73800000
2020-10-12,2.46500000,2.64900000,2.35800000,2.38900000,1014956.89200000
2020-10-13,2.38900000,3.35000000,2.21300000,2.72500000,1975168.96700000
2020-10-14,2.72600000,3.26200000,2.59000000,2.60600000,2824137.66400000
2020-10-15,2.60600000,2.97200000,2.54300000,2.74100000,1283909.66400000
2020-10-16,2.73800000,3.30000000,2.70000000,3.15100000,1581557.22600000
2020-10-17,3.16000000,4.88800000,3.08000000,4.26000000,5498566.94600000
2020-10-18,4.25100000,4.78500000,3.37300000,3.53400000,2767905.10200000
2020-10-19,3.54300000,3.73000000,3.23000000,3.23900000,1383756.78200000
2020-10-20,3.25600000,3.38300000,2.75100000,2.94400000,1580536.77500000
2020-10-21,2.93200000,4.10000000,2.86000000,3.85600000,3276819.75500000
2020-10-22,3.84800000,4.00000000,3.25700000,3.36500000,1441322.92600000
2020-10-23,3.36700000,3.63000000,3.14000000,3.17100000,822604.80100000
2020-10-24,3.17500000,3.57600000,3.10100000,3.51400000,665981.89900000
2020-10-25,3.51600000,3.80000000,3.18800000,3.60700000,850882.86800000
2020-10-26,3.60800000,4.05000000,3.07000000,3.22700000,2465421.89500000
2020-10-27,3.22700000,3.36000000,2.93100000,3.06000000,883797.45900000
2020-10-28,3.06000000,3.25200000,2.86500000,2.88800000,613253.51800000
2020-10-29,2.89500000,3.47000000,2.56100000,2.95000000,1884859.77200000
2020-10-30,2.95200000,3.09800000,2.73800000,2.82600000,629851.89400000
2020-10-31,2.82800000,2.99700000,2.65100000,2.67000000,437359.05200000
2020-11-01,2.65900000,2.73800000,2.55600000,2.65500000,310881.96400000
2020-11-02,2.66400000,3.18000000,2.35100000,2.44600000,1872334.89900000
2020-11-03,2.43900000,2.55300000,2.15000000,2.24500000,757786.62400000
2020-11-04,2.23800000,2.26100000,2.05800000,2.16900000,338031.41400000
2020-11-05,2.16200000,2.59800000,2.15400000,2.42400000,787948.69900000
2020-11-06,2.42500000,2.79200000,2.39200000,2.61500000,884946.85500000
2020-11-07,2.62400000,3.27500000,2.47000000,2.76000000,1293390.14500000
2020-11-08,2.75600000,3.10000000,2.72200000,2.93600000,561135.44200000
2020-11-09,2.93500000,3.06500000,2.65600000,2.97000000,593787.98100000
2020-11-10,2.96700000,3.17900000,2.79700000,3.08400000,551146.98600000
2020-11-11,3.08300000,3.61300000,3.06900000,3.17300000,1290673.41700000
2020-11-12,3.17500000,3.56000000,3.08000000,3.18400000,721806.34500000
2020-11-13,3.18500000,3.79500000,3.18300000,3.66000000,571968.09900000
2020-11-14,3.66800000,3.97700000,3.37100000,3.87400000,787382.56600000
2020-11-15,3.87300000,4.41700000,3.73400000,4.21200000,987889.31700000
2020-11-16,4.21500000,5.27700000,4.05000000,5.09300000,1366794.73100000
2020-11-17,5.07400000,5.39000000,3.80100000,4.41200000,1835401.88200000
2020-11-18,4.40700000,4.48200000,3.65000000,4.14500000,1132305.96800000
2020-11-19,4.15100000,4.43200000,3.91800000,3.97900000,949817.66300000
2020-11-20,3.97900000,4.21400000,3.85200000,3.89800000,758999.88800000
2020-11-21,3.89800000,4.11900000,3.68200000,4.11800000,713098.30800000
2020-11-22,4.09800000,4.20100000,3.62000000,3.76200000,640018.56700000
2020-11-23,3.76200000,4.20000000,3.69800000,3.93900000,778122.41200000
2020-11-24,3.94000000,3.97000000,3.01000000,3.24600000,1859611.06700000
2020-11-25,3.26500000,3.66000000,2.92900000,3.29100000,1704827.76000000
2020-11-26,3.28500000,3.46400000,2.47000000,3.01500000,1599666.48900000
2020-11-27,3.01500000,3.23200000,2.76800000,2.97400000,722971.63600000
2020-11-28,2.97500000,3.46900000,2.84700000,3.37700000,852150.46400000
2020-11-29,3.38000000,3.38400000,2.75000000,3.04500000,1285706.43600000
2020-11-30,3.03700000,3.16000000,2.90000000,3.00200000,716202.88700000
2020-12-01,3.00200000,3.50000000,2.91900000,3.11800000,1163903.42500000
2020-12-02,3.12200000,3.47000000,3.04000000,3.36600000,658719.23700000
2020-12-03,3.35800000,3.44300000,3.16700000,3.22300000,641183.26000000
2020-12-04,3.21400000,3.31000000,2.99100000,3.06900000,474330.68000000
2020-12-05,3.06800000,3.16800000,2.99000000,3.15600000,247963.52700000
2020-12-06,3.15600000,3.17300000,2.93500000,2.99600000,363900.61800000
2020-12-07,2.99900000,3.60700000,2.93400000,3.46400000,1059636.38500000
2020-12-08,3.46400000,4.78600000,3.27000000,3.80300000,4137601.75700000
2020-12-09,3.81600000,4.18500000,3.51500000,3.79000000,1625917.02400000
2020-12-10,3.79100000,4.12000000,3.60000000,3.95200000,917085.82200000
2020-12-11,3.95200000,4.00800000,3.20400000,3.34300000,1030593.68100000
2020-12-12,3.33100000,3.83400000,3.32500000,3.60700000,759844.63900000
2020-12-13,3.60700000,3.75000000,3.46000000,3.50500000,530194.68200000
2020-12-14,3.50500000,3.55200000,3.30000000,3.46700000,613117.27200000
2020-12-15,3.46800000,3.75600000,3.36000000,3.53500000,850662.11200000
2020-12-16,3.54000000,3.72000000,3.27000000,3.60500000,884372.80100000
2020-12-17,3.60500000,4.43900000,3.58000000,3.83700000,1704945.09800000
2020-12-18,3.83500000,4.20400000,3.65200000,4.11500000,915418.82700000
2020-12-19,4.11500000,4.62800000,4.01900000,4.31800000,809104.06900000
2020-12-20,4.31900000,4.40000000,3.84900000,4.19800000,774810.68300000
2020-12-21,4.19900000,4.62000000,3.90000000,4.15500000,933310.66500000
2020-12-22,4.15800000,4.64200000,3.81200000,4.36000000,843238.79600000
2020-12-23,4.36000000,4.50000000,3.76600000,3.93600000,544333.01500000
2020-12-24,3.93600000,4.15100000,3.75100000,4.03200000,392724.03200000
2020-12-25,4.03100000,4.07600000,3.79200000,3.89100000,319531.86700000
2020-12-26,3.89100000,3.90000000,3.56000000,3.78100000,442991.12100000
2020-12-27,3.76900000,3.80500000,3.33300000,3.46800000,522659.72500000
2020-12-28,3.47000000,3.93900000,3.44800000,3.55000000,433756.99200000
2020-12-29,3.55300000,3.58300000,3.19300000,3.29100000,474518.29600000
2020-12-30,3.30000000,3.74300000,3.20300000,3.63700000,463404.97100000
2020-12-31,3.63700000,3.90000000,3.39100000,3.50700000,408575.52500000
2021-01-01,3.50300000,3.80000000,3.42200000,3.63700000,263445.56400000
2021-01-02,3.63000000,3.80000000,3.48800000,3.66600000,354453.34400000
2021-01-03,3.66700000,3.75000000,3.46900000,3.52700000,441686.78500000
2021-01-04,3.52800000,4.04000000,3.35000000,3.60400000,597095.96600000
2021-01-05,3.60000000,3.68100000,3.36500000,3.60000000,364914.27400000
2021-01-06,3.60900000,4.01000000,3.46600000,3.87800000,815325.89500000
2021-01-07,3.87800000,4.51200000,3.70000000,4.06200000,843972.00100000
2021-01-08,4.06900000,4.15400000,3.64400000,3.83900000,558291.33900000
2021-01-09,3.84600000,4.40000000,3.79000000,4.12100000,633366.46800000
2021-01-10,4.11300000,5.49000000,4.11200000,4.98500000,1528190.78800000
2021-01-11,4.98400000,5.87300000,4.00000000,5.07800000,1541506.64800000
2021-01-12,5.07900000,5.13500000,4.33600000,4.54000000,524837.04100000
2021-01-13,4.54200000,5.20100000,4.20000000,4.94400000,557837.79300000
2021-01-14,4.94400000,5.55000000,3.60100000,4.31000000,6370659.28700000
2021-01-15,4.29800000,4.62600000,4.01000000,4.17900000,1516219.61600000
2021-01-16,4.16600000,4.34600000,4.04000000,4.14600000,654398.87800000
2021-01-17,4.13900000,4.18000000,3.88000000,4.10900000,599963.04100000
2021-01-18,4.10800000,5.05400000,3.94500000,4.77600000,1576162.81700000
2021-01-19,4.76600000,4.93500000,4.44500000,4.50100000,475147.10600000
2021-01-20,4.50100000,4.61800000,4.20000000,4.49900000,425844.93200000
2021-01-21,4.49800000,5.00000000,4.23300000,4.50600000,936162.77800000
2021-01-22,4.50600000,5.30100000,4.34000000,5.03500000,878253.57600000
2021-01-23,5.03500000,6.61000000,4.95000000,6.09800000,1263648.84400000
2021-01-24,6.09800000,9.89000000,6.00000000,9.28700000,1869973.60800000
2021-01-25,9.28500000,9.39900000,6.86000000,7.91700000,2011485.81200000
2021-01-26,7.91700000,12.90000000,7.70000000,8.15700000,3584317.37100000
2021-01-27,8.15900000,9.33300000,7.70000000,8.23000000,2195805.91600000
2021-01-28,8.23000000,9.36000000,7.93000000,8.23800000,936400.68100000
2021-01-29,8.24700000,8.67500000,6.67700000,7.88900000,1394568.36100000
2021-01-30,7.89700000,8.90000000,7.60000000,7.98300000,648569.97900000
2021-01-31,7.99200000,11.03100000,7.79100000,10.27600000,1029259.07000000
2021-02-01,10.28700000,11.90000000,9.48800000,11.51000000,729197.85200000
2021-02-02,11.51300000,12.95000000,10.26000000,10.67800000,733861.45100000
2021-02-03,10.68900000,11.40000000,10.39900000,11.03600000,438483.21600000
2021-02-04,11.03700000,16.35000000,10.93300000,16.28000000,1361577.92400000
2021-02-05,16.23900000,23.66600000,15.51100000,19.17800000,1733321.37900000
2021-02-06,19.16900000,29.55000000,17.39500000,25.24500000,2546409.64800000
2021-02-07,25.18700000,27.93100000,21.61000000,26.61200000,1327107.44600000
2021-02-08,26.60300000,36.80000000,24.83700000,36.00000000,1665048.52400000
2021-02-09,35.99100000,45.58700000,32.50200000,43.29200000,1310806.35600000
2021-02-10,43.18100000,47.99000000,35.10000000,38.01500000,1473077.84100000
2021-02-11,38.00200000,44.00000000,34.10400000,36.34400000,759343.15300000
2021-02-12,36.35100000,39.90000000,33.88000000,38.23900000,993896.24800000
2021-02-13,38.23900000,43.53000000,35.87000000,38.09900000,757262.69000000
2021-02-14,38.08400000,56.60000000,35.60500000,49.84300000,1882516.11100000
2021-02-15,49.73700000,53.00000000,38.66200000,45.23400000,1293582.45200000
2021-02-16,45.15800000,51.30000000,42.54800000,47.34100000,578356.18300000
2021-02-17,47.22000000,61.60000000,46.38000000,59.90000000,1084586.50600000
2021-02-18,59.79200000,87.88000000,58.00000000,80.33000000,1453886.79200000
2021-02-19,80.34000000,102.94200000,80.00000000,91.97500000,1754065.51900000
2021-02-20,91.99500000,94.00000000,60.00000000,72.10100000,1404752.28500000
2021-02-21,72.01100000,95.23700000,68.70600000,83.22900000,1273742.44200000
2021-02-22,83.20200000,83.50000000,65.10000000,74.89900000,1265159.47000000
2021-02-23,74.73100000,75.27700000,44.00000000,63.61500000,2041940.17300000
2021-02-24,63.51100000,78.78000000,57.00000000,69.80000000,1320965.17200000
2021-02-25,69.80100000,72.97000000,53.97800000,56.96300000,819576.22700000
2021-02-26,57.39200000,60.57000000,47.23000000,53.11700000,1195045.88600000
