Date,Open,High,Low,Close,Volume
2020-08-10,5010.59000000,7199.00000000,5010.59000000,6229.19000000,1559.61022100
2020-08-11,6229.16000000,6783.43000000,5680.00000000,6040.20000000,848.97950700
2020-08-12,6041.00000000,6117.51000000,5250.00000000,5749.62000000,793.30773200
2020-08-13,5749.62000000,5814.34000000,3000.00000000,5346.99000000,1155.42155600
2020-08-14,5346.92000000,5346.92000000,4684.11000000,5016.14000000,377.72066200
2020-08-15,5016.26000000,5450.00000000,4158.57000000,5414.22000000,870.69274500
2020-08-16,5416.21000000,6750.00000000,5171.75000000,6660.00000000,1125.18033600
2020-08-17,6676.25000000,9103.93000000,6340.28000000,8900.00000000,1704.88173600
2020-08-18,8900.10000000,12821.00000000,8693.00000000,9655.00000000,3150.94884600
2020-08-19,9655.00000000,12777.00000000,9600.00000000,12599.72000000,2214.15609900
2020-08-20,12576.36000000,16668.99000000,11418.36000000,15275.00000000,4174.07890800
2020-08-21,15321.68000000,15600.00000000,11777.00000000,12296.34000000,2424.86230700
2020-08-22,12296.33000000,14426.46000000,11113.97000000,14034.28000000,1301.30362600
2020-08-23,14024.29000000,14100.00000000,12000.00000000,12571.37000000,754.84919200
2020-08-24,12571.36000000,14500.00000000,12157.16000000,14466.02000000,767.72806200
2020-08-25,14490.00000000,14773.72000000,12729.16000000,13510.20000000,770.20349500
2020-08-26,13489.79000000,16364.43000000,13201.00000000,15677.91000000,920.17073500
2020-08-27,15677.91000000,15899.99000000,13960.43000000,14183.10000000,688.00211200
2020-08-28,14119.63000000,19500.00000000,14017.07000000,18848.99000000,2354.10085000
2020-08-29,18781.52000000,27547.33000000,17829.53000000,27400.00000000,4896.60590500
2020-08-30,27407.70000000,38855.31000000,26900.00000000,31677.95000000,8439.52137300
2020-08-31,31667.25000000,39690.00000000,29689.41000000,34835.30000000,5790.74190100
2020-09-01,34901.94000000,36922.53000000,31000.00000000,31951.50000000,3815.86266700
2020-09-02,31950.90000000,32856.40000000,25530.00000000,32000.00000000,3453.02521800
2020-09-03,31840.07000000,33359.99000000,27380.31000000,29400.07000000,2613.29349100
2020-09-04,29400.00000000,31600.00000000,22811.63000000,27311.92000000,1889.39980300
2020-09-05,27306.36000000,28749.99000000,18056.43000000,22193.50000000,3541.94797000
2020-09-06,22100.19000000,25399.33000000,19400.00000000,23797.10000000,2211.46838400
2020-09-07,23806.26000000,24650.00000000,20500.00000000,22985.30000000,1148.40135200
2020-09-08,22959.99000000,23499.97000000,21054.07000000,22518.41000000,858.93866800
2020-09-09,22572.47000000,29363.97000000,21500.00000000,27500.03000000,2489.34889400
2020-09-10,27551.46000000,34900.00000000,27455.81000000,34045.73000000,3215.20258100
2020-09-11,34049.46000000,38333.00000000,31250.00000000,38146.99000000,2112.15007100
2020-09-12,38093.39000000,43966.31000000,36205.94000000,43194.45000000,3002.97163900
2020-09-13,43257.62000000,43317.18000000,32500.00000000,36893.01000000,2757.64662700
2020-09-14,36850.05000000,42250.05000000,34765.31000000,39868.08000000,2436.06047300
2020-09-15,39868.05000000,41537.28000000,35150.00000000,35380.00000000,2161.43031600
2020-09-16,35334.16000000,37181.07000000,30571.07000000,34885.58000000,2653.14065300
2020-09-17,34888.84000000,36709.99000000,29590.23000000,33258.34000000,2160.23985200
2020-09-18,33231.76000000,34716.36000000,31250.14000000,33065.96000000,1548.20603100
2020-09-19,33038.86000000,33168.31000000,27851.00000000,30932.70000000,1714.68416000
2020-09-20,30919.05000000,30973.00000000,26200.00000000,28071.33000000,1684.06762400
2020-09-21,28071.33000000,28500.00000000,21722.59000000,24045.53000000,3181.51013300
2020-09-22,24045.53000000,26967.44000000,22727.38000000,25017.30000000,2293.62026000
2020-09-23,25042.90000000,26300.00000000,21014.57000000,21191.40000000,2196.87182300
2020-09-24,21203.18000000,25317.82000000,20275.10000000,25258.49000000,2191.78737500
2020-09-25,25258.49000000,27549.38000000,23200.00000000,26807.53000000,1687.17134500
2020-09-26,26807.31000000,31890.00000000,25963.43000000,31645.39000000,2543.54262700
2020-09-27,31631.62000000,34204.24000000,28202.00000000,30621.02000000,3116.93909600
2020-09-28,30631.08000000,31450.00000000,27549.12000000,28460.24000000,1834.97532200
2020-09-29,28436.57000000,28896.52000000,23500.00000000,25039.35000000,3732.15848900
2020-09-30,25040.41000000,25092.57000000,21800.00000000,23822.04000000,2759.39621000
2020-10-01,23858.17000000,26256.62000000,21388.17000000,22790.75000000,3000.64433300
2020-10-02,22784.83000000,23278.61000000,18905.01000000,21047.03000000,3045.78496200
2020-10-03,21059.38000000,21706.17000000,18500.00000000,18850.00000000,2141.87127800
2020-10-04,18850.00000000,20249.00000000,15993.82000000,19149.94000000,4707.29237800
2020-10-05,19149.89000000,20500.00000000,17500.00000000,19176.46000000,3051.33765900
2020-10-06,19176.19000000,19399.99000000,16040.16000000,16601.44000000,3129.26038500
2020-10-07,16586.33000000,16681.13000000,13715.47000000,14853.84000000,5017.70112400
2020-10-08,14853.88000000,17338.69000000,12260.00000000,16732.58000000,9625.78509400
2020-10-09,16728.50000000,19469.28000000,15789.59000000,18040.96000000,5607.47661900
2020-10-10,18042.64000000,19400.00000000,15835.00000000,15995.01000000,3538.99683700
2020-10-11,15986.10000000,17700.00000000,15032.38000000,16900.00000000,4051.86431500
2020-10-12,16900.00000000,17530.00000000,15640.16000000,16521.11000000,3092.93227300
2020-10-13,16503.32000000,16690.93000000,15283.56000000,15634.07000000,2142.19980900
2020-10-14,15652.86000000,16100.00000000,13729.48000000,14578.98000000,3006.72225600
2020-10-15,14573.70000000,15800.00000000,13933.27000000,14614.29000000,2708.84449500
2020-10-16,14607.68000000,14620.81000000,13372.36000000,13403.40000000,1957.58351100
2020-10-17,13405.00000000,14152.54000000,13120.00000000,14039.17000000,1403.67611100
2020-10-18,14053.07000000,15782.00000000,13931.70000000,15427.68000000,2797.98444700
2020-10-19,15429.80000000,15645.00000000,13709.88000000,13709.88000000,2313.85418800
2020-10-20,13721.36000000,14119.99000000,12720.07000000,13053.33000000,2728.48334000
2020-10-21,13053.33000000,14667.00000000,12905.94000000,13293.14000000,3561.99675500
2020-10-22,13283.21000000,14389.47000000,13132.54000000,13724.82000000,2015.69165600
2020-10-23,13722.33000000,14940.31000000,13600.00000000,14903.15000000,2773.62176200
2020-10-24,14892.61000000,15481.15000000,14535.00000000,14872.72000000,1809.58932100
2020-10-25,14864.85000000,14900.00000000,14150.00000000,14297.00000000,1239.06257300
2020-10-26,14289.81000000,14573.88000000,13176.70000000,13589.52000000,2034.40434500
2020-10-27,13593.11000000,14200.00000000,13320.21000000,13372.88000000,1443.56848200
2020-10-28,13370.45000000,13611.29000000,12000.00000000,12556.47000000,2192.75598200
2020-10-29,12553.98000000,12944.98000000,10511.01000000,10781.10000000,3722.35550700
2020-10-30,10780.08000000,11971.68000000,9635.55000000,11014.56000000,6548.75279100
2020-10-31,11011.03000000,11430.16000000,10255.70000000,10492.89000000,2308.02345500
2020-11-01,10474.70000000,11039.14000000,9978.06000000,10689.46000000,1992.14649000
2020-11-02,10689.31000000,11221.02000000,10016.64000000,10092.30000000,2451.95996700
2020-11-03,10092.84000000,10247.09000000,9302.65000000,9351.52000000,2935.38888400
2020-11-04,9359.92000000,9692.87000000,8231.07000000,8484.18000000,5130.78405600
2020-11-05,8493.32000000,9908.72000000,7451.36000000,8488.35000000,10304.51601100
2020-11-06,8478.02000000,11943.00000000,8392.50000000,11821.27000000,9192.50736300
2020-11-07,11821.26000000,17500.00000000,11810.57000000,14281.47000000,21852.15317200
2020-11-08,14297.17000000,15999.00000000,13373.41000000,15108.29000000,8543.69936900
2020-11-09,15102.44000000,15682.00000000,13883.34000000,15010.12000000,6658.03120800
2020-11-10,15029.21000000,18900.00000000,14500.75000000,18274.93000000,10460.75466300
2020-11-11,18266.12000000,19350.00000000,15711.08000000,16679.56000000,7535.77980200
2020-11-12,16674.79000000,17220.00000000,14929.39000000,15462.62000000,6225.38492400
2020-11-13,15448.87000000,18460.00000000,15150.00000000,17881.06000000,6923.56901300
2020-11-14,17884.84000000,17922.63000000,16084.21000000,17217.05000000,4888.57699000
2020-11-15,17238.00000000,18436.25000000,16561.00000000,17606.90000000,5651.56175100
2020-11-16,17606.68000000,19149.90000000,16971.42000000,18565.47000000,5966.97819000
2020-11-17,18554.80000000,24880.00000000,18452.00000000,23944.68000000,7902.57988900
2020-11-18,23933.16000000,26190.00000000,20511.00000000,25444.39000000,11223.57562600
2020-11-19,25479.31000000,29686.00000000,24229.65000000,27800.00000000,10451.90831700
2020-11-20,27803.14000000,29890.00000000,25666.00000000,26515.16000000,7262.28532200
2020-11-21,26533.00000000,27801.55000000,23425.00000000,24479.24000000,5932.68824700
2020-11-22,24479.24000000,27178.24000000,21442.00000000,24419.04000000,10500.25905500
2020-11-23,24454.35000000,26328.28000000,23200.00000000,25216.48000000,6116.97065700
2020-11-24,25245.93000000,26339.37000000,23294.00000000,24749.99000000,4470.13658200
2020-11-25,24736.38000000,24826.45000000,21500.00000000,22324.66000000,3378.27876800
2020-11-26,22319.05000000,23362.68000000,18228.60000000,23345.46000000,7752.08083000
2020-11-27,23345.46000000,25581.00000000,22222.22000000,23452.98000000,5483.38650100
2020-11-28,23455.14000000,24444.00000000,22546.03000000,23353.75000000,2239.89189400
2020-11-29,23343.82000000,24963.29000000,22846.15000000,24600.71000000,2183.45527500
2020-11-30,24624.95000000,26901.05000000,24619.35000000,26470.40000000,3416.71207300
2020-12-01,26470.61000000,28299.92000000,24166.00000000,25684.04000000,3901.10662500
2020-12-02,25678.56000000,31780.41000000,25335.24000000,30306.15000000,5926.34516800
2020-12-03,30303.17000000,31306.06000000,28401.00000000,29649.42000000,3483.84171100
2020-12-04,29634.90000000,30576.44000000,26100.00000000,26452.77000000,2912.80366600
2020-12-05,26444.55000000,29549.99000000,26201.00000000,29352.73000000,2077.07921700
2020-12-06,29329.99000000,29520.00000000,27848.17000000,28794.24000000,1383.55540700
2020-12-07,28797.57000000,29405.78000000,27894.98000000,28486.50000000,1535.59947000
2020-12-08,28480.48000000,28567.40000000,24850.00000000,25448.82000000,2341.22259100
2020-12-09,25468.79000000,26267.44000000,23505.97000000,25556.16000000,2509.27092900
2020-12-10,25567.87000000,25860.00000000,23799.68000000,23974.15000000,1722.35252100
2020-12-11,23979.42000000,24193.87000000,22051.01000000,23387.89000000,2248.63413400
2020-12-12,23372.21000000,25820.00000000,23329.11000000,25347.85000000,1861.12530600
2020-12-13,25352.72000000,27300.00000000,25352.72000000,26341.06000000,1600.38367300
2020-12-14,26357.24000000,26358.21000000,24993.61000000,25819.99000000,1279.11215600
2020-12-15,25820.00000000,26435.64000000,24553.87000000,24784.11000000,1058.85182100
2020-12-16,24782.04000000,27740.15000000,24151.11000000,26965.41000000,2586.60384500
2020-12-17,26947.36000000,28100.00000000,25788.02000000,26599.01000000,3043.91378000
2020-12-18,26617.49000000,28650.00000000,25908.16000000,27869.03000000,2241.52061600
2020-12-19,27885.45000000,28880.00000000,27239.47000000,27604.76000000,1462.88277900
2020-12-20,27612.08000000,27612.08000000,25291.73000000,26114.07000000,1297.51900600
2020-12-21,26089.18000000,27102.35000000,24062.71000000,24569.93000000,1429.94437700
2020-12-22,24558.24000000,25260.99000000,22510.00000000,24850.00000000,1538.67046700
2020-12-23,24859.76000000,25489.21000000,18360.97000000,20092.38000000,2584.00643300
